,TTR,HR,R,genre,R_scaled
curtius,0.06667681766273316,0.25165562913907286,-14.464222598665078,prose,0.5690877340789388
germanicus,0.2844709115895557,0.4806763285024155,-15.832752892779759,poetry,0.04158712510053173
carmina_pripea,0.3539237314843996,0.609973285841496,-14.990835815273448,poetry,0.36610443611935817
pliny_younger,0.06523732804560664,0.29407294832826747,-14.055333129055875,prose,0.7266943615326955
pliny_maior,0.11874335714462268,0.4150707743547044,-14.937168176939064,prose,0.38679065112356026
persius,0.3933570581257414,0.5958986731001207,-15.870426124408434,poetry,0.027065961256536143
quintilian_inst,0.03747954275331205,0.29835630084675413,-13.515752933240261,prose,0.9346757873801622
asconius,0.15027507724772024,0.44684052156469406,-13.721951602432066,prose,0.8551964188656503
valerius_flaccus,0.10520951981296085,0.3056980056980057,-15.549109190735876,poetry,0.15091771588429673
calpurnius_siculus,0.33851649506198783,0.5567970204841713,-15.61728137633287,poetry,0.12464071670316641
quintilian_decl_mai,0.06020071967569045,0.2923076923076923,-14.241270742798655,prose,0.6550246258292861
ovid,0.03261829402601526,0.22768060836501902,-14.775801451824513,poetry,0.4489895269050003
manilius,0.11609253303367303,0.36014686248331107,-14.916966821274094,poetry,0.3945772726264145
cicero,0.010329775407554826,0.23113828786453433,-13.346277936647231,prose,1.0
sallust,0.09426077578943821,0.3285663210582767,-14.08706131737238,prose,0.7144647172707357
propertius,0.14437869822485208,0.3867638129933212,-14.925589957767743,poetry,0.3912534808395136
petronius,0.15448240988225095,0.40799625906008885,-14.964497058232585,prose,0.37625672170524466
tibullus,0.20098302055406614,0.4108492663405958,-15.148099210362862,poetry,0.30548719071643976
vellius,0.14815901422913305,0.40957095709570956,-14.444299949540143,prose,0.5767669280222958
tacitus,0.04612257995507541,0.23484848484848486,-15.026169320576644,prose,0.3524851208254755
columella,0.058353916317449746,0.27647431832593533,-15.218129403547644,prose,0.2784940216863409
suplpicia,0.6598360655737705,0.7763975155279503,-13.977860882362318,poetry,0.7565560733892194
varro,0.0738672242257553,0.3694908814589666,-13.874828200224531,prose,0.7962700664269262
martial,0.09251627545840052,0.32601678502259523,-15.001429694603042,poetry,0.3620210206320746
lucan,0.09162290937378452,0.296630405943221,-15.409077334727067,poetry,0.20489305690428405
vitruvius,0.07399823411170182,0.3234323432343234,-14.608324134491301,prose,0.5135437331679245
livy,0.016369138461806796,0.19312733084709643,-14.177982852734035,prose,0.6794189711306755
apuleius,0.07504968760995465,0.2577293461733401,-15.33899896766765,prose,0.23190479457573207
vergil,0.0700637792543965,0.2772805179965721,-15.50565681610709,poetry,0.16766645296144778
horace,0.12650394477317553,0.35743519781718963,-15.413027176147509,poetry,0.20337058877653333
grattius,0.38777400432232173,0.5859872611464968,-15.413485477128797,poetry,0.2031939364599829
statius,0.06212476247100106,0.2263088759617189,-15.861749667478696,poetry,0.030410305429181952
nepos,0.10708829819737244,0.3930099857346648,-13.510142590164072,prose,0.936838296607758
juvenal,0.1669163278407875,0.3941025641025641,-15.26186192794556,poetry,0.26163730075639824
frontinus,0.1174515056643966,0.3696070348996977,-14.656507163779938,prose,0.49497156315350554
valerius_maximus,0.07667740659092194,0.2703649096940656,-14.817362368131912,prose,0.43296985327692344
pomponius_mela,0.15265294288199477,0.4368471035137702,-14.34854246813876,prose,0.6136766917087074
silius,0.06854920625707403,0.24237933954276036,-15.940645167360136,poetry,0.0
corpus_caesarianum,0.08910769983487249,0.35552505147563485,-14.204886996653661,prose,0.6690487569215509
suetonius,0.0963715573511012,0.3344282809322697,-15.11100422968772,prose,0.31978546747386993
hyginus,0.09249719305197807,0.3687968582649054,-13.93402741421786,prose,0.7734517031310477
seneca_maior,0.049153255836544375,0.29929732103645146,-13.886238899779782,prose,0.7918718072213028
sen,0.026994180244449495,0.22864812103465104,-14.048395083205333,prose,0.7293686343836653
caesar,0.05042575461823531,0.297054698457223,-13.955594309630092,prose,0.7651387337268261
catullus,0.228585575177422,0.49494584837545125,-15.130083735432542,poetry,0.31243126352041545
ilias_latina,0.27010804321728693,0.45904761904761904,-15.521580490684595,poetry,0.16152866553143538
aug_res_gestae,0.3374295954941116,0.5887708649468892,-14.326237973111592,prose,0.6222739692117226
