,perc_known_unique_lemmata,perc_known_words,page_known_lemmata_mean,page_known_lemmata_std,page_known_words_mean,page_known_words_std
curtius,0.03425439598081754,0.9542139322421013,0.035875770723909566,0.0017583923270153006,0.9565494484929872,0.019692929878368688
germanicus,0.1247987117552335,0.9125057260650481,0.11231884057971013,0.006872158732164458,0.8987700788864442,0.019357255558699542
carmina_pripea,0.11843276936776491,0.8874881815316735,0.11487088156723065,0.005387171313358565,0.8784666654283338,0.02193209853386662
pliny_younger,0.031914893617021274,0.946313049944231,0.027621580547112463,0.002504718803016642,0.9355329102399695,0.02211172512505382
pliny_maior,0.030391340549542047,0.8973478013693551,0.02102414654454621,0.006343242883977307,0.9222318318596485,0.030532172100727464
persius,0.08805790108564536,0.8469750889679716,0.08383594692400483,0.0038525257955781245,0.8543315304780634,0.030312044893506338
quintilian_inst,0.02390835131994023,0.9542815539417925,0.023277436493441807,0.0015249493612093682,0.9514184652759446,0.016008202472264827
asconius,0.055165496489468405,0.9557615494762228,0.0559679037111334,0.004873633144736747,0.9598013680459095,0.019325694748075647
valerius_flaccus,0.039886039886039885,0.9299502427911995,0.041282051282051285,0.0014552242494726068,0.9453173623991262,0.02070500009502868
calpurnius_siculus,0.1005586592178771,0.8892624500945577,0.09726877715704532,0.004255980066150702,0.87985430525216,0.028724470316341486
quintilian_decl_mai,0.03909205548549811,0.9562121373153364,0.03825136612021858,0.0015862095219935446,0.9580256614662862,0.010982801265412036
ovid,0.02311787072243346,0.942795201762132,0.021277566539923954,0.0014862203018922277,0.9578010805916897,0.017476118252169628
manilius,0.044058744993324434,0.9473398690277831,0.04602803738317758,0.00473083008910598,0.9453692502720961,0.02651953200320343
cicero,0.012793979303857008,0.9621597879237832,0.012220131702728128,0.00175413427872179,0.9780217831870317,0.010877237210626167
sallust,0.058276725062567036,0.9650524045428504,0.05412942438326779,0.0029360693840039774,0.9659012946898207,0.015475169287969754
propertius,0.04584092289010322,0.9322375630067937,0.03809957498482088,0.00644603177772553,0.9503988475147078,0.02034306616864346
petronius,0.03624035538929156,0.9028389799898866,0.03355155482815057,0.0033578224494610885,0.8871354406953823,0.035965805631997354
tibullus,0.055135615829257446,0.9442359249329759,0.061182747887950195,0.004883781313560155,0.9456282701888652,0.02514361247281515
vellius,0.044884488448844885,0.9457728228448486,0.04455445544554456,0.004469480400588832,0.9440933235057056,0.02449240424558399
