,count,global_frequency,local_frequency,rareness
sum,123111,0.031343715637334436,0.031343715637334436,-6.925482980273756
et,110773,0.028202495408976028,0.02820249540897602,-7.1366896305460985
qui,99386,0.025303397115872022,0.025303397115872022,-7.353633237815794
in,79497,0.02023971344576176,0.020239713445761757,-7.8002171849623805
is,51476,0.013105645361888275,0.013105645361888275,-8.669424395897973
non,49352,0.012564880913433643,0.012564880913433643,-8.753699171346135
hic,45502,0.011584681701310131,0.011584681701310133,-8.916143193091164
ut,40613,0.010339956000512249,0.010339956000512247,-9.143479330361032
cum,36423,0.009273193741084325,0.009273193741084321,-9.361254868700913
ad,33678,0.008574324432700158,0.008574324432700158,-9.517966144784575
ab,30140,0.007673559546338345,0.007673559546338344,-9.73994936876411
ille,28925,0.007364223950824042,0.007364223950824042,-9.822243209001329
ego,27967,0.0071203198351839575,0.0071203198351839575,-9.889605267790504
nec,25161,0.006405920097724589,0.006405920097724589,-10.10106540182004
tu,24778,0.006308409370908145,0.006308409370908147,-10.131743429773715
si,24260,0.006176528022367891,0.006176528022367892,-10.173997948129001
sed,23951,0.006097857488200057,0.006097857488200058,-10.19963560188339
omnis,23178,0.005901053854181492,0.005901053854181493,-10.26524864933641
res,20967,0.005338139449504847,0.005338139449504849,-10.465756208834605
possum,20781,0.005290784370685373,0.005290784370685373,-10.483577539743655
sui,20612,0.00524775744423112,0.005247757444231121,-10.499908894228854
ex,20450,0.005206512698162547,0.005206512698162548,-10.515689990183187
num,20069,0.005109511165742012,0.005109511165742013,-10.553303083247718
quam,19769,0.005033132006355764,0.005033132006355766,-10.583425646733208
quod,19553,0.004978139011597666,0.004978139011597667,-10.605398300472533
dico,19131,0.004870698994061011,0.004870698994061011,-10.64903564315832
ipse,18951,0.004824871498429263,0.004824871498429263,-10.667942353991464
de,17828,0.004538958845126742,0.004538958845126744,-10.79011524499219
suus,17810,0.004534376095563567,0.004534376095563569,-10.792135560557668
quis,17477,0.004449595228644833,0.004449595228644833,-10.829884293592361
aut,16869,0.004294800132288704,0.004294800132288703,-10.900700519204461
facio,15765,0.004013724825747313,0.004013724825747314,-11.03607116916676
uideo,15091,0.00384212631432621,0.00384212631432621,-11.123458675887981
magnus,14710,0.0037451247819056755,0.0037451247819056746,-11.174600685934116
habeo,14181,0.0036104428641879254,0.0036104428641879254,-11.24784967420239
atque,13282,0.0033815599832271366,0.003381559983227138,-11.378836284923764
etiam,13153,0.00334871694469105,0.0033487169446910505,-11.398356016187526
multus,13127,0.003342097417544242,0.0033420974175442423,-11.402313399518269
enim,12852,0.0032720831881068485,0.003272083188106849,-11.444656872653585
edo,12186,0.0031025214542693786,0.003102521454269379,-11.551080251508203
ac,12169,0.003098193301904158,0.003098193301904158,-11.553872286451483
alius,11953,0.0030432003071460597,0.0030432003071460606,-11.589691169369122
per,11673,0.002971913091718895,0.0029719130917188956,-11.637098789819756
ne,11020,0.0028056611214548294,0.00280566112145483,-11.752232147711272
iam,10769,0.0027417572247683355,0.002741757224768336,-11.79831248246732
meus,10032,0.0025541190898761205,0.0025541190898761214,-11.94009578737968
tuus,9934,0.002529168564476613,0.002529168564476613,-11.959729321790492
tamen,9735,0.0024785037220837356,0.002478503722083737,-12.000200477512482
pars,9608,0.0024461698779435575,0.0024461698779435575,-12.026463585605445
do,9417,0.002397541813134313,0.002397541813134313,-12.066622622104957
idem,9389,0.0023904130915915964,0.002390413091591597,-12.072578172607988
primus,8867,0.002257513354259526,0.0022575133542595263,-12.186982714365069
uolo,8729,0.002222378940941852,0.0022223789409418515,-12.218354123654384
animus,8530,0.002171714098548974,0.002171714098548975,-12.264477032153634
unus,8513,0.0021673859461837533,0.002167385946183754,-12.26846694135697
quisque,8427,0.0021454905871596958,0.002145490587159696,-12.288774081580376
homo,8406,0.0021401440460026584,0.0021401440460026584,-12.29376428199496
causa,8394,0.0021370888796272084,0.0021370888796272084,-12.296621425338012
nihil,8390,0.0021360704908353918,0.0021360704908353926,-12.297574714202579
autem,8221,0.002093043564381139,0.0020930435643811396,-12.338272042820817
locus,8198,0.0020871878288281935,0.0020871878288281935,-12.343875310996518
noster,8158,0.002077003940910027,0.0020770039409100274,-12.353657673370076
quidem,8086,0.0020586729426573277,0.0020586729426573286,-12.371387412723651
bonus,8002,0.0020372867780291785,0.002037286778029179,-12.392272734290723
tantus,7970,0.0020291396676946453,0.0020291396676946458,-12.400286769556562
ita,7719,0.0019652357710081515,0.0019652357710081515,-12.464286111225375
nos,7504,0.0019104973734480073,0.0019104973734480077,-12.520783331752963
nam,7490,0.001906933012676649,0.0019069330126766492,-12.524518160102552
dies,7339,0.0018684888357855711,0.0018684888357855714,-12.565250568034957
nullus,7208,0.0018351366028535763,0.0018351366028535768,-12.601272714548735
tempus,6631,0.0016882340196340267,0.0016882340196340264,-12.768144510387348
tum,6627,0.00168721563084221,0.0016872156308422107,-12.769351328948629
fero,6618,0.0016849242560606225,0.001684924256060622,-12.77206933616197
uenio,6613,0.001683651270070852,0.0016836512700708522,-12.773580937775758
nunc,6385,0.0016256031089373036,0.0016256031089373032,-12.843752776191804
pater,6336,0.0016131278462375499,0.0016131278462375499,-12.85916044613656
inter,6173,0.001571628502971022,0.0015716285029710223,-12.911285868337291
sic,6110,0.00155558887949991,0.0015555888794999103,-12.931802208793801
iste,6095,0.0015517699215305976,0.0015517699215305976,-12.936718229294339
ago,6038,0.0015372578812472106,0.001537257881247211,-12.955510092591515
quidam,6028,0.001534711909267669,0.0015347119092676694,-12.958825193632311
publicus,6013,0.0015308929512983566,0.0015308929512983566,-12.963808171045946
hostis,6004,0.001528601576516769,0.0015286015765167695,-12.966803927618377
urbs,5915,0.001505942425898849,0.0015059424258988495,-12.99667276030011
uir,5715,0.0014550229863080173,0.001455022986308018,-13.06546716066726
deus,5596,0.0014247259197514724,0.0014247259197514724,-13.10755164155434
populus,5550,0.0014130144486455812,0.001413014448645581,-13.124059899644124
uel,5540,0.0014104684766660395,0.0014104684766660391,-13.127666753642425
bellum,5515,0.0014041035467171855,0.0014041035467171861,-13.136712449749878
totus,5464,0.0013911190896215234,0.0013911190896215236,-13.155293510623832
nisi,5364,0.0013656593698261076,0.0013656593698261079,-13.192235824321944
genus,5362,0.0013651501754301993,0.0013651501754302,-13.192981675533273
tam,5311,0.0013521657183345373,0.001352165718334537,-13.212095472280286
pro,5299,0.0013491105519590873,0.0013491105519590873,-13.216619508139559
consul,5240,0.001334089317279792,0.0013340893172797928,-13.239012758494907
manus,5231,0.0013317979424982045,0.0013317979424982047,-13.24245082638386
puto,5167,0.0013155037218291383,0.0013155037218291388,-13.267071256550715
ante,5159,0.001313466944245505,0.001313466944245505,-13.270170230635783
uis,5075,0.0012920807796173556,0.0012920807796173556,-13.303002705305108
nomen,5013,0.0012762957533441978,0.0012762957533441976,-13.327586678598077
alter,5005,0.0012742589757605645,0.0012742589757605645,-13.330780929626442
sine,4982,0.001268403240207619,0.0012684032402076192,-13.339992921480832
rex,4945,0.001258983143883315,0.0012589831438833154,-13.354901825011458
terra,4845,0.0012335234240878992,0.0012335234240878992,-13.39576126447535
corpus,4676,0.0011904964976336464,0.0011904964976336462,-13.466769667941165
an,4673,0.001189732706039784,0.001189732706039784,-13.468053227724232
senatus,4666,0.0011879505256541048,0.0011879505256541048,-13.471051407962333
modo,4613,0.0011744568741625344,0.0011744568741625348,-13.493898946009441
modus,4498,0.0011451781963978062,0.0011451781963978062,-13.54439004808656
lex,4440,0.001130411558916465,0.0011304115589164648,-13.570347002272543
deinde,4392,0.0011181908934146652,0.0011181908934146654,-13.59208634674635
duo,4384,0.001116154115831032,0.001116154115831032,-13.59573265586938
uerus,4325,0.0011011328811517365,0.0011011328811517368,-13.622831474393124
factum,4310,0.0010973139231824243,0.0010973139231824245,-13.629779946929496
ubi,4302,0.001095277145598791,0.001095277145598791,-13.633495693469733
inquam,4254,0.0010830564800969915,0.0010830564800969917,-13.655936321604718
ratio,4253,0.0010828018828990373,0.001082801882899037,-13.656406522617816
arma,4234,0.0010779645361379082,0.001077964536137908,-13.665361409735462
peto,4216,0.0010733817865747333,0.0010733817865747337,-13.673882132682687
ceterus,4161,0.0010593789406872546,0.001059378940687255,-13.7001448951592
iubeo,4159,0.0010588697462913463,0.0010588697462913463,-13.70110643363926
uos,4154,0.0010575967603015754,0.0010575967603015757,-13.703512304252968
at,4147,0.0010558145799158963,0.001055814579915896,-13.706885392632321
romanus,4141,0.0010542869967281713,0.0010542869967281716,-13.709781146033949
parum,4137,0.0010532686079363547,0.001053268607936355,-13.71171398020226
debeo,4125,0.001050213441560905,0.0010502134415609047,-13.71752371558752
annus,4106,0.0010453760947997759,0.0010453760947997759,-13.726757117967326
quia,4102,0.0010443577060079592,0.0010443577060079594,-13.728706435860431
uerbum,4097,0.0010430847200181884,0.0010430847200181886,-13.73114575803134
miles,4083,0.0010395203592468301,0.0010395203592468306,-13.737991730485932
magis,4072,0.0010367197900693344,0.0010367197900693348,-13.743387196664365
quaero,4005,0.001019661777806406,0.001019661777806406,-13.776568594120164
aliquis,3892,0.0009908922944375858,0.0009908922944375865,-13.833809426513291
exercitus,3875,0.0009865641420723653,0.0009865641420723653,-13.842564429550189
natura,3863,0.0009835089756969153,0.0009835089756969155,-13.848767587792521
quantus,3828,0.0009745980737685197,0.0009745980737685197,-13.866970807979394
uirtus,3821,0.0009728158933828406,0.0009728158933828409,-13.870631418231284
credo,3809,0.0009697607270073907,0.0009697607270073909,-13.876922380167874
uita,3808,0.0009695061298094365,0.0009695061298094368,-13.877447521302571
domus,3805,0.0009687423382155741,0.0009687423382155739,-13.879023772533511
mitto,3803,0.0009682331438196658,0.000968233143819666,-13.880075297268563
itaque,3757,0.0009565216727137744,0.0009565216727137744,-13.904414221977145
liber,3754,0.000955757881119912,0.0009557578811199122,-13.906011878832174
opus,3728,0.0009491383539731038,0.000949138353973104,-13.919911961514119
malus,3591,0.000914258537853384,0.0009142585378533843,-13.994794324672917
dum,3525,0.0008974551227884097,0.0008974551227884098,-14.031894882632345
consilium,3506,0.0008926177760272806,0.0008926177760272808,-14.042704182162723
apud,3459,0.0008806517077234352,0.0008806517077234353,-14.069696695250746
capio,3432,0.0008737775833786729,0.0008737775833786729,-14.085369391909378
audio,3432,0.0008737775833786729,0.0008737775833786729,-14.085369391909378
post,3417,0.0008699586254093605,0.0008699586254093605,-14.0941298088945
relinquo,3406,0.0008671580562318647,0.0008671580562318648,-14.100578590679817
ius,3406,0.0008671580562318647,0.0008671580562318646,-14.100578590679817
accipio,3399,0.0008653758758461857,0.0008653758758461855,-14.104693213732851
nouus,3396,0.0008646120842523232,0.0008646120842523234,-14.106459218262607
solus,3336,0.0008493362523750737,0.0008493362523750738,-14.142110786167809
igitur,3314,0.0008437351140200821,0.0008437351140200822,-14.155343917152067
scio,3307,0.0008419529336344031,0.0008419529336344031,-14.159572887161497
scribo,3307,0.0008419529336344031,0.0008419529336344033,-14.159572887161497
filius,3291,0.0008378793784671365,0.0008378793784671366,-14.169272815238404
teneo,3243,0.0008256587129653369,0.0008256587129653368,-14.198658100510448
ciuitas,3219,0.000819548380214437,0.0008195483802144371,-14.213514250527467
fortuna,3218,0.0008192937830164828,0.0008192937830164828,-14.214135658020426
castrum,3210,0.0008172570054328496,0.0008172570054328496,-14.21911388087696
satis,3173,0.0008078369091085457,0.0008078369091085459,-14.242300729958693
fio,3160,0.0008045271455351416,0.0008045271455351416,-14.250511699963168
eo,3151,0.0008022357707535543,0.0008022357707535542,-14.256216029610535
mors,3143,0.000800198993169921,0.0008001989931699212,-14.261300239529948
soleo,3133,0.0007976530211903794,0.0007976530211903796,-14.2676737312207
saepe,3124,0.0007953616464087919,0.0007953616464087919,-14.27342729120593
gero,3074,0.000782631786511084,0.0007826317865110843,-14.305696464928001
nox,3060,0.0007790674257397257,0.0007790674257397261,-14.31482592323223
semper,3043,0.0007747392733745051,0.0007747392733745051,-14.32596801333114
uero,2990,0.0007612456218829347,0.0007612456218829347,-14.361108980355619
mille,2983,0.0007594634414972556,0.0007594634414972557,-14.365796744095586
mos,2972,0.0007566628723197598,0.0007566628723197597,-14.373185501449784
uterque,2947,0.0007502979423709058,0.0007502979423709061,-14.390080347649693
sub,2932,0.0007464789844015935,0.0007464789844015934,-14.400286187111998
ullus,2926,0.0007449514012138685,0.0007449514012138687,-14.404383149964945
contra,2925,0.0007446968040159144,0.0007446968040159143,-14.40506679379317
dux,2910,0.000740877846046602,0.0007408778460466017,-14.415349592794007
medius,2905,0.0007396048600568311,0.0007396048600568311,-14.41878897455306
signum,2905,0.0007396048600568311,0.0007396048600568315,-14.41878897455306
caput,2886,0.0007347675132957022,0.0007347675132957026,-14.43191283445745
nemo,2885,0.000734512916097748,0.0007345129160977481,-14.432605955240684
fides,2884,0.0007342583188997938,0.0007342583188997939,-14.433299316315404
ager,2881,0.0007334945273059313,0.0007334945273059315,-14.435380842956027
quisquam,2865,0.0007294209721386649,0.000729420972138665,-14.446519054827403
