,count
et,4154
qui,2113
sum,1858
is,1295
in,1221
ego,1112
ille,965
hic,902
nec,888
ad,873
ut,852
sed,850
non,758
suus,674
cum,654
meus,641
ipse,586
omnis,585
de,549
iam,532
tu,527
sui,510
ac,485
etiam,466
ab,456
quod,454
uel,444
si,423
num,408
quam,406
iste,400
ex,387
atque,362
quidem,348
uideo,344
tuus,342
alius,341
possum,329
res,312
dico,312
quis,303
tamen,302
per,295
quidam,293
enim,282
sic,279
tantus,266
nam,256
deus,252
bonus,250
uerus,246
inquam,239
animus,236
multus,229
ceterus,225
totus,220
magnus,217
manus,212
habeo,207
facio,207
at,206
tam,204
homo,204
corpus,203
unus,201
edo,194
primus,190
tunc,190
ne,189
domus,187
nos,184
maritus,178
cunctus,170
idem,169
noster,166
uolo,165
pars,163
nunc,157
dies,157
inter,156
nullus,153
quisque,153
modus,151
igitur,151
malus,150
denique,145
pro,144
solus,142
nihil,136
nomen,134
ita,132
uos,128
an,124
locus,120
dum,120
scio,119
nox,118
mulier,117
puer,116
talis,115
caput,115
prorsus,113
aut,112
autem,112
diuinus,111
oculus,110
uox,110
apud,106
uir,106
quippe,105
sermo,104
dea,103
do,102
statim,101
filius,97
causa,97
tempus,96
quisquam,96
terra,95
uerbum,95
ratio,94
genus,93
ullus,93
similis,92
rursus,92
iuuenis,92
puto,91
aio,91
immo,90
satis,90
nisi,90
audio,90
protinus,90
uxor,90
mater,90
medius,89
ciuitas,89
natura,88
uero,88
alter,87
os,86
parens,86
semper,85
debeo,85
scilicet,85
uirtus,84
longe,83
factum,83
liber,83
uita,83
miser,83
ago,82
mors,82
puella,82
facies,82
credo,81
mos,80
ergo,80
psyche,80
uia,79
quaero,79
gratia,78
aliquis,77
numen,77
ante,76
salus,76
tandem,76
uenus,76
asinus,76
sol,75
prius,75
potius,75
fero,74
soleo,74
uis,74
reddo,74
fortuna,74
soror,74
maxime,73
humanus,73
ars,73
uenio,73
magis,73
pes,73
sine,72
fides,72
populus,72
studium,70
quantus,70
summum,70
cognosco,70
peto,70
superus,69
modo,69
uarius,69
nouus,69
singulus,68
simul,68
mens,68
amor,68
adsum,68
numerus,67
inferus,67
ubi,67
quamquam,67
mundus,66
periculum,66
gero,66
consilium,66
adeo,64
extremus,64
contra,64
adhuc,64
quin,64
dominus,63
respondeo,63
s,63
parum,62
species,62
mare,62
spiritus,62
lumen,62
liceo,62
quasi,62
uester,62
ob,62
latro,62
relinquo,61
philosophus,61
auris,61
ecce,61
labor,60
anima,60
paucus,60
lex,60
honor,60
ignis,59
aqua,59
duo,59
iubeo,59
publicus,59
nuptiae,59
caelum,58
uelut,58
uoco,58
altus,58
sentio,57
uoluptas,57
cupido,57
dictum,56
reperio,56
certe,56
cubiculum,56
suscipio,55
uiuo,55
domina,55
diu,55
crimen,55
orbis,54
grauis,54
praesens,54
cur,53
arbitro,53
nemo,53
bestia,53
frater,53
saepe,52
ulter,52
foris,52
saltem,52
lego,51
lux,51
post,51
namque,51
eo,51
sustineo,51
uestigium,51
disciplina,51
aurum,50
caelestis,50
uicis,50
annus,50
super,50
perficio,50
patior,50
femina,50
beatus,50
commodus,50
seruus,50
facile,49
aliqui,49
aer,49
accipio,49
casus,49
par,49
proximus,49
aureus,49
magus,49
ingenium,48
dextra,48
cupio,48
inde,48
ibi,48
offero,48
piscis,48
sacer,47
munus,47
duco,47
plurimus,47
accedo,47
aetas,47
senex,47
littera,47
forma,47
exitium,47
lapis,47
praeter,47
finis,46
teneo,46
paruus,46
usus,46
commoueo,46
omnino,46
familia,46
amicus,46
cura,45
trado,45
officium,45
uerum,45
communis,45
latus,45
mirus,45
carmen,45
uultus,45
prex,45
sumo,45
nimius,45
circa,45
propter,44
mora,44
iter,43
laus,43
uterque,43
iaceo,43
profecto,43
pater,43
iudicium,43
alienus,43
laetus,43
quispiam,43
nomino,42
ops,42
unde,42
fabula,42
modicus,42
sententia,42
plenus,42
spatium,42
equus,42
proprius,42
taceo,42
necessarius,42
quoius,41
clarus,41
membrum,41
nego,41
pectus,41
alioqui,41
certus,41
fons,40
usque,40
uentus,40
tot,40
quamuis,40
enimuero,40
quies,40
lacrima,40
facinus,40
somnus,40
pretium,40
dolor,40
sanguis,40
uersus,40
mutuus,39
tertius,39
intellego,39
gladius,39
ualidus,39
ilico,39
comperio,39
sequor,39
mecum,39
congruo,38
inuenio,38
beneficium,38
diuersus,38
nescius,38
creber,38
tum,38
confestim,38
uulnus,38
o,38
uitium,37
praeterea,37
imago,37
potestas,37
conuenio,37
instruo,37
filia,37
saeuus,37
diutinus,37
redeo,37
morbus,37
inuado,37
spes,37
auis,37
mortuus,37
familiaris,37
cogitatio,36
mons,36
plerus,36
opus,36
uertex,36
sapio,36
festino,36
mentior,36
seu,36
noxius,36
doceo,36
curiosus,36
prouidentia,36
qualis,36
comparo,36
forte,36
obsequium,36
uinum,36
medicus,36
nescio,36
gestio,36
cena,36
canis,36
mox,35
animal,35
cibus,35
fortis,35
exemplum,35
disco,35
concedo,35
curo,35
gratus,35
uirgo,35
dulcis,35
planus,35
fuga,35
scelus,35
profero,35
postulo,35
sacerdos,35
regio,34
censeo,34
color,34
confero,34
hinc,34
lingua,34
mitto,34
propior,34
sub,34
religio,34
numquam,34
equidem,34
plato,34
secum,34
penna,34
torus,34
amplexus,34
gaudium,34
uestis,34
amator,34
accuso,34
capio,33
elementum,33
appello,33
deinde,33
principium,33
fio,33
nosco,33
procul,33
honestus,33
ministerium,33
perpetuus,33
dignitas,33
comes,33
fatum,33
passim,33
flos,33
procedo,33
placeo,33
silentium,33
gradus,33
induco,33
quoque,33
argumentum,33
arduus,32
contingo,32
cursus,32
secundus,32
grandis,32
ceruix,32
nocturnus,32
nuncupo,32
pergo,32
refero,32
speculum,32
fatigo,32
religiosus,32
immanis,32
fingo,32
lucerna,32
porrigo,32
aemilius,32
sapientia,31
traho,31
memini,31
longus,31
oratio,31
praesto,31
sublimis,31
praedico,31
summa,31
sarcina,31
facilis,31
suadeo,31
metuo,31
ignoro,31
lar,31
quoad,31
deduco,31
sedulus,31
potis,31
poculum,31
magister,31
magia,31
falsus,31
terrenus,30
plaga,30
signum,30
mortalis,30
flamma,30
colo,30
tres,30
quoniam,30
pario,30
poeta,30
laudo,30
contentus,30
egregius,30
digitus,30
frustra,30
obeo,30
tenebrae,30
contego,30
hercules,30
libido,30
repente,30
impetus,30
nequam,30
capillus,30
magicus,30
eiusmodi,29
opera,29
nubes,29
repentinus,29
audeo,29
oro,29
solum,29
rex,29
assiduus,29
ciuis,29
unicus,29
miror,29
mendacium,29
arrepo,29
anus,29
oppidum,28
ordo,28
prior,28
simplex,28
memoro,28
cedo,28
crassus,28
conficio,28
opinio,28
peruenio,28
recte,28
hospes,28
diuus,28
porricio,28
conspectus,28
ibidem,28
diuitia,28
requiro,28
qua,28
perdo,28
probe,28
metus,28
uotum,28
itaque,28
pronuntio,28
bene,28
scribo,28
philosophia,27
humus,27
tenuis,27
uix,27
prae,27
ostendo,27
status,27
pulcher,27
simulacrum,27
praecipuus,27
resideo,27
specto,27
solitudo,27
percontor,27
felix,27
lacinia,27
nudus,27
contumelia,27
infestus,27
umquam,27
nitor,27
dens,27
probo,27
merces,27
tabula,27
suspicio,26
multitudo,26
nexus,26
formido,26
instar,26
siue,26
efficio,26
clades,26
perduco,26
praeceptum,26
desino,26
contendo,26
libero,26
cohibeo,26
saeuio,26
pudor,26
cerno,26
ferme,26
ideo,26
remotus,25
dignus,25
auctor,25
luna,25
oportet,25
coerceo,25
leuis,25
frequens,25
sinus,25
differo,25
indignatio,25
dirigo,25
secus,25
ferrum,25
loquor,25
postea,25
spectaculum,25
uere,25
indigeo,25
quisquis,25
prouincia,25
en,25
nutus,25
magistratus,25
pulchritudo,25
flagitium,25
scopulus,25
misellus,25
destino,25
praemium,25
conspicio,25
quiuis,25
coepio,25
anxius,25
dudum,25
crinis,25
cogito,25
fera,25
aerumna,25
abicio,25
appeto,25
epistula,25
uindico,24
profundus,24
defero,24
iugum,24
reliquus,24
sidus,24
stella,24
mensa,24
turbo,24
amplus,24
graecus,24
saxum,24
marinus,24
auxilium,24
condio,24
incipio,24
sors,24
uetus,24
natus,24
pecunia,24
haud,24
praeclarus,24
desum,24
praeditus,24
incertus,24
paro,24
subeo,24
paulus,24
famulus,24
uisum,24
carus,24
formosus,24
interim,24
sollicitus,24
securus,24
compello,24
risus,24
promptus,24
prudentia,24
addo,24
existimo,23
secerno,23
curriculum,23
consto,23
chorus,23
seruo,23
paene,23
recreo,23
gremium,23
indidem,23
muto,23
similitudo,23
prolixus,23
nascor,23
uinco,23
quicumque,23
uiscus,23
imperium,23
negotium,23
rego,23
necesse,23
posterus,23
celebro,23
matrimonium,23
tribuo,23
paruulus,23
inimicus,23
poena,23
produco,23
fletus,23
uber,23
delabor,23
intra,23
lauacrum,23
uespera,23
inuitus,23
praeda,23
assisto,23
remedium,23
testimonium,23
paulisper,23
desiderium,23
cadauer,23
inicio,23
hospitium,23
accusatio,23
dos,23
origo,22
merito,22
gigno,22
sino,22
matutinus,22
ingens,22
clamor,22
sto,22
praetereo,22
profiteor,22
absum,22
princeps,22
capesso,22
olim,22
ius,22
uindicta,22
inuidia,22
statuo,22
effero,22
nolo,22
aedes,22
uiso,22
solacium,22
comminor,22
identidem,22
copia,22
nequeo,22
secta,22
uenenum,22
ceterum,22
male,22
uoluntas,22
uenter,22
calumnia,22
adulescens,22
ritus,22
statua,22
maiestas,21
praeceps,21
telum,21
flumen,21
uniuersus,21
possideo,21
artus,21
uicinus,21
item,21
aduersus,21
spiro,21
pronus,21
iuppiter,21
amplius,21
gens,21
prouenio,21
meritum,21
permitto,21
dissero,21
gaudeo,21
insuper,21
deprecor,21
aeger,21
luctus,21
nefarius,21
pretiosus,21
salutaris,21
cruciatus,21
aeque,21
praesentia,21
gloria,21
aspectus,21
aemulus,21
consulo,21
decerno,21
dehinc,21
admodum,21
turpis,21
iudex,21
similiter,21
dux,20
tego,20
immortalis,20
conuerto,20
coniunx,20
mille,20
aduenio,20
penitus,20
tutela,20
dispono,20
cano,20
miles,20
memoria,20
recipio,20
pactum,20
sollers,20
discedo,20
uenia,20
coetus,20
templum,20
paeniteo,20
temerarius,20
desero,20
saucius,20
fleo,20
dirus,20
doleo,20
arbor,20
prospicio,20
ancilla,20
monstro,20
pauper,20
periclitor,20
candidus,20
mando,20
furor,20
aggredior,20
maleficium,20
suimet,19
manifestus,19
editus,19
fluctus,19
initium,19
amicitia,19
conscientia,19
committo,19
munio,19
abeo,19
praesidium,19
aptus,19
infelix,19
nutrio,19
eximius,19
ueneror,19
suauis,19
ratus,19
subministro,19
affero,19
dono,19
amo,19
respicio,19
sordidus,19
ambo,19
tolero,19
gesto,19
ignarus,19
prosterno,19
pone,19
dubius,19
sperno,19
uilla,19
frons,19
fugio,19
exhibeo,19
iustus,19
iumentum,19
idcirco,19
diues,19
insignis,19
ueritas,19
inspicio,18
urbs,18
euenio,18
contemplo,18
exiguus,18
moueo,18
custodia,18
onustus,18
mollis,18
dorsum,18
minor,18
ros,18
imber,18
largus,18
breuis,18
priusquam,18
pondus,18
quando,18
perfero,18
quatio,18
armatus,18
serus,18
sensus,18
sonus,18
animaduerto,18
fateor,18
etsi,18
positus,18
interea,18
obuius,18
pietas,18
tristis,18
commeo,18
epula,18
idoneus,18
copiosus,18
pastor,18
coram,18
praecipio,18
percieo,18
lacero,18
nuptialis,18
trepidus,18
lectulus,18
diligo,18
demonstro,18
delicatus,18
mereo,18
consuesco,18
acer,18
libenter,18
rite,18
flagito,18
carthago,18
queo,18
uacuus,18
scaena,18
immitto,18
ualetudo,18
praeco,18
commemoro,18
doctrina,18
adulter,18
aeuum,17
error,17
interdum,17
cogo,17
floreo,17
insula,17
sedes,17
iungo,17
interior,17
nisus,17
patefacio,17
corona,17
prodo,17
potens,17
ianua,17
custos,17
ubique,17
datum,17
facultas,17
exinde,17
habitus,17
lignum,17
sagitta,17
calco,17
feralis,17
tibia,17
percutio,17
mitis,17
sedo,17
balneum,17
lectus,17
gena,17
potior,17
exploro,17
nauis,17
fraus,17
laeto,17
socius,17
lenio,17
postquam,17
impedio,17
fluuius,17
laboro,17
nuntio,17
utique,17
offendo,17
tempto,17
supersum,17
excipio,17
remeo,17
rosa,17
panis,17
morsus,17
nobilis,17
exsurgo,17
decorus,17
uito,17
recens,17
baculum,17
euado,17
noceo,17
testamentum,17
paupertas,17
augeo,17
aether,16
sane,16
complexus,16
quantum,16
