,count
sum,594
qui,428
et,365
is,363
in,284
num,204
cum,193
hic,189
dico,166
ut,161
ab,147
de,129
non,118
ille,111
ex,110
lex,110
cicero,91
quod,87
ad,84
res,84
facio,82
ipse,79
pompeius,73
sui,72
senatus,69
fero,68
quam,66
autem,64
edo,63
populus,59
idem,59
tribunus,59
possum,57
post,56
ego,56
suus,54
iudicium,54
dies,53
ante,52
nec,52
claudus,52
sed,51
habeo,51
enim,50
uideo,49
magnus,49
consul,47
ac,46
catilina,46
etiam,44
primus,42
annus,42
plebs,42
cornelius,40
duo,40
multus,40
ne,40
significo,39
oratio,38
cn,38
omnis,36
tum,36
tu,34
quis,34
publicus,34
piso,33
deinde,33
nam,32
do,32
quisque,32
locus,32
ita,32
factum,31
pro,31
homo,30
circa,30
per,30
domus,30
tamen,29
quoque,29
si,29
unus,29
apud,28
atque,28
quidem,27
romanus,27
causa,27
seruus,27
absoluo,27
iam,27
scaurus,27
tempus,26
consulatus,26
postea,26
alter,26
pars,25
alius,24
pater,24
paulus,24
ludus,23
contra,23
contio,23
occido,23
propter,22
sententia,22
sulla,22
aut,21
inter,20
domitius,20
nomen,20
ius,20
reus,20
s,20
praetor,20
iudex,20
uolo,20
bellum,19
eques,19
defendo,19
uer,19
postulo,19
quia,19
tres,19
crassus,18
uos,18
ciuitas,18
ob,18
antonius,18
senator,18
paucus,17
peto,17
sex,17
filius,17
gero,17
ago,17
nullus,16
appello,16
nouus,16
urbs,16
accuso,16
bonus,16
creo,16
summa,15
modo,15
puto,15
scipio,15
inuidia,15
uerus,15
frater,15
saepe,15
quaero,15
manus,15
accusator,15
uerbum,14
dictum,14
decerno,14
magistratus,14
uir,14
iubeo,14
posterus,14
pecunia,14
collega,14
f,14
respondeo,13
tuus,13
potestas,13
tantus,13
crimen,13
fio,13
tertius,13
aerarius,13
adsum,13
caedes,13
ambitus,13
pono,12
claudius,12
prouincia,12
genus,12
caesar,12
mos,12
aio,12
uenio,12
itaque,12
auctor,12
curia,12
damnatus,12
inimicus,12
nunc,12
uita,12
uis,12
interrex,12
manifestus,11
familia,11
soleo,11
deduco,11
auus,11
supra,11
quidam,11
opera,11
collegium,11
sicut,11
parum,11
orator,11
consularis,11
animus,11
cassius,11
defero,11
nomino,11
praeterea,11
lepidus,11
maxime,11
sic,10
gabinius,10
liber,10
ideo,10
meus,10
dignitas,10
secundus,10
filia,10
trado,10
auctoritas,10
aduersus,10
quoius,10
restituo,10
statim,10
mitto,10
nemo,10
consilium,10
socius,10
praetura,10
mucius,10
damno,10
ordo,10
nego,10
multitudo,10
plancus,10
abrogo,10
obtineo,9
patior,9
aetas,9
ceterus,9
roma,9
latus,9
tollo,9
superus,9
repetunda,9
uirtus,9
ciuis,9
comitium,9
adulescens,9
competitor,9
obicio,9
aliquis,9
loquor,9
prius,9
an,9
manilius,9
quaesitor,9
suffragium,9
numerus,9
curio,9
argumentum,8
totus,8
credo,8
accipio,8
sine,8
nepos,8
infero,8
corpus,8
antea,8
nisi,8
uterque,8
teneo,8
marcellus,8
pontifex,8
uictoria,8
solus,8
sulpicius,8
iudico,8
male,8
princeps,8
timeo,8
dimitto,8
gratia,8
utor,8
testis,8
patricius,8
grauis,8
dum,8
dictator,8
perfero,8
ostendo,8
torquatus,8
theatrum,7
intellego,7
memoria,7
ulter,7
appius,7
appareo,7
pertineo,7
colonia,7
maneo,7
prope,7
iulius,7
familiaris,7
dux,7
ergo,7
mentio,7
at,7
ibi,7
africa,7
honor,7
aedes,7
nos,7
italicus,7
ratio,7
intercedo,7
cognosco,7
redeo,7
seruilius,7
moueo,7
sacer,7
nobilitas,7
uero,7
scio,7
suspicio,7
curius,7
cos,7
forum,7
sequor,7
hora,7
taberna,7
desisto,7
coepio,7
intercessio,7
maiestas,7
enarratio,6
magis,6
magnopere,6
longus,6
uetus,6
inuenio,6
consido,6
marius,6
sublatus,6
incendo,6
biennium,6
singulus,6
lego,6
