,count
et,124
qui,63
in,61
meus,51
sum,45
is,31
consul,28
ego,26
ex,26
ad,25
populus,21
senatus,20
romanus,19
per,19
mille,18
ab,16
rex,16
facio,15
aedes,15
num,13
cum,13
filius,13
nomen,13
res,12
aut,11
annus,10
autem,10
bellum,10
omnis,10
circiter,10
magnus,10
imperium,9
publicus,9
do,9
postea,9
multus,9
pro,9
appello,8
decerno,7
potestas,7
non,7
tum,7
solus,7
tempus,7
templum,7
gero,6
suus,6
idem,6
cos,6
ciuis,6
gens,6
quam,6
dies,6
ante,6
defero,6
ut,6
princeps,6
quintus,6
noster,6
quod,6
millies,6
nepos,6
prouincia,6
terra,5
exercitus,5
capio,5
mare,5
tribunicius,5
lex,5
collega,5
lustrum,5
triginta,5
italia,5
miles,5
reficio,5
amicitia,5
locus,4
uterque,4
bis,4
sub,4
deduco,4
colonia,4
municipium,4
pecunia,4
praeter,4
ago,4
triumphus,4
legatus,4
summa,4
recipio,4
lentulus,4
cn,4
tertius,4
magistratus,4
perficio,4
accipio,4
uir,4
ter,4
post,4
centum,4
tres,4
uiuus,4
ludus,4
honor,4
urbs,4
hispania,4
gallius,4
uiritim,4
homo,4
signum,4
augustus,3
diuus,3
impensa,3
roma,3
priuatus,3
consilium,3
iubeo,3
ciuilis,3
totus,3
saepe,3
peto,3
praemium,3
capitolium,3
uotum,3
quinquies,3
supplico,3
edo,3
consultum,3
septimus,3
lucretius,3
nullus,3
ipse,3
usque,3
hic,3
census,3
caput,3
quadragies,3
circa,3
ducenti,3
exemplum,3
trado,3
sacerdos,3
collegium,3
pater,3
auctoritas,3
pars,3
forum,3
quadringeni,3
colonus,3
quater,3
apollo,3
circus,3
iuppiter,3
mars,3
ultor,3
alius,3
flumen,3
finis,3
oppidum,3
orbis,2
subicio,2
duo,2
libertas,2
ob,2
consularis,2
constituo,2
creo,2
acies,2
uictor,2
possum,2
quingenti,2
remitto,2
trecenti,2
assigno,2
nauis,2
si,2
minor,2
triremis,2
imperator,2
quisque,2
auspex,2
prospere,2
deus,2
praesens,2
recuso,2
frumentum,2
mos,2
contra,2
maius,2
uolo,2
deposco,2
decem,2
augur,2
sacer,2
augeo,2
consulatus,2
agr,2
iterum,2
sex,2
pompeius,2
nouus,2
ualetudo,2
aliquotiens,2
priuatim,2
uniuersus,2
puluinar,2
sacerdotium,2
occupo,2
numquam,2
fortuna,2
reditus,2
consecro,2
uirgo,2
uestalis,2
anniuersarius,2
sacrificium,2
redeo,2
plebs,2
neo,2
pax,2
pario,2
memoria,2
gaius,2
decimus,2
argenteus,2
numero,2
patrimonium,2
peruenio,2
sexageni,2
soluo,2
sestertius,2
aerarius,2
militaris,2
palatium,2
porticus,2
iulus,2
flaminius,2
uia,2
riuus,2
complus,2
basilica,2
sextus,2
aurum,2
antea,2
munus,2
spectaculum,2
uicies,2
bestia,2
classis,2
repono,2
statua,2
habeo,2
paco,2
dominus,2
iuro,2
uerbum,2
uel,2
ostium,2
regio,2
oriens,2
nec,2
adeo,2
aethiopius,2
hostis,2
interficio,2
regnum,2
priuignus,2
mitto,2
dux,2
cogo,2
citra,2
incido,1
aeneus,1
pila,1
positus,1
exemplar,1
subiectum,1
undeuiginti,1
natus,1
priuo,1
comparo,1
dominatio,1
factio,1
opprimo,1
uindico,1
decretum,1
honorificus,1
hirtius,1
sententia,1
dico,1
tribuo,1
ne,1
quis,1
detrimentum,1
propraetor,1
simul,1
prouideo,1
cado,1
triumuir,1
parens,1
trucido,1
exsilium,1
expello,1
iudicium,1
legitimus,1
ulcisco,1
facinus,1
infero,1
uicus,1
externus,1
uenia,1
parco,1
tutus,1
ignosco,1
conseruo,1
excido,1
malo,1
sacramentum,1
emeritus,1
aliquanto,1
ager,1
militia,1
sescenti,1
ouo,1
triumpho,1
curulis,1
semel,1
supersedeo,1
laurus,1
de,1
fascis,1
depono,1
nuncupo,1
solutus,1
immortalis,1
duco,1
currus,1
liber,1
nouem,1
dictatura,1
absens,1
marcellus,1
arruntius,1
penuria,1
curatio,1
annona,1
metus,1
libero,1
annuus,1
perpetuus,1
paullum,1
fabius,1
consentiens,1
curator,1
ultro,1
continuus,1
scribo,1
epulo,1
frater,1
sodalis,1
titius,1
fetialis,1
patricius,1
numerus,1
iussus,1
alter,1
quadragensimus,1
sexaginta,1
asinius,1
caesar,1
appuleius,1
nongenti,1
septem,1
auctor,1
latus,1
iam,1
saeculum,1
reduco,1
imito,1
posterus,1
suscipio,1
quattuor,1
amplus,1
etiam,1
municipatim,1
unanimis,1
continenter,1
apud,1
includo,1
saliaris,1
carmen,1
sacrosanctus,1
quoad,1
uiuo,1
pontifex,1
aliqui,1
occasio,1
cunctus,1
comitium,1
confluens,1
multitudo,1
quantus,1
fero,1
sulpicius,1
ara,1
redux,1
uirtus,1
porta,1
capena,1
cognomen,1
praetor,1
obuiam,1
campania,1
campus,1
martius,1
ianus,1
nos,1
uictoria,1
priusquam,1
nascor,1
condio,1
omnino,1
prodo,1
claudo,1
censeo,1
iuuenis,1
eripio,1
lucius,1
designo,1
ineo,1
quinquennium,1
intersum,1
eques,1
iuuentus,1
parma,1
hasta,1
dono,1
plebeius,1
treceni,1
testamentum,1
congiarium,1
pernumero,1
undecimus,1
duodecim,1
frumentatio,1
coemo,1
emetior,1
duodecimus,1
nummus,1
parum,1
quinquaginta,1
uiginti,1
urbanus,1
denarius,1
singulus,1
triumphalis,1
congiarius,1
quartus,1
crassus,1
municeps,1
italicus,1
praeda,1
aetas,1
piso,1
item,1
antistius,1
caluisius,1
fabricius,1
persoluo,1
iuuo,1
ita,1
uiceni,1
stipendium,1
deficio,1
uectigal,1
multo,1
frumentarius,1
nummarius,1
tributus,1
horreum,1
continens,1
lupercal,1
passus,1
prior,1
octauius,1
feretrum,1
tonans,1
quirinus,1
minerua,1
iuno,1
regina,1
lares,1
penates,1
opus,1
grandis,1
sine,1
inscriptio,1
aqua,1
uetustas,1
labor,1
duplico,1
fons,1
inmitto,1
iulius,1
castor,1
saturnus,1
coeptum,1
profligatus,1
consumo,1
incendium,1
amplio,1
titulus,1
incoho,1
heres,1
octoginta,1
praetermitto,1
debeo,1
pons,1
muluius,1
minucius,1
forus,1
theatrum,1
emptum,1
gener,1
uesta,1
consto,1
corono,1
pondo,1
quinque,1
confero,1
quotienscumque,1
coronarius,1
colona,1
benigne,1
atque,1
gladiatorius,1
depugno,1
athleta,1
undique,1
accio,1
praebeo,1
uicis,1
magister,1
saecularis,1
furnius,1
martialis,1
primus,1
deinceps,1
insequor,1
s,1
uenatio,1
africanus,1
amphitheatrum,1
sexiens,1
conficio,1
naualis,1
proelium,1
trans,1
tiberis,1
nunc,1
longitudo,1
octingenti,1
pes,1
latitudo,1
rostratus,1
biremis,1
inter,1
sui,1
confligo,1
remex,1
ornamentum,1
possideo,1
pedester,1
equester,1
sto,1
tollo,1
donum,1
aureus,1
ille,1
praedo,1
fugio,1
supplicium,1
sumo,1
spons,1
actium,1
eadem,1
africa,1
senator,1
factum,1
finitimus,1
albus,1
alpis,1
propior,1
pacifico,1
iniuria,1
oceanus,1
sol,1
nauigo,1
tractus,1
germanus,1
fere,1
copia,1
caedo,1
procedo,1
aegyptus,1
adicio,1
descisco,1
rebello,1
domo,1
rego,1
mors,1
regius,1
genus,1
armenus,1
oriundus,1
uergo,1
macedonia,1
celeber,1
amissum,1
deuinco,1
spolium,1
reddo,1
penetralis,1
profero,1
ripa,1
transgressus,1
uictus,1
ductus,1
perfero,1
indium,1
legatio,1
missa,1
uiso,1
quisquam,1
appeto,1
ultra,1
albanus,1
supplex,1
confugio,1
britannus,1
suebus,1
rus,1
bellus,1
supero,1
sed,1
liberi,1
pignus,1
experior,1
fides,1
postquam,1
consensus,1
potior,1
arbitrium,1
transfero,1
meritum,1
laurea,1
postis,1
uestio,1
publice,1
