,count
qui,2847
in,2563
et,2228
is,2199
sum,2174
ad,1678
sui,1433
cum,1350
ab,1288
hic,1241
ex,1161
ut,1114
omnis,1091
atque,985
suus,949
res,912
non,738
magnus,732
locus,710
castrum,680
caesar,652
possum,645
quod,620
nec,605
facio,542
legio,542
pars,539
hostis,531
noster,503
miles,495
oppidum,465
ipse,462
habeo,444
dies,440
de,423
nauis,420
ac,402
copia,388
eques,386
reliquus,374
exercitus,364
num,334
ne,329
aut,329
ille,324
si,322
bellum,316
tempus,309
mitto,307
idem,303
edo,303
proelium,302
unus,298
causa,297
sed,294
iter,294
uenio,293
multus,289
uideo,285
quam,283
ciuitas,280
cognosco,274
per,268
equitatus,264
praesidium,261
consilium,250
recipio,243
duo,236
mille,235
iubeo,235
legatus,229
primus,227
numerus,225
pompeius,221
flumen,209
ita,205
interficio,205
tantus,204
tamen,202
relinquo,201
munitio,197
factum,196
superus,194
multitudo,193
acies,193
animus,189
nullus,185
opus,185
capio,183
etiam,181
homo,177
gero,175
coepio,175
ibi,174
paucus,170
alius,169
quis,168
auxilium,166
finis,164
inter,163
existimo,163
prouincia,163
cohors,161
do,161
longe,157
arma,157
uirtus,157
nox,155
dico,153
celeriter,151
fuga,151
ante,150
iam,149
quisque,149
enim,148
periculum,148
contendo,148
pro,147
uolo,144
itaque,140
constituo,138
fero,137
proficiscor,135
sine,135
interim,135
frumentum,133
passus,133
conficio,132
propter,132
signum,130
alter,130
peruenio,129
totus,128
populus,127
contra,125
peto,124
ubi,122
pugno,122
impetus,121
autem,120
summa,117
aduentus,116
cogo,114
scipio,113
accido,112
murus,111
nam,110
certus,110
telum,109
discedo,108
classis,108
rex,108
aduersarius,107
ratio,106
uterque,106
circiter,105
uis,104
ago,104
instruo,103
teneo,103
tum,101
prohibeo,100
spes,100
munio,99
spatium,98
dimitto,98
manus,97
impero,97
conuenio,96
transeo,95
timor,94
imperium,94
parum,92
regio,92
apud,92
porta,91
animaduerto,91
uallum,90
turris,90
occupo,90
insequor,89
fortuna,89
colloco,88
defendo,88
uictoria,88
perterreo,87
fere,87
salus,86
sustineo,86
fio,86
genus,86
deduco,86
obses,85
publicus,85
post,85
consto,84
annus,84
impedio,84
confero,83
duco,83
usus,83
collis,83
nihil,82
latus,82
paro,82
dum,81
complures,81
littera,81
paulus,81
ager,80
pes,80
natura,80
consuetudo,80
labor,79
accedo,79
longus,79
simul,79
instituo,79
nouus,78
impedimentum,78
posterus,78
centurio,77
demonstro,77
eo,77
senatus,77
contineo,76
fides,76
sub,76
pons,76
equus,76
nuntius,76
appello,76
efficio,76
portus,76
dimico,75
urbs,75
hibernus,74
infero,74
absum,74
potestas,74
quoius,73
gratia,73
princeps,73
agmen,73
ordo,73
mons,73
dux,72
subsidium,72
quidem,71
adeo,71
facultas,71
item,71
pugna,71
tertius,70
secundus,69
sic,69
intermitto,68
pecunia,68
medius,67
confirmo,67
subito,67
dispono,67
proximus,67
castellum,67
facile,66
confido,66
maxime,66
at,66
datum,66
cornu,66
regnum,66
finitimus,65
silua,65
castra,65
sequor,65
mare,65
satis,64
consuesco,64
singulus,64
tribunus,64
utor,64
nuntio,63
pono,63
accipio,63
rursus,63
tres,63
conor,63
uero,63
grauis,63
romanus,63
intellego,62
quidam,62
committo,62
supra,62
ullus,61
barbarus,61
conspectus,61
profectus,61
fugio,61
aqua,61
obtineo,61
praeficio,60
armatura,60
ciuis,60
oppidanus,60
praeterea,60
necessarius,60
pax,59
amplius,59
educo,59
fossa,59
traduco,59
trado,59
leuis,59
exspecto,59
audio,58
paruus,58
arbitro,58
domus,58
reuertor,57
magnitudo,57
extremus,57
patior,57
nanciscor,57
terra,57
opinio,56
polliceor,56
conicio,56
commeatus,56
uentus,56
casus,55
acceptum,55
uulnus,55
labienus,55
inopia,55
perficio,54
resisto,54
circumuenio,54
nisi,54
uniuersus,54
auctoritas,54
agger,54
dexter,54
quisquam,53
amicitia,53
quantus,53
missa,53
incendo,53
liber,53
beneficium,53
reduco,53
quin,52
undique,52
nonnullus,52
imperator,52
aequus,52
uita,51
progredior,51
condicio,51
nomen,51
consisto,51
initium,51
oppugno,51
uereor,51
bonus,51
domitius,51
uigilia,51
complus,50
adduco,50
ulter,50
paene,50
siue,50
procedo,50
par,50
administro,50
prope,50
incolumis,50
moueo,50
intra,50
prius,49
celeritas,49
propius,49
timeo,49
clamor,49
postquam,49
sinister,49
supero,48
potior,48
audeo,48
positus,48
etsi,48
adductus,48
premo,48
praesum,48
eruptio,48
nos,47
affero,47
diu,47
summum,47
postea,47
detrimentum,47
incito,47
expedio,47
reperio,47
studium,47
frumentarius,46
tempestas,46
doceo,46
inferus,46
idoneus,46
oppugnatio,46
modo,46
cohorto,46
remitto,45
ius,45
