,count
et,165
qui,103
tu,80
ego,62
hic,60
non,53
sum,51
nec,47
si,43
iam,40
in,36
sed,33
ut,32
cum,31
dico,30
ipse,27
deus,27
ille,25
sub,24
ne,24
do,22
carmen,22
nunc,21
meus,19
nos,18
silua,18
nam,18
noster,18
quis,17
tuus,17
uideo,17
dum,16
uenio,16
tamen,16
ab,16
possum,15
primus,15
o,15
omnis,15
fero,14
solus,13
quam,13
aut,13
saepe,13
cantus,13
umbra,12
ad,12
inter,12
grex,12
sol,11
ecce,11
etiam,11
pecus,11
ouile,11
sine,11
at,11
dulcis,11
magis,11
canto,11
uicinus,10
iste,10
calamus,10
modo,10
sic,10
numen,10
per,10
tempus,10
ago,10
amor,10
os,9
uiridis,9
arbor,9
bonus,9
auris,9
puer,9
forte,9
audio,9
tunc,9
certe,9
cerno,8
quoque,8
facio,8
sacer,8
aspicio,8
rumpo,8
liceo,8
pax,8
terra,8
manus,8
totus,8
adsum,8
sono,8
accipio,8
uel,8
soleo,8
miser,8
nisi,8
fons,8
iudex,8
tremulus,8
mons,8
leuis,8
gramen,8
tener,8
multus,8
quamuis,7
pater,7
mollis,7
nemus,7
peto,7
ubi,7
fistula,7
refero,7
uos,7
iuuenis,7
post,7
suus,7
uultus,7
taceo,7
plenus,7
iaceo,7
medius,7
auena,7
hortus,7
idem,7
taurus,7
certo,7
habeo,7
incipio,7
frondeo,7
harena,7
herba,7
enim,7
sequor,6
noto,6
sui,6
longus,6
cano,6
iuuo,6
securus,6
uinco,6
orbis,6
nullus,6
candidus,6
procul,6
prior,6
quicumque,6
caelum,6
liquidus,6
bucolicus,6
uellus,6
ouis,6
niueus,6
annus,6
uolo,6
senex,6
quisquam,6
tantus,6
memini,6
en,6
urbs,6
seu,6
dens,6
specto,6
aestas,5
coma,5
caput,5
uoco,5
qua,5
nuper,5
mater,5
nihil,5
mora,5
populus,5
aureus,5
tergum,5
dudum,5
teres,5
forsitan,5
uro,5
pignus,5
genus,5
fera,5
ilex,5
lentus,5
pes,5
pascuus,5
flos,5
amo,5
agna,5
nouus,5
quaero,5
frons,5
fateor,5
lilium,5
cado,5
precor,5
quotiens,5
fallo,5
dies,5
hora,5
contingo,5
extremus,5
felix,5
haedus,5
scio,5
aurum,5
latus,4
torridus,4
potius,4
antrum,4
fagus,4
ramus,4
erro,4
nocturnus,4
seruo,4
maturus,4
docilis,4
nescius,4
propius,4
altus,4
uersus,4
satis,4
aether,4
affero,4
aetas,4
positus,4
rego,4
morsus,4
timeo,4
liber,4
arma,4
iubeo,4
opus,4
numero,4
alter,4
reddo,4
aufero,4
nox,4
uterque,4
talis,4
scilicet,4
pondus,4
fortis,4
respicio,4
modulor,4
uox,4
conuenio,4
placeo,4
magnus,4
pasco,4
siccus,4
iacto,4
dono,4
muto,4
ars,4
malus,4
puto,4
porto,4
tellus,4
eo,4
rusticus,4
mitto,4
uber,4
premo,4
lac,4
num,4
decipio,4
iuuenta,4
resono,4
uix,4
uallis,4
durus,4
dubito,4
uaco,4
quando,4
iuro,4
ulter,4
protinus,4
tam,4
uerbum,4
quod,4
uilis,4
ante,4
credo,4
olim,4
uiso,4
nimbus,4
edo,4
fragilis,4
proximus,4
obsum,4
malo,4
lustro,4
lis,4
improbus,4
cornu,4
cur,3
frater,3
gracilis,3
leuo,3
gaudium,3
desum,3
nondum,3
cortex,3
inuidus,3
corpus,3
pastor,3
distinguo,3
iugum,3
canus,3
gaudeo,3
nolo,3
redeo,3
saeculum,3
uiuo,3
torqueo,3
bellus,3
duco,3
subigo,3
qualis,3
ferrum,3
stringo,3
doceo,3
uacuus,3
inanis,3
reduco,3
ortus,3
uulnus,3
sicut,3
sanguis,3
prius,3
sonus,3
diligo,3
gelidus,3
simul,3
calco,3
irritus,3
uictor,3
alternus,3
canna,3
canalis,3
nascor,3
parens,3
salix,3
aridus,3
sucus,3
locus,3
unda,3
pono,3
agnus,3
mille,3
tot,3
tepidus,3
tango,3
luceo,3
fugio,3
is,3
par,3
relinquo,3
munus,3
absum,3
matutinus,3
inuenio,3
iurgium,3
uester,3
ac,3
coepio,3
pallidus,3
uua,3
uinum,3
iners,3
libet,3
occiduus,3
penso,3
saxum,3
sto,3
acuo,3
ripa,3
amnis,3
iungo,3
desero,3
arrideo,3
ops,3
ingens,3
dumetum,3
rideo,3
faueo,3
laudo,3
uicis,3
subitus,3
nomen,3
uerus,3
utinam,3
labor,3
patulus,3
capella,3
campus,3
aestiuus,3
uiuus,3
serus,3
committo,3
argutus,3
barba,3
ouum,3
arbiter,3
ceruix,3
spectaculum,3
miror,3
equus,2
raucus,2
trado,2
hirsutus,2
succedo,2
aqua,2
radix,2
protego,2
nego,2
peruius,2
igitur,2
capto,2
pariter,2
describo,2
pagina,2
falx,2
lumen,2
citus,2
percurro,2
mos,2
resulto,2
iubilo,2
oculus,2
tueor,2
laetus,2
praecipue,2
claudo,2
ullus,2
capistrum,2
renascor,2
tandem,2
causa,2
gero,2
triumphus,2
carcer,2
lux,2
domo,2
simulo,2
cedo,2
feralis,2
rarus,2
regnum,2
consul,2
lex,2
exsulto,2
gens,2
colo,2
pateo,2
occasus,2
uicesimus,2
placidus,2
polus,2
ignis,2
spargo,2
scintillo,2
moles,2
sonitus,2
ex,2
uelut,2
misceo,2
facundus,2
ueneror,2
caneo,2
augustus,2
formosus,2
grauis,2
contendo,2
paro,2
uictus,2
messis,2
certamen,2
uagus,2
ferio,2
flumen,2
cursus,2
cesso,2
apis,2
moneo,2
ter,2
quisque,2
mico,2
digitus,2
palleo,2
ludo,2
irriguus,2
niger,2
albus,2
diuersus,2
parum,2
mutabilis,2
induo,2
pomum,2
tempero,2
cogo,2
recido,2
fetura,2
perfundo,2
sidus,2
secerno,2
uotum,2
riuus,2
ulmus,2
casa,2
pastoralis,2
tectum,2
caespes,2
fingo,2
mel,2
gratus,2
imbuo,2
seruio,2
lego,2
tenuis,2
meto,2
bruma,2
impedio,2
ager,2
sumo,2
apricus,2
surgo,2
munero,2
nux,2
etenim,2
lana,2
reuoco,2
uesper,2
hinc,2
illinc,2
obstrepo,2
recludo,2
sitio,2
irrigo,2
iuuenca,2
pratum,2
requiesco,2
palearis,2
equidem,2
abeo,2
tityrus,2
uerber,2
frango,2
testis,2
sperno,2
cera,2
pectus,2
nudus,2
iro,2
uereor,2
tendo,2
indulgeo,2
puella,2
meditor,2
placo,2
prex,2
acerbus,2
somnus,2
tollo,2
domina,2
sapio,2
bibo,2
osculum,2
labrum,2
dolor,2
diues,2
sicco,2
mulctrum,2
suspendo,2
natus,2
salictum,2
texo,2
tremo,2
mereo,2
rosa,2
bene,2
forsan,2
coquo,2
legumen,2
turpis,2
tego,2
sepes,2
umor,2
sedes,2
nemoralis,2
quidem,2
despicio,2
quisquis,2
ualeo,2
probo,2
propior,2
obumbro,2
admoueo,2
cicuta,2
ueto,2
semel,2
colligo,2
uenalis,2
fames,2
scopulus,2
far,2
hibernus,2
recubo,2
trux,2
impello,2
sibilo,2
longe,2
limus,2
concino,2
corymbus,2
laurus,2
pulcher,2
trepidus,2
blandus,2
rutilus,2
crinis,2
aspernor,2
sector,2
praesens,2
perpetuus,2
gelu,2
rus,2
subito,2
expello,2
eurus,2
fetus,2
magister,2
taciturnus,2
arbutum,2
denso,2
odor,2
stupefacio,2
fors,2
palam,2
insto,2
aratrum,2
arista,2
salio,2
turba,2
uirido,2
uelox,2
mortalis,2
resoluo,2
concedo,2
paupertas,2
tum,2
deduco,2
interea,2
perago,2
alumnus,2
torrens,2
lasciuus,2
nauus,2
senectus,2
uolucris,2
nidus,2
uerno,2
hircus,2
mane,2
rursus,2
recens,2
sinus,2
fides,2
efficio,2
cibus,2
frigidus,2
uetus,2
porrigo,2
includo,2
constringo,2
iuba,2
coeo,2
circumspicio,2
bitumen,2
pix,2
mapalia,2
hiems,2
uireo,2
excutio,2
sterno,2
pecuarius,2
unus,2
insum,2
quoniam,2
stillo,2
credulus,2
pars,2
pendeo,2
collum,2
aper,2
sedeo,2
ungula,2
curuo,2
siluester,2
torus,2
exedo,2
sinuo,2
cupio,2
impono,2
finis,2
axis,2
aequo,2
pullus,2
sordidus,2
uestis,2
undique,2
deformis,2
mitigo,1
madidus,1
incumbo,1
prelum,1
racemus,1
spumo,1
mustus,1
susurro,1
uacca,1
genesta,1
defendo,1
galerum,1
pineus,1
denseo,1
rapidus,1
obuius,1
bullo,1
implico,1
cumque,1
amplexus,1
corniger,1
sacrarium,1
promus,1
recondo,1
compingo,1
harundo,1
quisnam,1
propero,1
littera,1
rima,1
areo,1
laxo,1
hiatus,1
internodium,1
largus,1
procerus,1
triuialis,1
uiator,1
armentalis,1
montanus,1
mirus,1
sequax,1
diuinus,1
perlego,1
satus,1
patefacio,1
incido,1
fatum,1
colonus,1
uagor,1
custos,1
fraxineus,1
praesaepium,1
cratis,1
insidiae,1
praedator,1
laxus,1
abigo,1
iumentum,1
squalor,1
situs,1
almus,1
beatus,1
maternus,1
impius,1
spolio,1
telum,1
uesanus,1
uiscus,1
ciuilis,1
differo,1
secum,1
defleo,1
captiuus,1
immergo,1
tenebrae,1
profiteor,1
hostis,1
grassor,1
publicus,1
diffundo,1
discordia,1
uitium,1
insanus,1
contundo,1
ensis,1
catenatus,1
pompa,1
senatus,1
carnifex,1
lasso,1
infelix,1
quies,1
caedes,1
agmen,1
adhuc,1
castra,1
sileo,1
tuba,1
adumbro,1
facies,1
mercatus,1
honor,1
fascis,1
tribunal,1
ius,1
foris,1
affligo,1
aeuum,1
notus,1
inferus,1
erigo,1
boreus,1
feruo,1
purus,1
fulgeo,1
radior,1
profero,1
niteo,1
numquid,1
cruentus,1
ardeo,1
lampas,1
quondam,1
raptus,1
fatalis,1
ciuis,1
excipio,1
inconcussus,1
lacertus,1
transfero,1
fragor,1
intono,1
meritum,1
defungor,1
penates,1
censeo,1
subeo,1
terror,1
offero,1
laniger,1
dominus,1
diu,1
impar,1
septem,1
uindico,1
aer,1
penna,1
umbrosus,1
bicornis,1
udus,1
teneo,1
properantia,1
desisto,1
incurro,1
silentium,1
neglego,1
daedalus,1
nectareus,1
intermitto,1
annosus,1
consido,1
merces,1
laus,1
opprobrium,1
decerno,1
circumdo,1
taeda,1
paruus,1
obliquus,1
cresco,1
pingo,1
nutrio,1
cultus,1
maritus,1
species,1
ambiguus,1
testor,1
color,1
ignotus,1
gentilis,1
pirum,1
insero,1
surrepo,1
persicum,1
pruna,1
carpo,1
condisco,1
depello,1
fuluus,1
pango,1
area,1
satio,1
languidus,1
plantaria,1
regno,1
profanus,1
gemmeus,1
pampineus,1
faginus,1
contemno,1
barbarus,1
uaporo,1
palpito,1
festus,1
deuoueo,1
pomifer,1
lar,1
consuesco,1
primitia,1
libum,1
roro,1
fauus,1
caper,1
ara,1
balo,1
praesto,1
caseus,1
hornus,1
semper,1
holus,1
langueo,1
excoquo,1
calathus,1
nuto,1
tonsura,1
renideo,1
castanea,1
totidem,1
echinus,1
informis,1
uestigium,1
lanugo,1
conspicor,1
admiror,1
totiens,1
cereus,1
posco,1
crepusculum,1
finio,1
ob,1
concors,1
decor,1
socio,1
occurro,1
paene,1
duo,1
eximo,1
appareo,1
perdo,1
ruscum,1
crus,1
rubeta,1
scindo,1
attendo,1
immodice,1
ingratus,1
mobilis,1
uentus,1
femina,1
mella,1
amarus,1
queror,1
laeuus,1
flecto,1
caleo,1
spatiosus,1
contemptus,1
deprehendo,1
huc,1
hastile,1
noxa,1
interuenio,1
contentus,1
dos,1
rogo,1
intexo,1
comito,1
interior,1
ardesco,1
ambo,1
diduco,1
tunica,1
improbe,1
penes,1
maneo,1
exopto,1
iurgo,1
anhelus,1
decet,1
noceo,1
mando,1
sedulus,1
nuntius,1
mitesco,1
cerasus,1
decido,1
rutilo,1
fleo,1
excludo,1
disperdo,1
destringo,1
marcesco,1
turdus,1
oliua,1
lepus,1
legulus,1
tabidus,1
uae,1
acesco,1
atque,1
stridor,1
quot,1
numerosus,1
bucula,1
fiscella,1
coagulum,1
uimen,1
uitis,1
religo,1
bracchium,1
fur,1
poena,1
palumbes,1
lepos,1
paueo,1
gremium,1
uixdum,1
degusto,1
cingo,1
corona,1
mendax,1
lupinus,1
panis,1
fortunatus,1
manualis,1
hordeum,1
abominor,1
obsto,1
laqueus,1
necto,1
uiolo,1
figo,1
res,1
succurro,1
perfero,1
exoro,1
carex,1
latito,1
praesagium,1
dexter,1
omen,1
subinde,1
minax,1
platanus,1
garrulus,1
insuetus,1
statio,1
algidus,1
spiritus,1
togatus,1
ita,1
debeo,1
siluestris,1
memorabilis,1
pagus,1
rusticitas,1
polio,1
pietas,1
rupes,1
pinus,1
natalis,1
odorus,1
uinculum,1
cohibeo,1
conor,1
paternus,1
glans,1
rubicundus,1
cornum,1
porta,1
tutor,1
nemo,1
praeter,1
uentosus,1
remurmuro,1
echo,1
confiteor,1
spes,1
fragum,1
rubus,1
solor,1
hibiscum,1
fax,1
alo,1
indulgentia,1
miseror,1
prohibeo,1
ieiunium,1
soluo,1
querulus,1
satur,1
fruor,1
litus,1
obnoxius,1
conduco,1
septeni,1
exaudio,1
aduoco,1
alienus,1
uis,1
hodiernus,1
tantum,1
agricola,1
attribuo,1
experior,1
here,1
concilio,1
laboro,1
uates,1
praesono,1
chelys,1
alludo,1
subsisto,1
aduena,1
quercus,1
acanthus,1
implicitus,1
como,1
pecten,1
abnuo,1
commodus,1
prospicio,1
tinnulus,1
respiro,1
buxus,1
exprimo,1
dignus,1
succino,1
principium,1
molior,1
iuuenilis,1
robur,1
comitatus,1
neue,1
dedignor,1
adeo,1
fructifico,1
paulisper,1
fulmen,1
reclinis,1
conticeo,1
urgeo,1
procella,1
immotus,1
uigor,1
excito,1
superfundo,1
grauor,1
tonsa,1
exundo,1
adoro,1
quoius,1
incalesco,1
sentio,1
sulcus,1
luxurio,1
seges,1
siliqua,1
praefoco,1
malignus,1
lolium,1
albeo,1
damnatus,1
metuo,1
ligo,1
fossor,1
utor,1
iugerum,1
uerso,1
arator,1
offensus,1
contrarius,1
uomer,1
massa,1
presso,1
cultor,1
intactus,1
plaudo,1
paganicus,1
egregius,1
compitum,1
ludus,1
chorea,1
condo,1
turbidus,1
classicus,1
recolo,1
amoenus,1
lauo,1
humanus,1
cruor,1
curro,1
uita,1
pensum,1
caelestis,1
filum,1
metallum,1
palatium,1
figura,1
superus,1
imago,1
falsus,1
lateo,1
aeternus,1
rex,1
coepi,1
aptus,1
examen,1
lambo,1
nectar,1
decurro,1
uello,1
saepis,1
cura,1
fas,1
penetralis,1
ostendo,1
fortuna,1
macto,1
ferculum,1
cena,1
fremo,1
contractus,1
magus,1
uito,1
praeceptum,1
concido,1
remotus,1
decerpo,1
tueo,1
insudo,1
pro,1
potis,1
exerceo,1
querela,1
baculum,1
inclino,1
amans,1
percipio,1
uere,1
tinnio,1
reuerso,1
hirundo,1
moueo,1
germen,1
reparabilis,1
incoho,1
floreo,1
saltus,1
calidus,1
feruor,1
pone,1
focus,1
genius,1
salsus,1
hostia,1
culter,1
lustrum,1
orior,1
transcendo,1
spatium,1
tepefacio,1
relaxo,1
frigus,1
tumidus,1
mulctra,1
papilla,1
impleo,1
fluo,1
mulgeo,1
redigo,1
parce,1
compendium,1
destruo,1
cascus,1
praecipuus,1
pudet,1
partus,1
umerus,1
tepeo,1
longinquus,1
praesaepe,1
nimis,1
amoueo,1
pabulum,1
uernus,1
inconstantia,1
serenus,1
caligo,1
infero,1
aestus,1
uario,1
exeo,1
umidus,1
aura,1
ros,1
gutta,1
increpo,1
cicada,1
compello,1
permitto,1
aesculus,1
uerum,1
nonus,1
tepesco,1
merenda,1
opacus,1
lucus,1
cogito,1
queribundus,1
demereo,1
sucidus,1
iuncus,1
oleo,1
caedo,1
consimilis,1
minuo,1
fuscus,1
uelamen,1
costa,1
denudo,1
forpex,1
laedo,1
cutis,1
pustula,1
occulte,1
robigo,1
sanies,1
puter,1
contraho,1
prouidus,1
sulphur,1
tecum,1
uirosus,1
unguen,1
rado,1
lino,1
argentum,1
imprimo,1
lectus,1
possessor,1
armus,1
feruidus,1
rimosus,1
palus,1
aestuo,1
nimium,1
luridus,1
succendo,1
galbaneus,1
saeptum,1
ceruinus,1
fumus,1
anguis,1
serpens,1
mina,1
uncus,1
debilis,1
marceo,1
obtusus,1
uenenum,1
ratio,1
aperio,1
uinea,1
circitor,1
summatim,1
uirga,1
permaneo,1
promo,1
nitor,1
sedulitas,1
pastorius,1
uirtus,1
pigeo,1
adhibeo,1
nimius,1
nix,1
coacta,1
incurso,1
hedera,1
strues,1
prosum,1
aceruus,1
uirgeus,1
aliquis,1
uitalis,1
medulla,1
stipula,1
caducus,1
rigor,1
penetrabilis,1
internus,1
uasto,1
morbus,1
supersum,1
fugo,1
modus,1
catulus,1
leaena,1
rudis,1
exsupero,1
credibilis,1
cornix,1
uocalis,1
supero,1
dirus,1
bubo,1
potior,1
macero,1
spinosus,1
hystrix,1
similis,1
usus,1
confero,1
digno,1
male,1
uer,1
exprobro,1
uanus,1
consumo,1
recuso,1
inflo,1
praedamno,1
impunis,1
cubo,1
ceruus,1
mensa,1
frutico,1
late,1
redimiculum,1
irretio,1
dorsum,1
circumeo,1
aluus,1
alterno,1
uitreus,1
lateralis,1
cingulum,1
bulla,1
subtilis,1
ramosus,1
monile,1
torquis,1
nato,1
pendulus,1
luna,1
paciscor,1
terreo,1
equa,1
uulgaris,1
de,1
libo,1
acer,1
adductus,1
excelsus,1
torno,1
breuis,1
substringo,1
aruus,1
sane,1
istic,1
linquo,1
uolubilis,1
namque,1
pumex,1
lympha,1
respondeo,1
glarea,1
muscus,1
dependeo,1
cauus,1
arcus,1
immineo,1
testudo,1
concha,1
resido,1
sedile,1
cubitum,1
tapes,1
sepono,1
prouoco,1
crimen,1
frutex,1
tacite,1
uirilis,1
furo,1
insania,1
alius,1
discerno,1
maereo,1
exspecto,1
piger,1
moror,1
maestus,1
inuictus,1
praemium,1
acceptum,1
aliter,1
loquor,1
fecundus,1
trabs,1
prope,1
culmen,1
emetior,1
gradus,1
cliuus,1
lenis,1
femineus,1
cathedra,1
aperto,1
eques,1
tribunus,1
qualiter,1
resupinus,1
continuus,1
concauus,1
ibi,1
planities,1
curuus,1
ambio,1
geminus,1
alligo,1
sufficio,1
fulgor,1
percutio,1
defigo,1
patens,1
cunctus,1
necdum,1
singulus,1
nosco,1
sinister,1
uertex,1
stupeo,1
sordeo,1
balteus,1
gemma,1
illino,1
porticus,1
certatim,1
radio,1
marmoreus,1
praebeo,1
murus,1
adiunctus,1
ebur,1
admirabilis,1
truncus,1
rotula,1
lubricus,1
uertigo,1
unguis,1
refulgeo,1
rete,1
exsto,1
ordo,1
quid,1
lepor,1
scapula,1
emineo,1
hirtus,1
asper,1
mentum,1
rigo,1
saeta,1
monstrum,1
aequoreus,1
ursa,1
uitulus,1
dictum,1
sata,1
discedo,1
inuerto,1
uorago,1
emergo,1
cauerna,1
tremebundus,1
demitto,1
habitus,1
forma,1
sordes,1
aduncus,1
fibula,1
utcumque,1
conspicio,1
uisus,1
