,count
num,447
et,412
in,412
sum,345
facio,279
is,266
qui,265
si,175
ut,155
ubi,150
cum,124
bene,106
aut,100
uinum,98
ad,89
ne,87
hic,86
non,83
bonus,79
aqua,72
habeo,71
oportet,70
uolo,69
omnis,68
olea,68
indo,68
de,64
locus,58
sero,58
postea,58
dies,57
opus,57
quam,55
sic,54
dolium,53
dominus,51
oleum,51
modus,51
terra,50
idem,49
ita,48
possum,47
per,47
fio,46
ex,44
do,42
bos,42
primus,41
datum,41
res,40
unus,40
arbor,40
coquo,40
s,39
item,38
edo,37
addo,37
uel,35
alius,35
uitis,34
quis,33
atque,33
ager,32
pro,31
familia,30
crassus,30
oporteo,29
nec,29
pars,29
magnus,28
multus,28
latus,28
digitus,28
malus,27
uas,27
ab,27
pes,26
alter,26
pono,26
amurca,26
satis,25
semen,25
altus,25
eximo,25
radix,24
tum,24
orbis,24
ceterus,24
singulus,24
usque,24
purus,24
caueo,23
recte,23
tu,23
oblino,23
inde,22
suus,22
curo,22
modius,22
quod,21
fundus,21
post,21
ibi,21
sal,21
labrum,21
liber,21
sui,20
stercus,20
uetus,20
sino,20
duo,20
sumo,20
lego,19
dum,19
genus,19
ficus,19
inter,19
infundo,19
nisi,18
uenio,18
ego,18
pabulum,18
condio,18
bibo,18
parum,17
neue,17
uilla,17
relinquo,17
tertius,17
materia,17
unde,17
aro,17
uinea,17
lex,16
maxime,16
circum,16
sol,16
alligo,16
longus,16
amphora,16
paro,15
sub,15
factum,15
capio,15
aridus,15
deinde,15
caseus,15
brassica,15
emo,14
solus,14
homo,14
quisque,14
purgo,14
funis,14
annus,14
prius,14
serus,14
calidus,14
condo,14
ferreus,14
operio,14
caput,14
ungo,14
dico,13
uideo,13
facies,13
seruo,13
ille,13
lignum,13
uua,13
siccus,13
cupa,13
medius,13
mortarium,13
fero,13
sulcus,13
demitto,13
supra,12
ouis,12
eo,12
seges,12
tempus,12
mustus,12
lorum,12
aeneus,12
torcularius,12
custos,12
lapis,12
maturus,12
impono,12
pertundo,12
misceo,12
bis,12
praecido,12
acetum,12
farina,12
mel,12
opera,11
nouus,11
puto,11
faenum,11
sine,11
quisquis,11
insero,11
summa,11
uindemia,11
calx,11
mensis,11
folium,11
stipes,11
cotidie,11
herba,11
uer,11
donec,11
talea,11
quantus,11
iuppiter,11
meus,11
ergo,11
emptor,11
uendo,10
aedifico,10
paruus,10
pratum,10
pater,10
frumentum,10
loco,10
plaustrum,10
sed,10
accedo,10
uiridis,10
manus,10
tres,10
ablaqueo,10
ulmeus,10
contundo,10
urna,10
praebeo,10
fornax,10
adeo,10
foramen,10
statuo,10
marinus,10
scrobis,10
tener,10
propago,10
impleo,10
porcus,10
arbitratus,10
uir,9
ualeo,9
modo,9
uilicus,9
seruus,9
far,9
tantus,9
olearius,9
diu,9
nimius,9
