,count
sum,341
qui,269
tu,202
et,191
ego,176
in,159
num,143
ad,141
hic,139
non,137
nec,119
ut,103
meus,84
cum,83
ille,81
sed,80
omnis,74
tuus,71
si,71
quis,68
o,58
aut,57
dico,56
sui,55
atque,54
ab,53
facio,52
quod,52
ipse,51
ex,51
amor,51
nam,49
multus,47
possum,47
quam,46
iam,43
fero,43
puella,42
is,42
bonus,40
malus,39
mens,38
noster,37
uolo,36
unus,35
ac,35
nunc,34
uideo,34
do,33
io,33
suus,32
at,32
nos,32
magnus,32
nullus,31
miser,30
domus,30
tum,29
mater,29
edo,29
totus,29
simul,28
quare,26
homo,26
uos,26
ne,26
animus,25
amo,25
curro,25
diuus,25
dulcis,25
uir,25
deus,24
tam,23
uenio,23
habeo,22
uirgo,22
nihil,22
nouus,21
iste,21
pes,21
tantus,21
de,20
puer,20
ago,20
pectus,20
puto,19
sic,19
talis,19
corpus,19
magis,19
lumen,19
bene,18
uita,18
frater,18
dies,18
dum,18
soleo,17
carus,17
solus,17
factum,17
saepe,17
duco,17
tamen,17
uerus,17
munus,17
pater,17
reddo,17
parens,16
tempus,16
nascor,16
modo,15
oculus,15
quisquam,15
ubi,15
mille,15
candidus,15
quantus,15
amicus,15
beatus,15
os,15
unda,15
mollis,15
alius,15
coniunx,15
opto,15
qualis,15
namque,14
primus,14
huc,14
bellus,14
iucundus,14
manus,14
dea,14
linquo,14
carmen,14
adsum,14
uertex,14
libet,13
credo,13
eo,13
audio,13
caput,13
mitto,13
peto,13
longus,13
quisque,13
idem,13
fusus,13
tecum,12
cura,12
usque,12
per,12
siue,12
lux,12
fugio,12
an,12
ante,12
uelut,12
res,12
sine,12
abeo,12
uester,12
furor,12
pars,12
uentus,12
cor,12
leuis,12
uagus,12
semper,12
sedes,12
subtemen,12
litus,11
loquor,11
mare,11
nox,11
uiuo,11
altus,11
cupio,11
nupta,11
gaudeo,11
mons,11
maestus,11
uox,11
maritus,11
maneo,10
ludo,10
prius,10
taceo,10
satis,10
inquam,10
teneo,10
tollo,10
potis,10
dens,10
nomen,10
pro,10
colo,10
sub,10
iuuenis,10
gaudium,10
ita,10
mors,10
patruus,10
gremium,9
domina,9
aequor,9
cubile,9
sidus,9
desino,9
perdo,9
fulgeo,9
quondam,9
nolo,9
laetus,9
certe,9
natus,9
flos,9
castus,9
ignis,9
absum,9
saeuus,9
par,9
trado,9
limen,9
tener,9
terra,9
hymen,9
etiam,9
uestis,9
delicia,8
tristis,8
nego,8
ullus,8
post,8
scio,8
uetus,8
sacer,8
lingua,8
ibi,8
collum,8
paro,8
quicumque,8
dictum,8
moecha,8
postquam,8
accipio,8
impius,8
labor,8
parum,8
frustra,8
pulcher,8
mentula,8
urbs,8
medulla,8
quaero,8
canus,8
indomitus,8
niueus,8
genus,8
aduenio,8
ianua,8
desertum,8
nemus,8
rapidus,8
aetas,8
quisquis,7
saeculum,7
fletus,7
uenustus,7
ocellus,7
aura,7
uterque,7
nequiquam,7
tremulus,7
quatio,7
cur,7
quot,7
sol,7
adeo,7
labellum,7
uiso,7
locus,7
cinaedus,7
extremus,7
seu,7
ualeo,7
culpa,7
uel,7
muto,7
nasus,7
poeta,7
pereo,7
pudicus,7
populus,7
cauus,7
sino,7
pronus,7
annus,7
liceo,7
liber,7
umquam,7
mirus,7
mulier,7
iubeo,7
fides,7
cano,7
tectum,7
sancio,7
numquam,7
eripio,7
cupidus,7
prodeo,7
medius,7
crudelis,7
felix,7
cedo,7
spero,7
soror,7
aliquis,6
passer,6
sinus,6
grauis,6
gratus,6
soluo,6
moueo,6
illic,6
male,6
insula,6
ulter,6
erus,6
senex,6
deinde,6
centum,6
alter,6
ni,6
lectus,6
caelum,6
uere,6
requiro,6
inuitus,6
refero,6
comes,6
longe,6
amans,6
quamuis,6
falsus,6
fatum,6
pius,6
lego,6
quidam,6
praeceps,6
putidus,6
sentio,6
tango,6
finis,6
regius,6
attingo,6
mundus,6
culus,6
paruus,6
nisi,6
placeo,6
rideo,6
filius,6
ora,6
relinquo,6
poena,6
turpis,6
nimis,6
dominus,6
ardeo,6
somnus,6
membrum,6
tenuis,6
flamma,6
auris,6
iungo,6
capio,6
complexus,6
assiduus,6
sanguis,6
tympanum,6
fluctus,6
uirtus,6
luctus,6
olim,6
heu,6
uestigium,6
donum,5
lepidus,5
libellus,5
carta,5
doceo,5
digitus,5
incito,5
nitor,5
nescius,5
iter,5
aufero,5
misellus,5
fleo,5
hospes,5
linteus,5
silua,5
iugum,5
coma,5
inde,5
dextra,5
secundus,5
uotum,5
quies,5
basium,5
uerum,5
diligo,5
super,5
sepulcrum,5
amata,5
rogo,5
doleo,5
mos,5
commodus,5
sodalis,5
horribilis,5
sinister,5
affero,5
contra,5
suauis,5
interea,5
modus,5
metuo,5
infestus,5
irrumo,5
durus,5
supinus,5
urbanus,5
seruus,5
casus,5
addo,5
gero,5
patior,5
tertius,5
immemor,5
desero,5
oblino,5
tunica,5
nota,5
prope,5
moenia,5
restituo,5
fax,5
hora,5
renideo,5
amplius,5
codicilli,5
otium,5
clarus,5
coetus,5
iuuo,5
tego,5
aspicio,5
nimius,5
summum,5
roseus,5
citus,5
inferus,5
alo,5
dux,5
queo,5
uerbum,5
nux,5
concubinus,5
teres,5
laus,5
cerno,5
ius,5
carpo,5
taurus,5
pello,5
fera,5
genitor,5
caedes,5
cunctus,5
aurum,5
coniungo,5
gurges,5
concedo,5
flauus,5
potius,5
ingratus,5
fraternus,5
fortuna,5
foedus,5
ferrum,5
officium,5
adimo,5
dolor,4
diu,4
unde,4
bellum,4
aio,4
celer,4
tot,4
uoco,4
latus,4
iaceo,4
furtiuus,4
basio,4
quoque,4
quoius,4
trecenti,4
narro,4
cohors,4
paulus,4
uter,4
molestus,4
neglego,4
pratum,4
uinum,4
necesse,4
cachinnus,4
plenus,4
reperio,4
uenenum,4
hinc,4
decet,4
denique,4
pons,4
palus,4
libido,4
fio,4
suscipio,4
scribo,4
tergum,4
arca,4
purus,4
caco,4
malo,4
ostendo,4
lentus,4
uorax,4
perfidus,4
irritus,4
aereus,4
memini,4
uastus,4
uix,4
campus,4
quandoquidem,4
saltus,4
cursus,4
gens,4
uoro,4
ambo,4
moror,4
iambus,4
sanctus,4
ceterus,4
unicus,4
pinguis,4
undique,4
quiuis,4
quin,4
plurimus,4
leuiter,4
purpureus,4
aureus,4
studium,4
duo,4
densus,4
nepos,4
sensus,4
artus,4
rex,4
admiror,4
templum,4
uultus,4
papilla,4
puellula,4
flammeus,4
taeda,4
floridus,4
fama,4
femina,4
cognosco,4
quoniam,4
hymenaeus,4
innubo,4
palma,4
penitus,4
nata,4
retineo,4
conubium,4
iuuencus,4
cito,4
pelagus,4
era,4
sequor,4
umbra,4
patria,4
famulus,4
ferox,4
procul,4
flamen,4
