,count
sum,40979
qui,32660
et,25171
in,22004
is,19880
non,16735
hic,14758
ut,13998
ego,13298
cum,11179
tu,10941
ille,10010
res,9843
ad,9489
ab,9463
si,8843
possum,8224
sed,8220
omnis,8073
de,7835
dico,7759
quod,7583
num,7286
quis,6755
uideo,6573
quam,6563
aut,6493
enim,6171
ex,5950
ipse,5908
nec,5875
edo,5345
etiam,5297
sui,5165
atque,4976
facio,4751
homo,4450
tuus,4243
multus,4203
magnus,4083
habeo,4072
autem,3949
suus,3833
causa,3821
quidem,3763
meus,3735
nihil,3661
tamen,3522
uolo,3459
ne,3349
publicus,3318
iste,3120
bonus,3044
noster,3023
nos,2999
idem,2962
alius,2848
ac,2837
ita,2790
tum,2652
puto,2622
animus,2593
nullus,2503
iam,2467
unus,2288
tantus,2287
nam,2212
genus,2092
lex,1986
igitur,1952
do,1936
primus,1923
uenio,1920
locus,1898
ratio,1897
populus,1892
tempus,1871
tam,1857
nisi,1853
ago,1850
quidam,1846
scribo,1835
modus,1835
modo,1810
iudicium,1752
uerus,1750
senatus,1745
uos,1743
littera,1739
pars,1739
uir,1695
natura,1629
nunc,1623
aliquis,1572
per,1571
sic,1547
uero,1538
quisque,1508
sine,1490
quaero,1464
debeo,1451
uerbum,1449
ius,1447
uel,1422
deus,1409
consilium,1396
fero,1392
uis,1377
uita,1376
uirtus,1372
totus,1366
oratio,1335
iudex,1320
ciuitas,1316
alter,1302
audio,1294
ante,1270
dies,1269
inquam,1268
pro,1264
factum,1251
nemo,1245
an,1239
consul,1239
intellego,1224
ciuis,1214
quantus,1197
nomen,1196
ceterus,1189
itaque,1152
sententia,1150
quisquam,1144
scio,1134
uester,1094
parum,1084
saepe,1067
bellum,1064
pecunia,1064
apud,1053
soleo,1052
cicero,1051
semper,1044
liber,1041
maxime,1033
at,1015
aliqui,1011
amicus,998
contra,997
satis,995
ullus,989
fio,985
studium,977
romanus,968
magis,963
quasi,960
urbs,932
quoniam,928
iudico,911
pater,906
arbitro,888
auctoritas,886
dolor,882
prouincia,867
defendo,863
dignitas,862
accipio,858
numquam,856
summa,838
domus,832
solum,823
deinde,819
cognosco,818
propter,817
gero,816
fortuna,806
reliquus,803
sentio,801
corpus,795
mitto,794
salus,792
relinquo,782
loquor,778
officium,774
caesar,771
periculum,764
teneo,764
uoluptas,763
grauis,759
credo,756
existimo,756
nego,751
probo,745
uiuo,743
duo,738
malus,738
certus,734
peto,733
facile,731
quia,727
honestus,727
cur,725
utor,714
appello,714
honor,705
opus,704
oportet,703
inter,701
summum,700
roma,699
communis,691
umquam,691
post,683
efficio,681
quid,680
mens,679
orator,679
potius,673
mors,669
certe,667
necesse,653
fides,653
ars,649
ualeo,649
uoluntas,647
filius,645
laus,645
spes,643
denique,641
annus,637
omnino,634
gratia,620
nouus,610
ob,609
sermo,606
nolo,592
praetor,590
bene,589
ordo,588
mos,587
atticus,587
imperium,584
ergo,584
doceo,584
rex,581
exspecto,581
quamquam,579
liceo,575
quin,572
pompeius,570
scelus,567
cogito,563
uterque,555
superus,553
potestas,553
brutus,550
memoria,548
exercitus,547
solus,546
sal,542
aetas,537
frater,533
fortis,531
similis,530
ager,529
hostis,524
conficio,518
uox,515
sapio,513
laudo,512
respondeo,512
concedo,510
numerus,509
capio,508
miser,507
crimen,507
ingenium,506
amicitia,503
quoius,502
placeo,501
suscipio,499
manus,497
affero,495
etsi,495
beatus,495
gratus,494
ubi,494
inimicus,493
negotium,492
socius,491
tollo,490
dubito,490
inuenio,489
usus,488
terra,485
gloria,485
postulo,483
testis,483
o,482
pertineo,480
iniuria,476
religio,476
refero,472
uersor,471
copia,467
accedo,467
audeo,467
duco,463
talis,463
clarus,460
paruus,458
beneficium,454
sin,454
dignus,453
praesertim,453
scriptum,452
necessarius,452
patria,451
immortalis,450
sequor,450
labor,449
cura,449
alienus,448
dictum,448
consequor,447
iubeo,447
moueo,445
plurimus,443
malo,442
siue,442
rogo,441
princeps,440
familiaris,436
spero,431
aio,431
adsum,430
constituo,428
uetus,428
epistula,428
pono,426
accido,423
ostendo,422
fortasse,420
praeter,414
censeo,414
cupio,413
postea,413
cupiditas,412
tribunus,409
patior,408
opinio,407
turpis,406
metus,404
trado,402
opera,402
uehementer,402
uitium,400
natus,398
delecto,396
oculus,395
qualis,395
praesto,395
uoco,395
planus,394
arma,392
caput,392
etenim,390
libertas,388
dum,388
intersum,385
consuetudo,383
fere,383
sensus,380
cogo,380
utilitas,380
reperio,380
accuso,380
confero,379
reddo,376
tamquam,374
propono,373
imperator,373
recte,370
commodus,370
antonius,369
antea,366
qua,363
ualde,362
legatus,361
diu,361
magistratus,361
diligens,358
diligo,357
profecto,357
paucus,356
retineo,356
auctor,356
sumo,355
absum,355
fugio,355
perficio,354
conuenio,354
motus,354
diuinus,352
timeo,352
praesidium,351
exemplum,350
adhibeo,350
improbus,343
statuo,343
reprehendo,343
aliquando,339
tabula,339
seruus,339
item,338
pax,337
lego,337
testimonium,337
uereor,336
ciuilis,336
simul,335
eo,335
equidem,333
perspicio,333
defero,330
desum,329
curo,329
falsus,328
paulus,327
disputo,327
uinco,327
multitudo,327
signum,325
decerno,324
singulus,324
nomino,324
contineo,324
uniuersus,324
