,count
sum,1959
qui,1792
et,1657
in,1352
is,812
rex,784
non,684
cum,665
ad,662
ut,560
hic,552
ipse,500
sed,468
ab,466
quam,451
suus,449
sui,421
ille,401
possum,389
ex,351
omnis,335
iubeo,304
quisque,272
edo,267
nec,267
alius,266
hostis,262
si,227
magnus,225
animus,223
urbs,220
ne,217
iam,216
ego,216
etiam,212
multus,212
num,207
miles,206
deinde,201
corpus,193
habeo,192
ceterus,190
quidem,190
idem,181
inter,178
res,171
mille,167
ac,164
quis,162
uideo,159
credo,159
quod,156
gens,153
itaque,153
haud,150
per,149
eques,148
dies,148
tamen,146
quippe,143
tantus,139
tu,139
primus,134
manus,133
exercitus,130
facio,128
modo,127
aut,125
coepio,124
arma,124
fortuna,123
agmen,123
meus,123
dico,121
sequor,120
capio,118
fides,115
regio,114
totus,113
unus,112
consilium,109
ante,108
tum,108
uolo,107
pars,106
terra,106
ulter,105
amnis,105
de,105
do,104
peruenio,103
amicus,103
iter,103
imperium,102
bellum,102
inquam,102
mos,101
ergo,101
equus,100
dux,100
uis,99
deus,99
trado,98
tuus,97
peto,96
ingens,96
quoque,96
acies,95
igitur,94
tam,94
mare,93
copia,92
at,92
regius,92
adeo,92
locus,92
opus,89
enim,89
nihil,88
fero,88
excipio,86
regnum,85
nunc,84
pro,82
uos,82
castrum,81
atque,81
occupo,80
quia,80
alexander,79
periculum,79
magis,78
mons,78
nos,77
caput,76
duo,74
uenio,73
ago,73
quidam,73
sine,71
sto,71
uictor,70
armatus,70
ceterum,70
an,70
nomen,70
spes,70
nullus,70
accipio,69
tot,69
mors,68
causa,68
uir,68
mitto,68
metus,68
inde,67
post,67
autem,67
liber,66
uinco,64
solus,64
procul,64
admoueo,63
fuga,62
nox,62
relinquo,62
hinc,62
ita,61
adhuc,61
nisi,61
uerus,61
paucus,60
tandem,60
aurum,59
telum,59
apud,58
ostendo,58
ubi,58
captiuus,58
uictoria,58
occido,58
cognosco,57
oculus,57
ueho,57
uestis,56
maxime,56
flumen,56
modus,56
aqua,55
proelium,54
murus,54
fama,54
uox,54
gloria,54
tempus,53
reddo,53
uterque,53
magnitudo,53
filius,53
species,52
rursus,52
uel,51
occurro,51
uelut,51
praeficio,51
simul,51
pater,51
ops,50
moueo,50
intro,50
nuntio,50
fugio,50
medius,49
salus,49
saxum,49
nam,49
tabernaculum,49
proximus,48
nouus,48
uix,48
ira,48
bonus,48
nauigium,48
eo,47
duco,47
plerus,47
datum,47
iuuenis,47
deficio,47
praeter,47
dum,47
latus,46
audeo,46
respondeo,46
stadium,45
currus,45
quoius,45
signum,45
uero,45
grauis,45
homo,45
uiuo,45
par,45
cornu,45
patior,44
natura,44
uulnus,44
audio,44
uester,44
finis,43
procedo,43
pes,43
peditum,43
conspicio,43
ripa,43
quantus,43
paulus,42
siue,42
namque,42
dedo,42
ignis,42
nemo,42
