,count
sum,122596
et,110221
qui,99112
in,79204
is,51464
non,49123
hic,45252
ut,40555
cum,36310
ad,33590
ab,30060
ille,28781
ego,27632
nec,24981
tu,24452
si,24112
sed,23886
omnis,23134
res,20959
possum,20702
sui,20584
ex,20413
num,19986
quam,19741
quod,19523
dico,19082
ipse,18879
de,17777
suus,17727
quis,17391
aut,16795
facio,15718
uideo,15039
magnus,14645
habeo,14134
atque,13246
etiam,13132
multus,13081
enim,12844
ac,12164
edo,12151
alius,11936
per,11606
ne,10999
iam,10702
meus,9837
tuus,9767
tamen,9702
pars,9598
idem,9375
do,9343
primus,8823
uolo,8695
animus,8512
unus,8445
quisque,8404
homo,8402
causa,8377
nihil,8369
autem,8220
locus,8181
quidem,8082
noster,8078
bonus,7977
tantus,7939
ita,7712
nos,7465
nam,7460
dies,7298
nullus,7155
tum,6609
tempus,6609
fero,6570
uenio,6560
pater,6323
nunc,6308
inter,6145
sic,6073
iste,6066
ago,6025
quidam,6024
publicus,6012
hostis,5987
urbs,5892
uir,5680
populus,5548
deus,5532
bellum,5511
uel,5508
totus,5426
genus,5356
nisi,5355
pro,5289
tam,5274
consul,5238
manus,5161
puto,5159
ante,5123
uis,5064
nomen,4989
alter,4981
sine,4952
rex,4938
terra,4807
senatus,4664
corpus,4660
an,4659
modo,4581
modus,4488
lex,4420
deinde,4385
duo,4373
uerus,4308
factum,4290
ubi,4272
inquam,4252
ratio,4250
peto,4197
arma,4178
ceterus,4160
iubeo,4139
uos,4138
romanus,4130
parum,4128
debeo,4122
quia,4095
annus,4084
at,4082
miles,4071
uerbum,4061
magis,4059
quaero,3973
aliquis,3876
exercitus,3875
natura,3854
uirtus,3816
quantus,3815
mitto,3790
credo,3789
uita,3779
domus,3764
itaque,3757
liber,3733
opus,3710
malus,3565
consilium,3506
dum,3505
apud,3458
audio,3422
capio,3412
post,3401
relinquo,3401
accipio,3393
ius,3387
nouus,3380
igitur,3305
solus,3305
scio,3302
scribo,3298
filius,3289
teneo,3226
ciuitas,3219
fortuna,3211
castrum,3199
satis,3167
fio,3156
soleo,3118
mors,3117
eo,3108
saepe,3091
gero,3067
semper,3006
nox,3004
uero,2988
mille,2977
mos,2957
uterque,2932
contra,2923
sub,2908
ullus,2905
dux,2891
