,count
et,1387
qui,796
sum,713
tu,594
non,493
hic,462
ego,444
in,416
nec,389
ut,369
si,327
quis,303
cum,260
aut,213
num,207
ille,189
multus,177
atque,172
res,166
dico,151
magnus,149
ad,132
omnis,126
bonus,124
do,124
possum,122
per,118
puer,114
fero,114
nunc,111
ne,110
facio,110
nihil,107
quod,104
sed,102
amicus,102
deus,101
iam,99
uolo,99
tuus,97
sui,97
meus,96
sic,90
an,88
ab,87
quam,86
uideo,83
ac,79
domus,78
unus,78
animus,76
malus,76
dum,73
uiuo,73
inter,72
pater,72
quaero,70
uel,69
carmen,68
seu,66
rex,65
o,65
dies,64
uirtus,64
ipse,64
fugio,64
nam,64
ago,63
mare,62
habeo,61
sub,60
tamen,60
paruus,59
at,59
bene,57
dulcis,56
peto,56
tempus,55
credo,55
ex,55
labor,54
primus,54
longus,54
pes,53
terra,52
ubi,52
idem,52
audio,51
amor,51
quisque,51
sine,50
laudo,50
uerbum,50
quantus,50
rideo,49
mos,49
cur,49
uir,49
cura,49
muto,49
de,49
uitium,49
urbs,48
grauis,48
alius,48
pono,47
duco,47
nouus,46
pars,46
mens,46
post,46
metuo,46
alter,46
annus,46
caput,46
liber,46
iubeo,46
satis,46
populus,45
eo,45
nullus,45
nos,45
uersus,45
tollo,45
teneo,44
reddo,44
is,44
manus,43
beatus,43
fortis,42
doceo,42
unde,42
uerus,42
ius,42
durus,41
uinum,41
diues,41
homo,41
saepe,41
sapio,41
nomen,40
gratus,40
simul,40
uita,40
nisi,40
addo,40
edo,40
uis,39
semper,39
iuuenis,38
ars,38
poeta,38
sacer,38
enim,38
leuis,38
acer,38
uenio,38
ager,38
opus,38
scribo,38
suus,37
modus,37
latus,37
quisquis,36
siue,36
redeo,36
curo,36
seruo,36
dignus,36
nox,36
locus,36
quicumque,36
altus,35
modo,35
equus,35
scio,35
male,35
gaudeo,35
honor,35
medius,35
miser,35
natura,35
moueo,34
iuuo,34
parum,34
uelut,34
uox,34
corpus,34
noster,34
timeo,34
certus,34
aequus,34
magis,34
turpis,34
aura,33
relinquo,33
uterque,33
tantus,33
aio,33
bellus,32
mater,32
dux,32
os,32
dono,32
lex,32
placeo,32
olim,32
natus,32
uoco,32
fides,32
quia,32
puto,32
insanus,32
munus,31
loquor,31
pulcher,31
etiam,31
hora,31
genus,31
refero,31
uetus,31
silua,31
uos,31
amo,31
tristis,31
inquam,31
ludus,30
ignis,30
mitto,30
recte,30
sanus,30
sequor,29
mors,29
niger,29
ludo,29
arma,29
liceo,29
ater,29
sto,29
nego,29
laetus,28
semel,28
rus,28
clarus,28
forte,28
plenus,28
miror,28
albus,28
moror,28
spes,27
aqua,27
sol,27
pereo,27
pectus,27
laus,27
ualeo,27
patior,27
breuis,27
posco,27
minor,27
purus,27
ita,27
sermo,27
saeuus,26
prex,26
secundus,26
fallo,26
aetas,26
urgeo,26
parens,26
pauper,26
quisquam,26
senex,26
qualis,25
uirgo,25
uentus,25
sentio,25
usque,25
rapio,25
aer,25
caelum,25
inferus,25
puella,25
careo,25
specto,25
accipio,25
dominus,25
neue,25
nauis,25
oculus,25
ergo,25
iste,25
potens,24
premo,24
hinc,24
ira,24
lenis,24
laboro,24
paro,24
seruus,24
mille,24
ter,23
heu,23
totus,23
aequor,23
uro,23
audeo,23
ante,23
solus,23
uerto,23
finis,23
pecus,23
fama,23
prius,23
mecum,23
sumo,23
causa,23
pecco,23
nummus,23
mollis,22
ops,22
super,22
aurum,22
lupus,22
uinco,22
superbus,22
fortuna,22
custos,22
eques,22
studium,22
aeuum,22
maneo,22
somnus,22
prope,21
tendo,21
fingo,21
quamuis,21
patrius,21
mox,21
unda,21
celer,21
saxum,21
auarus,21
malo,21
praeter,21
cedo,21
ulter,21
adsum,21
frango,21
auris,21
poema,21
stultus,21
campus,20
sanguis,20
traho,20
tum,20
nascor,20
dens,20
hostis,20
flumen,20
acuo,20
comes,20
merus,20
ueto,20
proprius,20
bibo,20
notus,20
disco,20
tango,20
uia,20
cena,20
uilis,20
cado,19
ruo,19
numerus,19
diuus,19
uagus,19
ferrum,19
tutus,19
superus,19
heres,19
pretium,19
iudex,19
occupo,19
huc,19
pinguis,19
ingenium,19
tam,19
perdo,19
odi,19
uito,19
quin,19
uxor,19
usus,19
cogo,19
positus,19
centum,18
misceo,18
uotum,18
ceterus,18
uictor,18
gens,18
similis,18
memor,18
miles,18
nudus,18
scilicet,18
ingens,18
par,18
uacuus,18
cornu,18
turba,18
numquam,18
asper,18
tenuis,18
uarius,18
capillus,18
uiuus,18
curro,18
umquam,18
ratio,18
uter,18
cupio,18
regnum,17
abeo,17
nobilis,17
decet,17
taceo,17
tener,17
candidus,17
mons,17
iustus,17
herba,17
frons,17
luna,17
piscis,17
paternus,17
recingo,17
culpa,17
decus,17
cresco,17
uates,17
color,17
opto,17
sidus,17
prior,17
paulus,17
carus,17
umerus,17
barbarus,17
uiso,17
risus,17
dictum,17
soleo,17
donec,17
fio,17
morbus,17
nescio,17
hospes,17
paucus,17
aufero,17
uicinus,17
canis,17
compono,17
nolo,17
alienus,17
maecenas,17
namque,16
pro,16
lyra,16
delecto,16
decorus,16
nota,16
fatum,16
tempero,16
consilium,16
doleo,16
integer,16
lux,16
arbor,16
puluis,16
capio,16
ni,16
nix,16
iners,16
cunctus,16
uestis,16
honestus,16
corona,16
propero,16
poculum,16
lego,16
maritus,16
iter,16
tectum,16
tempto,16
cauus,16
narro,16
lectus,16
factum,16
respondeo,16
imperium,15
certo,15
flos,15
nocturnus,15
potis,15
nemus,15
felix,15
soluo,15
chorus,15
daps,15
gero,15
occido,15
litus,15
bos,15
nefas,15
fera,15
bellum,15
condo,15
filius,15
lateo,15
mensa,15
festus,15
umbra,15
egeo,15
utilis,15
pauperies,15
praebeo,15
uerum,15
nuper,15
pello,15
praesens,15
fons,15
funus,15
tellus,15
rumpo,15
nauta,15
aper,15
nepos,15
frater,15
humanus,15
grandis,15
pudor,15
unguis,15
canto,15
insignis,15
aptus,15
riuus,15
memini,15
laedo,15
grex,15
cesso,15
unctum,15
diuitia,15
rogo,15
circum,15
prauus,15
rusticus,15
iro,15
pasco,15
scriptor,15
quidam,15
coepio,15
denique,15
haud,15
precor,14
sollicitus,14
signum,14
lingua,14
imber,14
audax,14
cano,14
aureus,14
leuo,14
priscus,14
accedo,14
benignus,14
pugna,14
leo,14
frux,14
merces,14
prudens,14
argentum,14
terreo,14
ultra,14
ora,14
extremus,14
porricio,14
sperno,14
iniquus,14
agito,14
repeto,14
inuenio,14
frustra,14
uenenum,14
conuiua,14
iugum,14
insanio,14
parco,14
tracto,14
laeuus,14
spargo,14
inanis,14
indignus,14
clamo,14
ceno,14
contingo,14
alo,13
ripa,13
solutus,13
lis,13
currus,13
coma,13
strepitus,13
quoque,13
remotus,13
debeo,13
tandem,13
proelium,13
gelidus,13
mane,13
arcus,13
spero,13
frigus,13
fuga,13
charta,13
eripio,13
iungo,13
membrum,13
tardus,13
mortalis,13
summa,13
fabula,13
undique,13
oro,13
seuerus,13
nimius,13
aspicio,13
porto,13
noceo,13
tecum,13
iocus,13
erro,13
inuisus,13
mulier,13
uenus,13
contra,13
formido,13
uenter,13
humus,12
rarus,12
amnis,12
ploro,12
inuideo,12
ferox,12
roma,12
impius,12
defendo,12
orior,12
facies,12
poena,12
siccus,12
crinis,12
uicis,12
commodus,12
obsto,12
fulgeo,12
nosco,12
sors,12
libido,12
feruidus,12
simplex,12
otium,12
matrona,12
nitidus,12
fessus,12
artus,12
ciuis,12
scelus,12
auctor,12
potius,12
fleo,12
tabula,12
stomachus,12
cautus,12
lignum,12
mundus,12
fundus,12
citus,12
cithara,12
prosum,12
inops,12
pactum,12
ob,12
nequeo,12
quiuis,12
lucilius,12
ales,11
bis,11
flamma,11
nubes,11
meritum,11
princeps,11
inuidus,11
monstro,11
deduco,11
dextra,11
dirus,11
tumultus,11
coniunx,11
absum,11
castus,11
incolumis,11
soror,11
moneo,11
uiridis,11
longe,11
adhuc,11
uexo,11
ignotus,11
disto,11
celo,11
timidus,11
opprobrium,11
stultitia,11
impono,11
promo,11
uester,11
queror,11
inultus,11
datum,11
cumque,11
udus,11
cras,11
ferus,11
pius,11
imago,11
sagitta,11
lar,11
ceruix,11
furo,11
inuitus,11
metus,11
quando,11
adimo,11
dormio,11
trado,11
forma,11
toga,11
desum,11
odium,11
aceruus,11
lauo,11
postquam,11
negotium,11
sis,11
antiquus,11
uenia,11
officium,11
dolor,11
latro,11
incipio,11
quid,11
fur,11
offendo,11
contentus,11
desino,10
circa,10
purpureus,10
militia,10
tus,10
tremo,10
reduco,10
publicus,10
taurus,10
imito,10
ostendo,10
profero,10
demitto,10
perfidus,10
maturus,10
damnum,10
seco,10
uitis,10
nescius,10
auidus,10
sodalis,10
liquidus,10
fluctus,10
sedes,10
minax,10
adulter,10
consul,10
hodie,10
sordidus,10
lasciuus,10
auis,10
meditor,10
lentus,10
qua,10
copia,10
iocosus,10
orbis,10
neglego,10
appareo,10
secerno,10
summum,10
haereo,10
rego,10
hiems,10
obscurus,10
bracchium,10
inimicus,10
diuido,10
piger,10
uua,10
concedo,10
linquo,10
meretrix,10
cruor,10
sepulcrum,10
pondus,10
cupido,10
surgo,10
casus,10
pax,10
crus,10
inuidia,10
capto,10
caueo,10
inprobus,10
scriptum,10
reprehendo,10
aeger,10
recuso,10
nemo,10
discedo,10
species,10
nempe,10
noto,10
rursus,9
parce,9
late,9
largus,9
tibia,9
numen,9
uincio,9
mano,9
nitor,9
reditus,9
canus,9
sonus,9
fidelis,9
diu,9
rite,9
nutrio,9
sector,9
iacto,9
caedes,9
expedio,9
proles,9
horridus,9
ferio,9
spiritus,9
decido,9
pudicus,9
praemium,9
sono,9
pugno,9
excipio,9
fraus,9
pecunia,9
rosa,9
festino,9
trepido,9
fumus,9
paene,9
uelox,9
lucrum,9
anus,9
poto,9
aridus,9
lapis,9
probo,9
ardeo,9
securus,9
colligo,9
mercator,9
frigidus,9
nimis,9
clamor,9
odor,9
onus,9
coerceo,9
uix,9
iterum,9
pingo,9
aeque,9
amoenus,9
proteruus,9
exiguus,9
caecus,9
arcanus,9
diligo,9
pullus,9
neruus,9
catena,9
seruio,9
plerumque,9
recens,9
placo,9
falsus,9
uerso,9
parcus,9
periculum,9
mirus,9
mendax,9
sal,9
descendo,9
agrestis,9
amator,9
foedus,9
procul,9
deceo,9
utor,9
uendo,9
frumentum,9
tragicus,9
opera,9
ineptus,9
ignosco,9
ouum,9
holus,9
iucundus,9
urbanus,9
iecur,8
idoneus,8
gramen,8
penna,8
raptus,8
astrum,8
frondeo,8
