,count
qui,1128
et,1058
is,933
in,932
sum,864
cum,564
ad,483
ut,459
dico,442
hic,432
ab,414
autem,356
num,241
sui,240
uideo,239
circulus,230
quod,204
non,195
de,192
ex,188
pars,181
pes,179
stella,172
signum,156
suus,155
sed,153
filius,150
habeo,142
corpus,140
caput,135
edo,134
possum,129
facio,129
inter,128
occido,120
exorior,120
itaque,116
appello,116
interficio,116
alius,114
ipse,112
reliquus,111
sol,110
si,106
filia,105
ita,104
sidus,98
idem,94
ille,94
uolo,94
do,92
locus,90
uenio,89
omnis,88
supra,86
terra,84
primus,82
unus,81
peruenio,80
enim,77
etiam,77
magnus,74
nec,74
uterque,72
causa,70
factum,69
colloco,68
homo,67
per,67
sinister,67
iuppiter,67
nonnullus,67
totus,66
pro,66
rex,66
diuido,64
quam,63
res,62
manus,62
singulus,61
numerus,61
dies,60
pater,60
ante,59
sphaera,59
nomen,58
ne,58
dexter,55
ibi,54
accipio,52
duo,52
quidam,52
aestiuus,52
cauda,52
debeo,51
uoco,51
existimo,51
demonstro,48
cohors,47
quis,47
propter,47
constituo,47
mundus,47
nos,46
uxor,46
ostendo,44
finis,44
alter,44
multus,43
tendo,43
postea,43
omnino,42
umerus,42
peto,41
genu,41
praeterea,40
deus,40
transeo,40
ratio,39
dimidius,39
arcticus,39
fio,38
aequinoctialis,38
efficio,37
igitur,37
aut,37
medius,37
coepio,37
iubeo,37
polus,37
mare,36
complures,36
aio,36
nox,35
mitto,35
luna,35
appareo,35
quisque,34
ideo,34
inferus,34
quoius,34
clarus,34
duco,33
prior,33
trado,33
sagitta,33
fero,32
mater,32
hercules,32
quare,32
uia,31
praetorius,31
frater,31
ceterus,31
ob,31
apollo,31
tempus,31
extremus,31
quoniam,30
necesse,30
latus,30
equus,30
draco,30
exortus,30
uirgo,29
nauis,29
posterus,29
sic,28
noster,28
flumen,28
natus,28
insula,28
sub,28
lumen,28
prope,28
pedo,27
nam,27
regnum,27
astrum,27
hiemalis,27
conuerto,26
maxime,26
cursus,26
coniugium,26
annus,26
mors,26
minerua,26
figuro,26
obscurus,26
teneo,25
genus,25
specto,25
euenio,25
redeo,25
intellego,25
perspicio,25
iam,24
superus,24
sumo,24
similis,24
instituo,23
praeter,23
beneficium,23
inuenio,23
canis,23
liber,23
nunc,22
latitudo,22
uel,22
longe,22
eques,22
facile,22
persequor,22
inde,22
uerto,22
pono,21
utor,21
contra,21
mons,21
at,21
parens,21
responsum,21
socius,21
aries,21
reuertor,21
tamen,21
occidens,21
occasus,21
memoria,21
scribo,20
deinde,20
ala,20
usque,20
soror,20
figura,20
procreo,20
taurus,20
luceo,20
tres,19
super,19
hostis,19
semper,19
species,19
orbis,19
concumbo,19
piscis,19
absum,19
boreus,19
curro,19
significo,19
definio,19
striga,18
legio,18
par,18
capio,18
infra,18
scio,18
lapis,18
fingo,18
post,18
templum,18
aqua,18
tam,18
ac,18
iter,18
magis,18
pectus,18
uenor,18
quinque,17
item,17
castrum,17
munus,17
longus,17
datum,17
tunc,17
pario,17
atque,17
pellis,17
perduco,17
antarcticus,17
historia,17
occupo,16
exercitus,16
soleo,16
aquila,16
obseruo,16
retineo,16
audio,16
arma,16
nomino,16
iungo,16
os,16
iuno,16
propono,16
tango,16
constitutus,16
constitutum,16
ceruix,16
conficio,16
coniungo,16
praetendo,15
ubi,15
porta,15
contendo,15
recipio,15
expono,15
aliquis,15
magnitudo,15
praesto,15
unde,15
solus,15
effigies,15
fugio,15
comprimo,15
pastor,15
cogito,15
uerus,15
corona,15
figo,15
agamemnon,15
orior,15
unusquisque,15
deformo,15
longitudo,14
quingenarius,14
nihil,14
regio,14
defero,14
libero,14
quaero,14
deuenio,14
nutrix,14
postquam,14
uentus,14
conicio,14
malus,14
uoluntas,14
rogo,14
duodecim,14
uestis,14
patria,14
neptunus,14
induco,14
perseus,14
crus,14
incipio,14
usus,14
anguis,14
permoueo,14
uallum,13
necessarius,13
ordo,13
positus,13
minor,13
nascor,13
quattuor,13
septem,13
breuis,13
affero,13
quomodo,13
iussus,13
mulier,13
fulmen,13
simulo,13
nego,13
impetro,13
oculus,13
uenus,13
adduco,13
amor,13
secum,13
numquam,13
moueo,13
pecus,13
nemo,13
initium,13
nouus,13
habito,13
finio,13
prius,13
proicio,13
forma,12
similiter,12
quantus,12
dextra,12
sine,12
refero,12
amplius,12
qua,12
accedo,12
aequalis,12
tempestas,12
mortalis,12
ignis,12
currus,12
arbor,12
dum,12
reddo,12
ueho,12
tempore,12
profectus,12
obicio,12
monitus,12
coniunx,12
nihilominus,12
eo,12
penna,12
gratia,12
quoque,12
zodiacus,12
obscuro,12
computo,11
etsi,11
assigno,11
oportet,11
statuo,11
siue,11
proxime,11
