,count
et,185
in,109
qui,93
arma,64
hic,57
ille,48
nec,47
suus,46
uis,43
magnus,40
corpus,39
cum,37
ad,37
per,31
pectus,30
fortis,29
sui,27
animus,26
uir,26
peto,25
atque,25
ensis,24
iuuenis,24
ut,23
hostis,23
dextra,23
sum,22
tu,21
dux,21
natus,21
telum,20
non,20
ingens,20
uideo,20
ago,19
tuus,19
hasta,19
heros,18
ab,18
contra,18
medius,18
fero,17
fundo,17
caedes,17
uulnus,17
simul,16
undique,16
manus,16
totus,16
acies,16
ferrum,16
uastus,16
ira,15
numen,15
tunc,15
meus,15
ipse,15
agmen,15
post,15
ego,14
os,14
reddo,14
pater,14
iam,14
ruo,14
tum,14
de,14
rex,13
clarus,13
omnis,13
dico,13
proelium,13
interea,13
prosterno,13
socius,13
bellus,13
pugno,13
murus,13
miser,12
funus,12
postquam,12
donum,12
ignis,12
durus,12
inde,12
coniunx,12
refero,12
dum,12
bis,12
acer,12
pars,12
clipeus,12
tergum,12
uictor,12
ictus,12
iubeo,11
mitto,11
castrum,11
sed,11
mox,11
iterum,11
at,11
premo,11
modo,11
saeuus,11
sterno,11
misceo,11
do,10
pugna,10
infestus,10
nox,10
si,10
dictum,10
puppis,10
uenio,10
uirtus,10
campus,10
ualidus,10
eo,10
altus,10
unus,10
fugio,10
sanguis,10
inter,10
infelix,10
cuspis,10
bellum,9
quis,9
tristis,9
patrius,9
prex,9
duco,9
uolo,9
primus,9
protinus,9
teneo,9
gens,9
unda,9
flamma,9
miles,9
cado,9
fluctus,9
ferox,9
uterque,9
tego,9
certamen,9
stringo,9
ex,8
proles,8
tempus,8
aura,8
ferus,8
parens,8
uicis,8
cunctus,8
sic,8
fulgeo,8
nunc,8
noster,8
capio,8
pubes,8
porta,8
fatum,8
sto,8
adsum,8
iacio,8
galea,8
turbo,8
saxum,8
alius,8
superus,7
nam,7
amor,7
ubi,7
castus,7
uita,7
sidus,7
aio,7
tandem,7
clamor,7
super,7
paro,7
labor,7
leuis,7
terra,7
umbra,7
aequor,7
sequor,7
quam,7
horridus,7
mucro,7
insto,7
cedo,7
caterua,7
auxilium,7
moueo,7
currus,7
pro,7
cursus,7
artus,6
dies,6
salus,6
castra,6
sacer,6
arcus,6
procer,6
hortor,6
inuictus,6
classis,6
ardor,6
ne,6
iuxta,6
supero,6
caelum,6
talis,6
diuus,6
celer,6
accipio,6
turba,6
extremus,6
atrox,6
pulso,6
potens,6
robur,6
tempto,6
aurum,6
aduersus,6
cruor,6
aduersum,6
concurro,6
pes,6
ardeo,6
rursus,6
frater,6
horrendus,6
casus,6
oculus,6
possum,6
gladius,6
comminus,6
equus,6
rapio,6
traho,5
contendo,5
grauis,5
causa,5
uinco,5
gemitus,5
uox,5
auris,5
aut,5
sub,5
tutus,5
o,5
uix,5
tellus,5
subito,5
cogo,5
tamen,5
crudelis,5
mater,5
supplex,5
ualeo,5
occupo,5
instruo,5
lux,5
ullus,5
ora,5
percutio,5
tollo,5
senex,5
ratis,5
nauis,5
totidem,5
ter,5
satus,5
insignis,5
confero,5
rigidus,5
percussus,5
membrum,5
laetus,5
conuerto,5
ferio,5
ante,5
solus,5
occurro,5
inimicus,5
circum,5
firmo,5
subeo,5
anima,4
trado,4
raptus,4
nata,4
impleo,4
leuo,4
genu,4
regnum,4
oro,4
depositum,4
multus,4
annus,4
populus,4
aer,4
coetus,4
iniquus,4
pariter,4
tendo,4
ni,4
munus,4
defendo,4
moneo,4
aetherius,4
spargo,4
tantus,4
quisque,4
dulcis,4
nomen,4
nos,4
daps,4
curo,4
mundus,4
genus,4
mora,4
defero,4
aequus,4
alter,4
gero,4
uero,4
sollers,4
