,count
et,963
qui,549
sum,382
hic,347
in,246
si,214
ille,210
quis,202
tu,189
cum,185
non,185
nec,171
sed,164
atque,153
magnus,153
ut,123
omnis,111
ad,110
ipse,106
iam,106
facio,103
do,103
aut,98
ab,90
tamen,87
nullus,86
multus,83
de,81
dico,75
ego,73
sui,70
nam,67
habeo,66
uideo,63
totus,62
tantus,61
ac,59
quam,59
nihil,58
quod,55
ergo,55
enim,53
unus,53
possum,53
quantus,53
uel,52
res,52
puer,52
domus,51
nunc,49
longus,49
fero,48
per,47
alius,46
bonus,46
credo,45
amicus,45
nos,43
uenio,43
paruus,42
idem,42
noster,41
inde,40
pars,39
primus,39
tuus,39
uolo,39
uiuo,37
ago,37
iubeo,37
pono,37
uetus,36
dignus,36
puto,36
nemo,35
populus,35
aliquis,35
nox,35
tunc,35
pater,35
ne,34
ante,34
homo,33
animus,33
quisque,33
liceo,32
deus,32
facies,32
paro,32
suus,32
mos,32
sumo,32
urbs,32
alter,31
qualis,30
ex,30
miser,30
caput,29
solus,29
ardeo,29
tempus,29
malus,29
soleo,29
iuuenis,29
seruus,29
uxor,29
tam,28
uir,28
nudus,28
tot,28
dominus,28
frango,27
sic,27
duco,27
annus,27
posco,27
maritus,27
grauis,26
edo,26
quaero,26
quisquis,26
semper,26
seruo,26
medius,26
accipio,25
causa,25
crimen,25
dum,25
rex,25
talis,24
dies,24
terra,24
quicumque,24
an,24
uita,24
quando,24
saeuus,23
inter,23
audeo,23
sufficio,23
debeo,23
minor,23
peto,23
uox,23
altus,23
pereo,23
cunctus,22
numquam,22
exspecto,22
gaudeo,22
corpus,22
post,22
turpis,22
lex,22
eo,22
quot,22
uendo,22
latus,22
uos,22
iaceo,21
uerus,21
plenus,21
tenuis,21
sanguis,21
caelum,21
ulter,21
orbis,21
ullus,21
igitur,21
puella,21
teneo,21
fatum,21
mitto,21
grandis,21
emo,21
cena,20
hinc,20
anima,20
dono,20
umquam,20
sto,20
unde,20
timeo,20
quoius,20
relinquo,20
cura,20
audio,20
nomen,20
sedeo,20
sacer,19
quidam,19
moueo,19
sub,19
paucus,19
praesto,19
labor,19
mollis,19
natura,19
felix,19
quotiens,19
mons,19
opto,19
colo,18
ubi,18
o,18
numen,18
ferrum,18
digitus,18
modo,18
patior,18
pro,18
arma,18
similis,18
tamquam,18
propter,18
uinco,18
laudo,18
summum,18
rarus,18
refero,17
inuenio,17
cedo,17
oculus,17
fama,17
cogo,17
ius,17
ars,17
ingens,17
uitium,17
mater,17
impleo,17
nisi,17
nummus,17
olim,17
at,17
cado,17
aurum,17
natus,17
testis,16
positus,16
niger,16
par,16
adeo,16
doceo,16
poena,16
claudo,16
ager,16
mox,16
discrimen,16
taceo,16
bibo,16
mare,15
scelus,15
frons,15
incipio,15
manus,15
genus,15
ara,15
monstrum,15
cibus,15
parens,15
ostendo,15
leuis,15
fio,15
uotum,15
exiguus,15
diues,15
contingo,15
comes,15
amo,15
nescio,14
consul,14
rapio,14
aspicio,14
mille,14
capio,14
ignis,14
uenter,14
loquor,14
qua,14
breuis,14
mens,14
uoco,14
indulgeo,14
fugio,14
adulter,14
contemno,14
tabula,14
argentum,14
propero,14
tristis,14
interea,14
pretium,14
inquam,14
census,14
confero,14
tollo,14
figo,14
num,14
uexo,14
secerno,14
liber,14
gens,13
hortus,13
mensa,13
uacuus,13
uicinus,13
odi,13
turba,13
deinde,13
uix,13
quisquam,13
contentus,13
dubito,13
fortuna,13
bene,13
ira,13
somnus,13
senex,13
cupio,13
utilis,13
nouus,13
umbra,13
magis,13
tunica,13
pes,13
senectus,13
specto,13
aer,13
quamuis,13
mors,13
aeger,13
lectus,13
curro,13
canto,13
pone,13
auris,13
durus,13
dormio,13
dirus,12
exemplum,12
uulnus,12
adhuc,12
templum,12
rumpo,12
os,12
summa,12
conduco,12
quippe,12
surgo,12
grex,12
communis,12
limen,12
tener,12
gladius,12
pectus,12
magister,12
duo,12
uultus,12
ops,12
modus,12
pauper,12
panis,12
merces,12
pudor,12
iste,12
perdo,12
inguen,12
tum,12
placeo,12
pulcher,12
coniunx,12
supersum,12
custos,12
perago,12
uis,12
consilium,12
porta,11
fingo,11
saxum,11
nondum,11
produco,11
antiquus,11
superus,11
dux,11
sentio,11
sol,11
facilis,11
sono,11
rideo,11
postquam,11
uoluptas,11
uirtus,11
fides,11
nolo,11
traho,11
fortis,11
sequor,11
monstro,11
ceno,11
carcer,11
moechus,11
subeo,11
foedus,11
filius,11
descendo,11
patria,11
autem,11
longe,11
metuo,11
noceo,11
tandem,11
coepio,11
harena,11
cohors,11
pulso,11
contra,11
meus,11
scio,11
cur,11
uinum,11
ceruix,11
honor,11
praebeo,11
uerbum,11
centum,10
humanus,10
attono,10
quamquam,10
locus,10
madidus,10
ludo,10
torqueo,10
dextra,10
nimius,10
plurimus,10
libet,10
diuersus,10
casus,10
miserabilis,10
alienus,10
fames,10
nobilis,10
siccus,10
lacrima,10
imperium,10
funus,10
infans,10
ingenium,10
occido,10
haereo,10
heres,10
ratio,10
obsto,10
libertas,10
careo,10
egregius,10
miror,10
finis,10
etiam,10
scribo,10
barba,10
patrius,10
iacto,10
spes,10
titulus,10
infelix,10
maneo,10
eques,10
sidus,10
totiens,10
committo,10
caedo,10
damnum,10
tabella,10
poculum,10
nempe,10
pariter,10
porto,10
libido,10
saepe,10
nosco,10
tempestas,9
urna,9
quidem,9
laetus,9
gaudium,9
corona,9
cadauer,9
acer,9
uenia,9
carmen,9
trado,9
pingo,9
occurro,9
ciuis,9
signum,9
dens,9
lassus,9
spero,9
consto,9
trepidus,9
cito,9
cesso,9
agito,9
pasco,9
deduco,9
habitus,9
numero,9
haud,9
densus,9
sermo,9
tego,9
libellus,9
ultra,9
admitto,9
uester,9
praetor,9
ludus,9
pinguis,9
clamo,9
promitto,9
miles,9
crus,9
adsum,9
praeterea,9
mora,9
ferio,9
albus,9
factum,9
princeps,9
subitus,9
occulo,9
angustus,9
clarus,9
intro,9
toga,9
officium,9
respicio,9
ferueo,9
porrigo,9
prior,9
domina,9
serpens,8
effigies,8
dimidius,8
piscis,8
uiolo,8
miro,8
calidus,8
uulgus,8
lux,8
horridus,8
ualeo,8
repeto,8
seco,8
usque,8
mordeo,8
moneo,8
aetas,8
causidicus,8
fateor,8
ploro,8
ideo,8
tutus,8
parco,8
parum,8
eadem,8
cera,8
culpa,8
damno,8
uirga,8
trepido,8
gratus,8
generosus,8
litus,8
uilla,8
marmor,8
mensura,8
uestis,8
auarus,8
cresco,8
nego,8
dubius,8
bos,8
collum,8
uiridis,8
morbus,8
proelium,8
tres,8
uenenum,8
misceo,8
munus,8
pudet,8
castrum,8
falsus,8
premo,8
laeuus,8
effundo,8
arca,8
galea,8
recingo,8
soror,8
hora,8
iudex,8
reddo,8
mereo,8
