,count
et,887
sum,656
in,518
qui,489
ego,430
non,361
hic,317
ut,260
ad,257
ille,248
cum,233
inquam,208
meus,182
quis,180
num,176
facio,173
nec,173
si,166
sed,159
habeo,148
tu,148
omnis,145
iam,133
suus,132
etiam,128
ne,118
uideo,117
manus,114
sui,109
quod,109
dico,108
aut,105
nos,102
is,93
coepio,93
enim,91
puer,91
quam,90
possum,87
ipse,86
ab,86
de,82
ergo,81
tam,79
inter,79
itaque,77
homo,76
quidem,75
totus,72
puto,71
nam,70
ex,70
uenio,66
tamen,66
alius,65
tanquam,65
do,64
ac,63
uolo,63
iubeo,62
per,61
tuus,58
scio,57
atque,55
autem,55
nihil,54
magnus,54
bonus,51
multus,49
super,49
unus,49
nisi,48
dum,48
noster,46
dies,46
sic,45
pars,45
res,44
corpus,44
quaero,44
oculus,43
idem,43
sine,43
primus,42
credo,42
caput,41
seruus,41
quia,40
pes,39
quisquis,39
nunc,38
pro,37
terra,37
deinde,37
placeo,37
nox,37
solus,37
uultus,36
modo,36
ubi,36
at,36
ago,36
soleo,36
tollo,36
ita,35
fides,35
edo,34
intro,34
inuenio,33
mulier,33
accipio,33
locus,32
alter,32
loquor,31
diu,31
rideo,31
causa,31
dominus,31
pono,31
affero,31
uox,31
uos,30
adhuc,30
rogo,30
duo,30
malus,30
nemo,30
duco,29
factum,29
fortuna,29
immo,29
frater,29
deus,29
amicus,29
tantus,28
bene,28
liber,28
quisque,28
ingens,28
ecce,28
familia,28
aliquis,28
pater,27
uerbum,27
quidam,27
animus,27
uterque,27
pectus,27
ante,27
eo,26
mens,26
relinquo,26
impono,26
uinum,26
domus,26
iniuria,26
iaceo,26
accedo,25
patior,25
nolo,25
uerus,25
timeo,24
teneo,24
statim,24
ancilla,24
triclinium,24
nauis,24
gratia,24
parum,24
magis,23
postquam,23
curo,23
circa,23
mensa,23
nomen,23
arma,23
cena,22
mitto,22
plenus,22
fugio,22
mors,22
caelum,22
aurum,22
fero,22
sanguis,22
male,21
uestis,21
planus,21
reddo,21
positus,21
perdo,20
debeo,20
ars,20
peto,20
annus,20
numquid,20
lacrima,20
uoco,20
ulter,20
osculum,20
iste,20
aqua,20
uiuo,20
os,20
orbis,19
sto,19
amo,19
lectus,19
longe,19
an,19
redeo,19
nullus,19
frons,19
miror,19
uir,19
fortunatus,19
audio,18
summa,18
cibus,18
uotum,18
mos,18
altus,18
mox,18
hinc,18
humanus,18
frango,18
risus,18
tempto,18
paruus,18
scilicet,18
ceterum,18
facies,18
populus,18
post,18
pereo,18
peruenio,18
conuerto,18
mare,18
amor,18
mortuus,18
clamo,17
iuuenis,17
carmen,17
uis,17
hodie,17
aureus,17
emo,17
uinco,17
effundo,17
tristis,17
domina,17
ceruix,17
nouus,17
rapio,17
lacero,17
nauigium,17
genus,16
ideo,16
quasi,16
uester,16
usque,16
quoque,16
aio,16
noto,16
medium,16
cella,16
ratio,16
littera,16
mille,16
aliqui,16
numquam,16
exspecto,16
igitur,16
sinus,16
officium,16
iuppiter,16
liceo,15
agamemnon,15
sermo,15
nascor,15
sentio,15
sedeo,15
muto,15
minor,15
spiritus,15
o,15
uel,15
par,15
paene,15
fabula,15
quisquam,15
quare,15
coquus,15
miles,15
usus,14
uelut,14
fingo,14
auris,14
intellego,14
proclamo,14
libido,14
impleo,14
interim,14
paro,14
utique,14
consilium,14
miser,14
perfundo,14
sumo,14
umquam,14
sequor,14
anser,14
specto,14
extra,14
occido,14
crinis,14
tango,14
forma,14
fatum,14
excipio,13
fio,13
filius,13
spargo,13
cado,13
dignus,13
lex,13
turba,13
nescius,13
