,count
et,2229
qui,2220
sum,2201
in,1418
non,1264
ut,1243
hic,1162
ego,1067
tu,932
ille,826
quod,728
cum,666
is,627
quam,623
sed,598
tuus,557
enim,538
ipse,532
si,522
num,515
ab,489
ex,455
etiam,444
omnis,438
ad,430
nec,426
meus,402
possum,400
tamen,371
multus,360
facio,343
quis,339
uideo,337
dico,325
alius,324
nam,317
magnus,301
tantus,293
princeps,291
aut,284
de,283
sui,281
suus,280
ne,275
idem,270
quidem,263
ac,262
habeo,248
uale,246
noster,243
bonus,234
ita,229
uel,223
nihil,218
nos,215
quisque,210
iam,207
do,205
an,198
tam,198
quantus,189
magis,188
atque,184
nunc,181
causa,180
uolo,179
nisi,179
quasi,179
edo,175
debeo,173
res,171
homo,171
ago,170
scribo,168
liber,164
senatus,162
dies,161
pro,159
quidam,159
puto,157
primus,153
parum,152
plinius,151
unus,150
quia,150
per,148
nullus,144
pars,140
tempus,139
audio,139
uerus,138
amicus,138
honor,136
iste,130
ergo,130
publicus,129
aliquis,120
studium,120
accipio,119
consul,118
soleo,112
locus,112
ante,111
modo,111
lex,109
nomen,107
lego,106
uir,105
opus,105
scio,104
animus,104
ratio,104
credo,103
sic,103
pater,103
peto,101
epistula,100
deinde,100
autem,99
iudicium,97
maxime,96
inter,94
gratia,92
apud,90
dignus,88
dominus,87
uenio,85
longus,84
laus,84
imperator,84
gloria,83
oculus,83
uterque,83
quamquam,82
deus,81
alter,79
quoque,79
solus,79
rogo,78
mitto,78
nouus,77
amo,77
ceterus,76
exemplum,76
ciuitas,76
modus,76
mos,75
totus,74
malus,74
cura,73
officium,73
prouincia,73
fero,72
summa,72
annus,72
praesto,72
uereor,71
mereo,71
nemo,71
ius,71
semper,70
labor,70
adeo,70
genus,70
similis,70
refero,70
amor,69
fides,69
mare,69
traianus,69
adhuc,68
plurimus,68
tunc,68
reddo,68
relinquo,68
tamquam,68
filius,68
post,67
inuenio,67
tum,67
par,67
dum,66
sententia,66
factum,66
exigo,66
consulatus,66
manus,65
oratio,65
sine,65
inde,65
statim,65
ingenium,64
recito,64
sequor,64
uita,63
simul,63
duo,62
laudo,62
iubeo,62
imperium,62
addo,61
grauis,61
parens,61
consilium,60
sub,60
diligo,60
satis,59
rursus,58
uero,58
singulus,58
domus,58
ciuis,58
bene,57
quaero,57
saepe,57
patior,57
aliqui,57
placeo,57
iucundus,57
coepio,56
probo,56
pulcher,56
denique,56
liceo,55
contra,55
gratus,55
paruus,54
sermo,54
teneo,54
suscipio,54
terra,54
mors,53
at,53
capio,53
