,count
et,747
sum,503
in,404
qui,354
is,245
ab,182
ad,181
ut,145
hic,128
mare,107
litus,101
alius,96
ex,87
non,85
sui,84
nomen,78
sed,78
atque,76
ille,76
magnus,75
urbs,75
quam,74
terra,72
inter,71
ubi,69
sinus,69
latus,65
ac,64
dico,63
promunturium,60
ipse,59
etiam,57
cum,57
amnis,57
deinde,56
alter,56
pars,55
mons,53
primus,49
pelagus,48
quod,46
tum,46
oppidum,46
per,46
magis,43
quia,43
usque,43
aut,42
uoco,41
nec,40
gens,39
multus,39
nunc,39
angustus,39
ita,39
suus,38
flumen,38
iam,38
ora,37
idem,37
habeo,37
inde,36
habito,35
omnis,35
paruus,35
insula,35
ingens,34
fero,34
uerus,32
tamen,32
longe,32
adeo,32
ultra,32
duo,31
ob,31
maxime,31
iterum,30
appello,30
clarus,29
unus,29
spatium,29
ceterus,29
os,29
ibi,29
nisi,29
unde,28
quidem,27
regio,27
medius,27
grandis,27
totus,26
accipio,26
meridies,26
paene,26
propior,25
super,25
teneo,25
ostium,25
locus,24
altus,24
septentrio,24
ago,24
tantus,24
ideo,24
attingo,24
uastus,23
quidam,23
occidens,22
oceanus,22
alueus,22
contra,22
fons,22
de,21
longus,21
rursus,21
ulter,21
fretus,21
ripa,21
populus,21
interior,21
flexus,21
hinc,21
olim,21
at,20
post,20
modo,20
sine,20
pro,20
colonia,20
alo,20
oriens,19
finis,19
facio,19
res,19
portus,19
aliquando,19
frons,18
specto,18
aliquot,18
fluuius,18
corpus,18
memoro,17
admodum,17
fio,17
mos,17
qua,16
iaceo,16
late,16
exeo,16
efficio,16
edo,16
lacus,16
similis,16
num,16
ops,15
autem,15
sol,15
sequor,15
donec,15
fabula,15
quasi,15
nihil,15
subinde,15
asper,15
immanis,15
si,14
tres,14
noster,14
tractus,14
genus,14
quondam,14
ne,14
quisque,13
extra,13
reliquus,13
mille,13
patens,13
diuersus,13
cognomen,13
diu,13
homo,13
proximus,13
dictum,13
animal,13
cursus,13
caput,13
specus,13
condio,13
trado,13
solus,13
capio,13
campus,13
abeo,13
templum,13
singulus,12
aduersum,12
perpetuus,12
adiaceo,12
pertineo,12
iugum,12
finio,12
sedes,12
dextra,12
sacer,12
nullus,12
illustris,12
uir,12
fides,12
appono,12
nox,12
tunc,12
pecus,12
dies,12
apud,12
eo,12
aqua,12
silua,12
ignis,12
uelut,12
occasus,11
cingo,11
incolo,11
desertum,11
fertilis,11
colo,11
fama,11
ignobilis,11
procul,11
certus,11
saeuus,11
nauigabilis,11
iuxta,11
siue,11
laetus,11
uideo,11
fere,10
satis,10
ingenium,10
possum,10
undique,10
