,count
et,674
sum,609
ego,426
tu,421
in,338
qui,329
non,304
hic,292
meus,237
nec,226
tuus,194
ille,192
si,169
amor,140
cum,123
puella,119
possum,118
quis,110
noster,107
num,102
suus,93
nunc,91
ad,91
ab,89
do,85
manus,83
aut,82
ut,79
sed,79
at,77
magnus,77
iam,76
ipse,76
unus,75
deus,74
nullus,73
per,73
nox,67
uenio,66
dico,63
fero,59
arma,58
primus,57
multus,57
uideo,57
eo,56
de,56
aqua,56
facio,54
omnis,54
habeo,51
semper,51
uerbum,50
durus,49
sic,48
carmen,47
saepe,47
tamen,46
uia,46
uolo,46
nos,46
domus,46
totus,45
modo,45
equus,45
dies,45
caput,44
os,42
quaero,42
cynthia,42
atque,42
solus,42
tam,42
tantus,41
ex,41
terra,41
ante,40
uir,40
iste,39
nam,38
longus,38
liceo,38
quam,38
quod,37
lectus,37
quicumque,37
duco,36
edo,36
sine,35
uel,35
ullus,34
formosus,34
fatum,34
pes,33
fides,33
uita,33
ubi,33
miser,32
domina,32
malus,32
amans,32
iuppiter,32
mollis,31
tempus,31
alter,31
nomen,31
sub,31
sui,31
seu,31
fleo,31
inter,31
unda,30
quisque,30
qua,30
felix,30
medius,30
sacer,29
litus,29
ne,29
pereo,29
siue,29
collum,29
coma,29
tum,28
bonus,28
forma,28
o,28
uinco,28
numquam,28
amicus,27
dolor,27
dum,27
pono,27
paruus,27
mors,27
etiam,26
grauis,26
cado,26
labor,25
cura,25
muto,25
iaceo,25
liber,25
lacrima,25
nihil,25
mater,25
doceo,24
cogo,24
iter,24
moueo,24
quamuis,24
soluo,24
lego,24
signum,24
uiuo,23
annus,23
credo,23
pectus,23
ignis,23
torus,23
iuuo,23
qualis,23
iubeo,23
turpis,23
flumen,23
ossum,23
urbs,23
frango,23
turba,23
capio,22
magis,22
extremus,22
talis,22
mora,22
crimen,22
uelum,22
nouus,22
aurum,22
uester,22
ratis,22
funus,22
sto,22
umbra,22
lumen,21
uos,21
patrius,21
post,21
alius,21
an,21
ius,21
locus,21
fama,21
factum,21
lex,21
bos,21
patior,20
munus,20
cano,20
traho,20
somnus,20
queror,20
fallo,20
animus,20
cur,20
mare,20
soleo,20
certus,20
regnum,20
nego,20
peto,20
causa,20
ars,19
focus,19
quantus,19
nudus,19
leuis,19
sequor,19
hostis,19
limen,19
uotum,19
tristis,19
teneo,19
opus,19
saxum,19
dux,19
ocellus,18
uenus,18
refero,18
uestis,18
uterque,18
forte,18
corpus,18
ora,18
uerus,18
tango,18
sanguis,18
uerto,18
candidus,18
oculus,18
tot,18
femina,17
amo,17
sat,17
utinam,17
carus,17
quoniam,17
laedo,17
sedeo,17
mos,17
bracchium,17
iugum,17
dea,17
nota,16
facilis,16
curro,16
serus,16
puer,16
gaudeo,16
cauus,16
sentio,16
lentus,16
uentus,16
testis,16
chorus,16
aliquis,16
ualeo,15
saeuus,15
auris,15
uacuus,15
cedo,15
timor,15
inuitus,15
aetas,15
quisquam,15
roma,15
ago,15
tollo,15
timeo,15
poena,15
superbus,15
plenus,15
antrum,14
sidus,14
ira,14
amarus,14
capillus,14
dulcis,14
fax,14
osculum,14
sinus,14
quotiens,14
is,14
mecum,14
bibo,14
fugio,14
totiens,14
miror,14
harena,14
gloria,14
erus,14
facies,14
uersus,14
unde,14
auis,14
uro,14
idem,14
uix,14
redeo,14
iacto,14
orbis,14
uulnus,13
luna,13
ferrum,13
loquor,13
nosco,13
aspicio,13
bene,13
uilis,13
lyra,13
positus,13
cornu,13
foris,13
ulter,13
insanus,13
uox,13
ara,13
maneo,13
uetus,13
cerno,13
ingenium,13
modus,13
quoque,13
taceo,13
pro,13
fingo,13
doleo,13
triumphus,13
siccus,13
miles,13
noceo,13
canus,13
mitto,13
tero,13
pater,13
ueho,13
premo,12
tardus,12
memini,12
tutus,12
heu,12
figura,12
surgo,12
pingo,12
soror,12
quondam,12
placeo,12
phoebus,12
laus,12
pars,12
mons,12
tego,12
prosum,12
castrum,12
romanus,12
igitur,12
audio,12
aequor,12
uinculum,12
praebeo,12
alternus,12
quisquis,12
caelum,12
misceo,12
rogus,12
dignus,12
uis,12
frater,12
nocturnus,12
pondus,12
certe,12
bustum,12
lacus,12
duo,12
purus,12
pudet,12
impono,11
perdo,11
sino,11
color,11
rota,11
gratus,11
parum,11
assiduus,11
rarus,11
aio,11
iro,11
hora,11
ah,11
fortuna,11
liquor,11
ita,11
laudo,11
nolo,11
surdus,11
iuuenis,11
tener,11
aura,11
quin,11
ops,11
paro,11
claudo,11
herba,11
incipio,11
olim,11
coniunx,11
palma,11
fons,11
ter,11
spargo,11
posco,11
proelium,11
uates,11
fluo,11
omen,11
foedus,11
pius,11
honor,11
canis,11
flamma,11
aer,11
torqueo,11
castus,10
prius,10
tunc,10
moror,10
natura,10
maritus,10
porto,10
neue,10
gaudium,10
pariter,10
querela,10
iacio,10
reddo,10
natus,10
carpo,10
hinc,10
cupio,10
arcus,10
compono,10
uoco,10
corrumpo,10
nauta,10
rumpo,10
rudis,10
moenia,10
infernus,10
pudor,10
morior,10
custos,10
uaco,10
sono,10
uinum,10
altus,10
ianua,10
lingua,10
scribo,10
uiuus,10
condo,10
uerso,10
poculum,10
campus,10
niger,10
sonus,10
mundus,10
fastus,9
furor,9
rursus,9
membrum,9
humus,9
sol,9
adsum,9
satis,9
sis,9
fessus,9
figo,9
clausum,9
disco,9
committo,9
fortis,9
nescio,9
gallus,9
umquam,9
subeo,9
poeta,9
mereo,9
remus,9
portus,9
aptus,9
blandus,9
perfidus,9
quia,9
desero,9
uincio,9
semel,9
uertex,9
arbor,9
rapio,9
humanus,9
saluus,9
caecus,9
antiquus,9
tellus,9
seruo,9
canto,9
urna,9
latus,9
donum,9
mox,9
ueto,9
nisi,9
tergum,9
cinis,9
lux,9
caesar,9
hospes,9
aureus,9
arx,9
uictor,9
porta,9
improbus,8
erro,8
fera,8
pio,8
reuoco,8
orno,8
tenuis,8
crinis,8
scio,8
uisum,8
adeo,8
sumo,8
experior,8
ignotus,8
frons,8
namque,8
exigo,8
fletus,8
lapis,8
raptus,8
uagus,8
mille,8
culpa,8
rogo,8
prex,8
merito,8
tingo,8
amator,8
sepulcrum,8
iniquus,8
quiuis,8
nobilis,8
finis,8
imito,8
deinde,8
rex,8
tremo,8
quoius,8
currus,8
pendeo,8
traicio,8
carina,8
uadum,8
nata,8
narro,8
fuga,8
ludo,8
umerus,8
eburneus,8
bellus,8
res,8
capto,8
pax,8
taurus,8
merus,8
luceo,8
puto,8
pulcher,8
exemplum,8
nupta,8
immeritus,8
somnium,8
ferio,8
lauo,8
uultus,8
corona,8
tres,8
super,8
spolium,8
uerro,8
senex,8
murus,8
enim,8
deduco,7
sitis,7
lympha,7
cupidus,7
externus,7
tabula,7
uereor,7
desertum,7
molliter,7
ardor,7
lacertus,7
ingratus,7
uanus,7
lassus,7
tacita,7
impune,7
differo,7
contemno,7
cesso,7
inuenio,7
relinquo,7
contemptus,7
imago,7
quare,7
cognosco,7
seruio,7
frustra,7
humilis,7
caueo,7
murmur,7
nauis,7
funis,7
crudelis,7
accipio,7
iuro,7
falsus,7
auarus,7
supplex,7
quaeso,7
spiritus,7
quando,7
nescius,7
exiguus,7
laeto,7
urgeo,7
tectum,7
praemium,7
periculum,7
historia,7
excido,7
pulso,7
uitium,7
rosa,7
nemus,7
clamo,7
comes,7
genus,7
unguis,7
demissus,7
circa,7
digitus,7
catena,7
testor,7
auus,7
pastor,7
albus,7
nato,7
geminus,7
scriptum,7
decem,7
fallax,7
beatus,7
templum,7
statuo,7
condio,7
uxor,7
fundo,7
bis,7
fraus,7
precor,7
gero,7
nemo,7
colo,7
uastus,7
sanctus,7
fidus,7
iuno,7
iuuencus,7
mando,7
astrum,7
corono,7
huc,7
tarpeius,7
deficio,6
saucius,6
rupes,6
ergo,6
mens,6
palleo,6
sero,6
procedo,6
iucundus,6
accumbo,6
quies,6
uestigium,6
tempto,6
haereo,6
iniuria,6
purpureus,6
confero,6
libet,6
memor,6
par,6
infelix,6
tecum,6
puppis,6
debitum,6
socius,6
affero,6
pontus,6
mina,6
aeternus,6
demens,6
hibernus,6
inimicus,6
placidus,6
flecto,6
columba,6
libellus,6
quippe,6
uigilo,6
pateo,6
blanditia,6
iustus,6
semita,6
resto,6
uicis,6
anima,6
mirus,6
cubile,6
eous,6
uiso,6
hospitium,6
audax,6
nimium,6
mentior,6
nequitia,6
requiesco,6
frigidus,6
raucus,6
increpo,6
pario,6
timidus,6
supero,6
officium,6
nihilum,6
secundus,6
captiuus,6
auratus,6
rostrum,6
furtum,6
tunica,6
folium,6
dubius,6
anus,6
aperto,6
pecco,6
tuba,6
specto,6
tumulus,6
caedes,6
cruentus,6
caeruleus,6
telum,6
pauper,6
addo,6
interea,6
hodie,6
columna,6
linquo,6
conuiuium,6
mensa,6
barbarus,6
theatrum,6
sors,6
onus,6
uicinus,6
haud,6
calamus,6
lucus,6
classis,6
immundus,6
notus,6
pila,6
puter,6
metus,6
uesta,6
secta,6
uirgo,6
inanis,6
aestus,6
remitto,6
monumentum,6
pensum,6
poto,6
domo,5
gens,5
adsuesco,5
medicina,5
hedera,5
uolucris,5
gemma,5
probo,5
chorea,5
nitor,5
conor,5
metuo,5
tandem,5
ala,5
seruitium,5
artus,5
contendo,5
circum,5
similis,5
excludo,5
cito,5
rumor,5
imperium,5
agito,5
uesanus,5
nauita,5
aufero,5
musa,5
fretus,5
contingo,5
conscius,5
iterum,5
recens,5
herculeus,5
subdo,5
ignosco,5
parens,5
quantum,5
amplexus,5
quidam,5
gradus,5
inicio,5
diu,5
opto,5
labrum,5
hercules,5
silua,5
uarius,5
excipio,5
thalamus,5
occido,5
admitto,5
rixa,5
infamis,5
saeculum,5
argutus,5
sollicitus,5
procella,5
nonne,5
circumdo,5
trames,5
ueneror,5
praeda,5
spatior,5
nympha,5
error,5
alcides,5
amictus,5
memoro,5
superus,5
uirgineus,5
pello,5
diuus,5
aequus,5
sapio,5
ac,5
aratrum,5
subito,5
spero,5
potens,5
dormio,5
intactus,5
tabella,5
transeo,5
tibia,5
castra,5
postquam,5
dolus,5
sagitta,5
habito,5
uenenum,5
fabula,5
niueus,5
uenor,5
lucerna,5
iungo,5
paucus,5
diues,5
casa,5
damnatus,5
uirtus,5
fulmen,5
ruga,5
gena,5
ager,5
tenebrae,5
pagina,5
stultus,5
recipio,5
pudicus,5
propello,5
discus,5
dextra,5
onero,5
penas,5
lar,5
fugo,5
uua,5
desino,5
ruo,5
uictrix,5
sedes,5
coeo,5
hasta,5
paternus,5
pretium,5
datum,5
romulus,5
forum,5
donec,4
aduersus,4
