,count
sum,2149
non,1608
qui,1592
et,1417
in,957
hic,899
ego,852
ut,706
ille,659
possum,651
quod,648
si,631
quis,543
tu,527
pater,448
meus,438
filius,406
omnis,387
uideo,383
facio,382
ad,381
de,376
cum,363
nec,349
quam,319
iudex,300
miser,291
sed,290
suus,290
uolo,287
occido,277
habeo,257
sui,255
iam,249
tamen,242
credo,237
dico,237
ipse,236
mater,230
homo,223
ne,221
ab,217
puto,211
tuus,210
iuuenis,201
tantus,199
ex,190
nos,187
debeo,184
per,180
mors,180
alius,175
totus,173
noster,172
nihil,171
magnus,160
manus,159
res,159
nunc,159
affectus,159
animus,158
nisi,157
oculus,156
causa,154
iste,148
quantus,145
corpus,145
dolor,145
tam,144
etiam,144
quisquis,144
multus,139
primus,135
scio,135
solus,130
unus,129
pereo,127
liber,126
perdo,125
nullus,122
uenio,121
facinus,120
inuenio,119
inter,116
uos,114
sic,114
do,114
is,113
ago,110
pro,110
ratio,108
dum,106
fides,105
relinquo,104
an,104
inquam,104
fero,103
enim,103
quisque,103
liceo,103
uenenum,103
uita,102
malus,99
aut,99
infelix,98
scelus,98
aliquis,98
praesto,98
torqueo,98
pars,97
quidem,97
amicus,97
domus,96
parricidium,96
uiuo,96
nox,95
mos,95
tamquam,95
parens,95
lex,95
nemo,92
ita,91
senex,90
uel,90
fortuna,90
ante,90
humanus,90
ciuitas,89
pauper,89
caecus,88
amo,88
queror,88
pietas,87
ac,87
magis,86
accipio,86
interrogo,86
calamitas,85
bonus,84
patior,84
adhuc,83
orbitas,83
quaero,83
mulier,83
redimo,83
genus,82
publicus,82
dies,81
grauis,81
sine,81
duo,80
timeo,79
nego,79
maritus,78
parum,78
num,77
deprehendo,76
morior,76
diues,76
populus,75
tempus,73
natura,73
secerno,72
quia,72
ergo,70
alter,70
opus,70
edo,69
idem,69
odi,69
parricida,68
uester,68
reddo,68
fames,68
audio,67
mens,66
sentio,65
unde,65
necessitas,65
uis,65
uxor,64
tormentum,64
contra,63
anima,63
o,63
membrum,63
aeger,63
igitur,62
inuidia,62
cur,62
poena,62
nam,61
uterque,61
probo,60
uero,60
nouerca,59
superus,59
uerbum,59
odium,58
ideo,58
lacrima,58
inimicus,58
crimen,57
potius,57
ubi,57
pirata,57
innocens,56
locus,56
pectus,56
miror,56
tristis,55
reuertor,55
pariter,55
nouus,54
crudelis,54
peto,53
redeo,53
sufficio,53
quidam,53
languor,53
innocentia,52
propter,52
consumo,52
fateor,52
caecitas,51
teneo,51
uulnus,50
necesse,50
fatum,50
uinco,50
post,50
satis,49
felix,49
nolo,49
exspecto,49
taceo,49
nescio,49
conscientia,48
spero,48
apud,48
rogo,48
uerus,48
fingo,47
deinde,47
tunc,47
nomen,47
circa,47
ignis,47
refero,47
patientia,47
condicio,47
meretrix,47
frumentum,47
ferrum,46
semper,46
contingo,46
quoius,46
gemitus,46
labor,46
cadauer,46
remedium,46
ius,46
ullus,46
frater,46
loquor,45
uelut,45
at,45
quaestio,45
caritas,45
cibus,45
pudor,44
alienus,44
statim,44
longus,44
intellego,44
facile,44
par,44
paro,44
bibo,44
numquam,43
fio,43
quisquam,43
defendo,43
amplexus,43
uox,43
aliqui,43
obicio,42
irascor,42
sanguis,42
bene,42
uultus,42
desino,42
spiritus,42
aestimo,41
ars,41
adeo,41
iubeo,41
umquam,41
exitus,41
cogitatio,40
mortalis,40
misereor,40
accuso,39
gratia,39
solacium,39
soleo,39
incertus,39
respondeo,39
uoco,39
aetas,39
sano,39
eligo,38
pretium,38
accedo,38
metus,38
fortis,38
claudo,38
reus,37
supersum,37
uiscus,37
similis,37
succurro,37
carcer,37
os,37
mereo,36
coepio,36
fallo,36
aufero,36
decipio,36
cotidie,36
sermo,36
terra,36
mare,36
amor,35
noceo,35
affero,35
tempto,35
laudo,35
gladius,34
malo,34
factum,34
unicus,34
exigo,34
mentior,34
rursus,34
modo,34
medicus,34
beneficium,33
difficilis,33
incredibilis,33
silentium,33
ulter,33
uinculum,33
ultio,33
intersum,33
deus,33
iudico,33
uir,33
adicio,33
supplicium,33
uendo,33
umbra,33
cubiculum,32
confiteor,32
facilis,32
duco,32
casus,32
explico,32
nefas,32
eo,32
leuis,32
uter,32
quoque,32
rumor,32
certe,31
mitto,31
quicumque,31
fugio,31
damnum,31
consto,30
quemadmodum,30
spes,30
infirmitas,30
quotiens,30
quid,30
traho,30
impatiens,30
sto,30
ignosco,30
persuasio,30
impono,30
sane,30
ardor,30
permitto,30
super,30
prex,30
nimius,29
admitto,29
alligo,29
deficio,29
atque,29
perfero,29
absoluo,29
inuitus,29
cunctus,29
interim,29
osculum,29
exemplum,29
saltem,29
dimitto,29
querela,29
contentio,29
sacer,28
posco,28
reuerentia,28
compono,28
lux,28
contentus,28
capto,28
placeo,28
proclamo,28
sidus,28
sepelio,28
fas,28
potio,28
iaceo,27
argumentum,27
uix,27
sequor,27
singulus,27
diu,27
breuis,27
itaque,27
facies,27
fruor,27
quin,27
gaudium,27
saeuus,27
fortasse,27
legatus,27
incestus,27
siue,26
certus,26
percussor,26
sinus,26
audeo,26
quamuis,26
iterum,26
hinc,26
quomodo,26
pasco,26
prosum,26
immo,26
efficio,26
uicinus,26
praedico,26
uindico,26
fleo,26
apis,26
uoluptas,25
tot,25
uirtus,25
promitto,25
inde,25
quando,25
pono,25
paruus,25
seruo,25
aduersus,25
coram,25
malum,25
quies,25
propinquus,25
auctoritas,25
fama,25
utique,24
securus,24
quasi,24
debilitas,24
adiuuo,24
moueo,24
consilium,24
incipio,24
comparatio,24
sedes,24
periculum,24
fortassis,24
saeculum,24
retineo,24
communis,24
uicarius,24
transfero,23
medius,23
reliquus,23
peruenio,23
officium,23
meritum,23
prospicio,23
cedo,23
tenebrae,23
potestas,23
cura,23
rogus,23
probatio,23
contendo,23
ira,23
uitalis,23
duro,23
exeo,23
uentus,23
desiderium,23
sanitas,23
paene,22
parco,22
ictus,22
iuxta,22
uotum,22
laboro,22
porrigo,22
committo,22
annus,22
defensio,22
prior,22
pertineo,22
recedo,22
differo,22
dignus,22
indulgeo,22
tempestas,22
fera,22
agnosco,21
sub,21
usus,21
dubito,21
qua,21
euado,21
scilicet,21
nondum,21
plurimus,21
senectus,21
quanto,21
conuenio,21
modus,21
pondus,21
dubius,21
ceterus,21
libertas,21
desperatio,21
supra,21
narro,21
langueo,21
catena,21
flos,21
nefandus,21
desum,20
suspicio,20
usque,20
dissimulo,20
occasio,20
aspicio,20
uitium,20
error,20
semel,20
etiamsi,20
dominus,20
fortiter,20
licet,20
sollicitudo,20
rapio,20
conscius,20
impleo,20
nascor,20
testor,20
impatientia,20
lacero,20
morbus,20
sensus,20
talis,20
amarus,20
planctus,20
litus,20
tyrannus,20
paries,19
uestigium,19
utor,19
diuersus,19
seruulus,19
lectulus,19
iungo,19
quamquam,19
ministerium,19
furor,19
intra,19
transeo,19
paternus,19
muto,19
paulisper,19
qualis,19
postquam,19
defero,19
detineo,19
iustus,19
ultra,19
animal,19
duplus,19
amator,19
sepono,18
inuicem,18
cruor,18
satio,18
finis,18
stupeo,18
ordo,18
mora,18
abeo,18
aliquando,18
manifestus,18
aio,18
saepe,18
premo,18
desidero,18
abdico,18
remitto,18
flamma,18
impetro,18
mathematicus,18
nescius,18
plenus,18
capio,18
felicitas,18
pudet,18
inferus,18
exclamo,18
fluctus,18
ops,18
male,18
heres,17
aduersum,17
adulescens,17
perago,17
incido,17
audacia,17
priuignus,17
lumen,17
latus,17
perpetuus,17
opto,17
ecce,17
proximus,17
uestis,17
telum,17
iudicium,17
cito,17
quaeso,17
salus,17
excuso,17
somnus,17
diuersitas,17
rigor,17
experimentum,17
numen,17
imago,17
sustineo,17
excipio,17
malignus,17
libet,17
feritas,17
immanitas,17
indignus,17
inauditus,17
funus,17
alo,17
tandem,17
desero,17
commeatus,17
spatium,16
dux,16
sicut,16
minor,16
despero,16
cogo,16
confundo,16
respicio,16
aliter,16
excludo,16
iniuria,16
adsum,16
incendium,16
repeto,16
confessio,16
cupiditas,16
saluus,16
sexus,16
stringo,16
pallor,16
abicio,16
bellum,16
amplius,16
laxo,16
confero,16
nouitas,16
redemptio,16
crudelitas,16
clementia,16
defungor,16
iniquus,16
recipio,16
offero,16
sepulcrum,16
nauis,16
fabula,16
classis,16
sollicitus,15
scribo,15
imputo,15
pecunia,15
inanis,15
autem,15
suspendo,15
propior,15
subinde,15
expello,15
ueto,15
haereo,15
ingenium,15
effero,15
soluo,15
prius,15
nuntio,15
seu,15
carus,15
paupertas,15
adamo,15
emo,15
profundus,15
artus,15
uerber,15
miseratio,15
laetus,15
bellus,15
damnatus,15
frustra,15
cursus,15
alimentum,15
amicitia,15
uanus,15
nauigo,15
auris,15
ambitus,14
amitto,14
imito,14
tum,14
erro,14
oportet,14
pignus,14
custodio,14
dormio,14
actus,14
frango,14
discedo,14
seruus,14
ignotus,14
blandus,14
coniunx,14
longe,14
complexus,14
propero,14
ignoro,14
honor,14
ardeo,14
uicis,14
mendacium,14
uisus,14
grauitas,14
diduco,14
adhibeo,14
uniuersus,14
detraho,14
suspirium,14
dea,14
patria,14
nosco,14
conuerto,14
hostis,14
arma,14
festino,14
cruciatus,14
honestus,14
praeceps,14
numquid,14
materia,14
nexus,14
inopia,14
captiuitas,14
solutus,14
serius,14
alioqui,14
ingratus,14
flagellum,14
maxime,14
ueneficium,14
puella,14
cruento,13
indico,13
solum,13
testamentum,13
excogito,13
auctor,13
limen,13
excito,13
accido,13
uia,13
impetus,13
colligo,13
familia,13
intro,13
praeter,13
iter,13
effundo,13
comparo,13
tueor,13
latro,13
patrocinium,13
momentum,13
gaudeo,13
assigno,13
sanus,13
fiducia,13
ueritas,13
discurro,13
matrimonium,13
continuo,13
liberi,13
diligo,13
plerumque,13
en,13
profero,13
tracto,13
procedo,13
rumpo,13
conspectus,13
profecto,13
recuso,13
ibi,13
cado,13
moror,13
laetitia,13
libenter,13
uanitas,13
putus,13
captiuus,13
profectus,13
immortalis,13
mitis,13
mutuus,13
cinis,13
nudus,13
breuiter,13
mando,13
manes,13
altus,13
tumulus,13
speciosus,13
uro,13
medicina,13
curatio,13
medicamentum,13
ostendo,12
sceleratus,12
femina,12
potis,12
inuisus,12
eripio,12
inuado,12
corrumpo,12
ferio,12
nota,12
cogito,12
blandior,12
luxuria,12
quiesco,12
subito,12
erubesco,12
occurro,12
assiduus,12
sumo,12
praeteritus,12
indignor,12
monstrum,12
erumpo,12
attono,12
conatus,12
nudo,12
credibilis,12
paulatim,12
citra,12
indignatio,12
abdicatio,12
decet,12
responsum,12
feralis,12
priuatus,12
consentio,12
sol,12
egero,12
luxuriosus,12
impotens,12
aequus,12
secundus,12
haustus,12
misericordia,12
inicio,12
culpa,12
forte,12
abduco,12
tractatio,12
egeo,12
inuideo,12
gladiator,12
carmen,12
laedo,12
pecus,12
contumelia,11
notus,11
namque,11
antequam,11
paratus,11
subtraho,11
protinus,11
trepidatio,11
maeror,11
difficultas,11
miserabilis,11
opinor,11
strepitus,11
testis,11
anhelitus,11
forsitan,11
mehercule,11
rarus,11
ubique,11
simulo,11
frequenter,11
obsto,11
coeo,11
repente,11
discrimen,11
abrumpo,11
fauor,11
assideo,11
exiguus,11
subitus,11
durus,11
agito,11
mortalitas,11
reuoco,11
terribilis,11
agedum,11
insepultus,11
merito,11
prorsus,11
passus,11
turba,11
fatigo,11
quandoque,11
praesentia,11
memini,11
memoria,11
spargo,11
uagus,11
terror,11
ortus,11
subeo,11
ciuis,11
tristitia,11
captus,11
uilis,11
proicio,11
paeniteo,11
naufragium,11
paucus,11
tantundem,11
uictus,11
lugeo,11
lucrum,11
clamo,11
admoneo,11
equuleus,11
simplicitas,11
noxius,11
iacto,10
renuntio,10
religio,10
accendo,10
trado,10
castigo,10
seuerus,10
timor,10
pendeo,10
trepidus,10
utrum,10
denique,10
iro,10
carnifex,10
infamo,10
applico,10
dispono,10
uaco,10
occupo,10
delicatus,10
grandis,10
luctus,10
doleo,10
donec,10
summa,10
excusatio,10
uilitas,10
quoniam,10
oppono,10
quantulus,10
excutio,10
secreto,10
affirmo,10
praefero,10
electio,10
repugno,10
impello,10
genu,10
adolesco,10
natus,10
constantia,10
integritas,10
caelum,10
acies,10
templum,10
sepultura,10
uarius,10
forma,10
exsulto,10
excedo,10
impero,10
peregrinatio,10
comitatus,10
horreo,10
conficio,10
commendo,10
colloquium,10
mendicus,10
proprius,10
seueritas,10
diuido,10
infamia,10
prohibeo,10
actio,10
effusus,10
lentus,10
macies,10
saeuitia,10
aqua,10
necessarius,10
exoro,10
appareo,10
excido,10
scindo,10
tantum,10
geminus,10
habitus,10
magus,10
forum,10
uelum,10
posterus,9
planus,9
caedes,9
indicium,9
palam,9
positus,9
extra,9
offensus,9
neuter,9
complector,9
destitutus,9
offendo,9
inmodicus,9
postea,9
quo,9
amplector,9
ceruix,9
exprimo,9
mensura,9
admoueo,9
solitudo,9
callidus,9
sollicito,9
paenitentia,9
intueor,9
festinatio,9
tardus,9
residuus,9
prodo,9
postulo,9
robur,9
nefarius,9
praecipito,9
satietas,9
diuitia,9
consulo,9
uterus,9
haurio,9
auxilium,9
effugio,9
praemium,9
pugna,9
contemno,9
deduco,9
misceo,9
cupio,9
discutio,9
rixor,9
aspectus,9
nempe,9
cotidianus,9
placidus,9
quousque,9
horreum,9
aestus,9
praesens,9
squalor,9
restituo,9
compositus,9
iustitia,9
descendo,9
uidelicet,9
caput,9
conualesco,9
scopulus,9
exequia,9
frons,9
desertum,9
lis,9
legatio,9
uerum,9
exaspero,9
occursus,9
uindicta,9
accusator,9
perspicio,9
plerus,9
proficio,9
datum,9
prorumpo,9
portus,9
mel,9
lupanar,9
induco,8
quare,8
aduoco,8
conor,8
penates,8
uacuus,8
specto,8
cognosco,8
impius,8
infinitus,8
concipio,8
superstes,8
habito,8
praeparo,8
circumeo,8
nouissime,8
libro,8
dextra,8
recens,8
lateo,8
persona,8
exspectatio,8
pius,8
paulus,8
expugno,8
horridus,8
praebeo,8
otium,8
exquiro,8
summum,8
impudens,8
similitudo,8
praesidium,8
aperio,8
undique,8
consolo,8
tacita,8
fragor,8
natalis,8
mundus,8
motus,8
expono,8
suspicor,8
reditus,8
continuus,8
paruulus,8
proclamatio,8
effringo,8
resoluo,8
repono,8
exsilio,8
impudentia,8
reatus,8
confugio,8
gloria,8
dirus,8
auidus,8
quantum,8
euentus,8
interpretatio,8
rudis,8
caligo,8
grassor,8
asper,8
mortuus,8
contemptus,8
diuus,8
praeualeo,8
pecco,8
rigidus,8
exhaurio,8
parce,8
sordes,8
nuntius,8
fletus,8
miseria,8
latrocinium,8
lego,8
quamdiu,8
consisto,8
exanimis,8
quatenus,8
concedo,8
mollis,8
simultas,8
ultro,8
superuacuus,8
colo,8
amans,8
extinguo,8
pronus,8
malignitas,8
temeritas,7
intellectus,7
praesertim,7
percutio,7
trepido,7
disco,7
frequens,7
medium,7
sopor,7
cruentus,7
tego,7
renouo,7
exploro,7
reseruo,7
exheredo,7
congero,7
simplex,7
ueneror,7
concupisco,7
uigor,7
circumdo,7
dissimulatio,7
admiratio,7
frigidus,7
contraho,7
lassitudo,7
cesso,7
praemitto,7
uelamentum,7
rego,7
penas,7
flagro,7
deceo,7
partus,7
denuntio,7
prosperus,7
prope,7
maternus,7
pareo,7
obsequium,7
commentum,7
erigo,7
libido,7
consortium,7
hora,7
turpis,7
fortuitus,7
prouidentia,7
metuo,7
gigno,7
fax,7
alloquor,7
praecipue,7
uito,7
superbus,7
persoluo,7
uincio,7
languesco,7
cerno,7
laus,7
artifex,7
testimonium,7
utinam,7
iuuentus,7
portio,7
foueo,7
marius,7
possideo,7
osculor,7
maledico,7
hilaris,7
suscipio,7
experior,7
mendico,7
uiuus,7
clades,7
euerto,7
contrarius,7
tutus,7
spectaculum,7
ferreus,7
amissum,7
questus,7
opinio,7
ualetudo,7
impendo,7
absum,7
barbarus,7
redemptor,7
abigo,7
consensus,7
custos,7
improuisus,7
damno,7
auoco,7
concutio,7
pugno,7
condo,7
fructus,7
includo,7
compesco,7
fastidium,7
infundo,7
ager,7
tero,7
conuicior,7
infamis,7
expauesco,6
diligentia,6
deflecto,6
torus,6
securitas,6
perduco,6
accusatio,6
umerus,6
protego,6
secum,6
delibero,6
metior,6
inconsultus,6
polliceor,6
secundum,6
tamdiu,6
destituo,6
foris,6
dirigo,6
expedio,6
admirabilis,6
diligenter,6
inops,6
obiter,6
glorior,6
trux,6
uerto,6
singularis,6
separo,6
afficio,6
contumax,6
extremus,6
exsecratio,6
suspectus,6
pateo,6
uisum,6
ordino,6
mergo,6
contumacia,6
blanditia,6
facilitas,6
gressus,6
infirmus,6
fulgor,6
attendo,6
seruitus,6
hucusque,6
tantummodo,6
resto,6
ora,6
mucro,6
turbo,6
prosilio,6
colluctatio,6
raptus,6
pes,6
prodigiosus,6
comperio,6
iuuenta,6
iactatio,6
obuius,6
cunctatio,6
iuuo,6
aeuum,6
pulcher,6
terrenus,6
impingo,6
penitus,6
moles,6
notabilis,6
falsus,6
conuictus,6
gero,6
reprehendo,6
proficiscor,6
praedo,6
recordatio,6
piraticus,6
praelatus,6
mecum,6
facultas,6
assero,6
horror,6
humus,6
concordia,6
indulgentia,6
uoluntas,6
census,6
rixa,6
gratus,6
probitas,6
aequo,6
societas,6
tabes,6
cubile,6
intus,6
sedeo,6
lasso,6
singultus,6
exuo,6
emitto,6
dimissus,6
uerecundia,6
litigo,6
incursus,6
humanitas,6
defleo,6
infans,6
