,count
sum,9288
qui,6899
et,6679
in,4837
non,4357
hic,3349
ut,3133
num,3127
is,2403
dico,2162
ille,2081
si,1929
sed,1846
quod,1725
possum,1640
cum,1618
ad,1454
nec,1448
quis,1354
ego,1330
omnis,1322
de,1277
etiam,1234
aut,1229
ab,1228
facio,1170
ipse,1167
quam,1156
ex,1114
res,1099
alius,1066
uideo,1037
nam,1024
enim,978
sui,936
multus,924
tamen,880
quidam,841
habeo,840
quisque,812
causa,801
idem,743
an,719
uel,712
suus,704
tu,672
pars,652
edo,651
ac,639
ne,634
uolo,619
iudex,611
pater,600
nos,596
uerbum,594
quidem,589
atque,569
genus,545
meus,540
primus,529
ratio,510
iam,507
filius,507
locus,506
nihil,500
quia,497
puto,489
per,487
bonus,481
magnus,480
modus,478
ita,476
autem,472
nisi,471
tantus,464
credo,463
homo,449
animus,429
pro,428
unus,425
totus,419
oratio,417
aliquis,414
occido,413
debeo,406
magis,386
ago,384
orator,379
do,365
parum,363
noster,362
sic,360
ars,355
liber,349
quaero,344
inter,341
quaestio,340
tempus,338
uis,337
uerus,333
nomen,333
alter,326
tam,325
miser,319
natura,319
opus,318
solus,309
scio,305
apud,303
affectus,302
similis,300
nullus,299
inuenio,295
manus,293
uero,290
fio,287
lex,286
quoque,286
uelut,285
uoco,278
tum,277
nunc,275
factum,274
corpus,272
mater,270
aliqui,269
modo,268
duo,264
malus,263
tuus,263
sine,261
iudicium,261
uterque,259
contra,259
quantus,256
iuuenis,255
interim,254
ideo,253
uox,251
loquor,248
uirtus,245
accipio,244
quisquis,241
mos,238
maxime,234
soleo,232
satis,232
ante,231
mors,231
semper,231
oculus,230
fero,230
duco,229
uenio,228
utor,228
plurimus,224
liceo,224
peto,224
sermo,224
iste,218
igitur,217
uitium,207
dum,206
qualis,205
scribo,204
ergo,201
ceterus,201
at,201
fides,200
gratia,200
sententia,200
sequor,200
ius,199
persona,198
nego,197
uir,197
nemo,194
audio,192
adhuc,190
inquam,190
longus,189
argumentum,189
ubi,187
proprius,185
breuis,184
intellego,183
necesse,182
tamquam,180
diuersus,180
praesto,179
uita,178
publicus,178
dolor,177
materia,176
bene,176
fingo,175
consto,174
perdo,171
dictum,171
usus,170
actio,170
probo,169
grauis,168
adicio,167
unde,166
saepe,166
sicut,166
pereo,165
reus,165
mens,163
doceo,163
circa,161
figura,161
trado,160
efficio,158
species,158
relinquo,157
labor,156
singulus,156
pono,156
potius,155
cicero,155
deinde,153
aliquando,153
cura,152
domus,152
ingenium,152
eloquentia,151
patior,150
deprehendo,150
exemplum,150
uos,149
refero,148
utique,147
ostendo,147
uiuo,146
prior,146
respondeo,145
interrogo,144
scriptum,144
studium,144
parens,142
communis,141
ordo,141
sentio,141
quasi,141
fere,141
facile,140
certe,140
littera,140
certus,139
aetas,139
crimen,139
status,139
probatio,137
propter,136
ualeo,136
post,135
amicus,134
paruus,134
dies,134
quoius,133
conuenio,133
siue,132
reddo,132
cur,132
quamquam,132
uenenum,132
accido,131
alienus,131
disco,130
tracto,128
moueo,128
finis,127
pertineo,127
populus,127
fortuna,126
scelus,125
ulter,125
plerus,124
facinus,124
defendo,124
senex,123
nox,123
nouus,123
propono,122
itaque,121
contrarius,121
ciuitas,119
consilium,119
laudo,119
plerumque,119
frequenter,117
timeo,116
necessarius,116
iudico,115
adeo,115
infelix,114
humanus,114
fortis,114
honestus,114
auctor,114
medius,114
inuidia,113
placeo,113
necessitas,113
sensus,113
contingo,113
muto,113
praecipue,113
dubius,112
frequens,112
superus,112
supra,112
memoria,112
queror,111
numerus,111
par,110
officium,110
quisquam,109
sufficio,108
casus,108
ullus,107
parricidium,107
torqueo,107
amo,106
contineo,106
fateor,105
compono,104
talis,104
positus,104
nimius,103
numquam,103
nonnumquam,103
initium,103
quare,103
exigo,103
laus,103
uxor,102
mulier,102
pauper,102
aduersarius,102
narratio,102
accedo,101
utilis,101
teneo,100
summa,100
o,99
membrum,99
condicio,98
manifestus,98
incipio,98
statim,98
narro,98
miror,97
pietas,96
prosum,96
difficilis,96
poena,95
prius,95
confiteor,95
opinio,95
oportet,95
caecus,95
praecipio,95
uinco,94
desidero,94
desum,94
recte,94
maritus,93
cogitatio,93
obicio,93
aliter,93
inde,93
latus,92
spiritus,92
auctoritas,92
paene,92
secerno,91
solum,91
falsus,91
puer,91
metus,90
affero,90
quotiens,89
uultus,89
rogo,89
controuersia,89
redimo,88
redeo,88
recipio,88
uetus,88
uoluntas,88
cado,88
nescio,87
malo,87
