,count
sum,848
qui,667
et,642
in,577
is,552
res,324
omnis,311
atque,306
nec,271
cum,261
alius,261
ab,232
ille,229
magnus,228
sui,223
sed,222
ex,220
quam,218
ut,217
ad,206
suus,197
aut,193
facio,170
habeo,157
multus,151
animus,148
ego,148
ubi,142
bellum,140
per,137
hic,133
locus,131
non,129
hostis,125
ipse,123
ac,122
de,115
bonus,111
quod,107
nam,105
si,101
rex,98
publicus,98
magis,95
ceterus,94
pro,93
pars,89
deinde,89
exercitus,87
ita,86
paucus,85
postquam,84
uos,81
imperium,80
dies,79
arma,79
senatus,78
ne,75
populus,74
paro,74
homo,73
uirtus,73
uideo,72
igitur,72
primus,71
legatus,71
tamen,70
miles,70
consul,70
quisque,69
possum,69
quis,67
dico,65
consilium,64
tempus,61
simul,60
mos,60
malus,60
tantus,60
capio,60
meus,60
ago,59
modus,59
idem,58
edo,58
parum,57
inter,56
factum,56
praeterea,56
modo,56
noster,55
plerus,55
post,55
cognosco,54
quia,52
regnum,51
iam,51
uir,51
gloria,50
periculum,50
copia,50
spes,50
at,50
manus,49
iubeo,49
uis,48
peto,48
nos,47
contra,47
gero,47
romanus,47
tum,46
domus,46
proelium,46
mitto,46
agito,45
saepe,45
uester,45
iter,44
uenio,44
ingenium,43
eo,43
fides,43
plebs,43
oppidum,42
socius,41
postremo,41
negotium,40
facinus,40
metus,40
do,40
pater,40
nihil,40
praesidium,40
satis,39
pax,39
accipio,39
gratia,39
nouus,39
sine,38
urbs,38
scelus,38
amicitia,38
uolo,38
nox,38
ops,37
fortuna,37
item,37
ante,37
marius,37
quoniam,36
etiam,36
apud,36
eques,36
sulla,36
natura,35
corpus,35
ciuis,35
talis,35
nobilitas,35
cunctus,35
nisi,35
diuitia,34
uerus,34
haud,34
signum,34
uita,33
alter,33
causa,33
imperator,33
quisquam,33
ciuitas,33
amicus,33
pecunia,33
castrum,33
sicuti,32
aetas,32
patior,32
iniuria,32
paulus,32
ob,32
mortalis,31
ibi,31
ager,31
genus,31
uictoria,31
antea,31
adsum,31
procedo,30
nomen,30
alienus,30
an,29
studium,29
unus,29
facile,29
credo,29
coepio,28
inuado,28
fama,28
decerno,28
liber,28
num,28
hortor,28
multitudo,28
quasi,28
fuga,28
numida,28
auxilium,27
corrumpo,27
tempto,27
itaque,27
initium,26
ars,26
labor,26
coniuratio,26
uerbum,26
uinco,26
denique,26
proficiscor,26
trado,26
maxime,26
aduersus,26
deus,25
uterque,25
puto,25
supra,25
honor,25
relinquo,25
usus,25
ratus,25
fio,24
inuidia,24
reliquus,24
libertas,24
tempestas,24
paruus,24
ius,24
duo,24
praeda,24
soleo,24
munio,24
quaero,23
placeo,23
postea,23
auaritia,23
dum,23
beneficium,23
pugno,23
nullus,23
littera,23
insidiae,23
superbia,22
intentus,22
foedus,22
opportunus,22
magistratus,22
tu,22
statuo,22
nunc,22
finis,22
cohors,22
interim,22
consulo,21
opus,21
muto,21
inceptum,21
mare,21
prouincia,21
aggredior,21
oratio,21
quamquam,21
ceterum,21
prius,20
appello,20
potentia,20
circumuenio,20
semper,19
uiuo,19
uel,19
tametsi,19
procul,19
incertus,19
lex,19
cura,19
dolus,19
quippe,19
timeo,19
consulatus,19
interficio,19
frustra,19
polliceor,19
carus,19
sententia,19
existimo,19
frater,19
cogo,19
clarus,18
militaris,18
lubido,18
ualeo,18
duco,18
quoius,18
memoro,18
militia,18
quantus,18
festino,18
parens,18
asper,18
honestus,18
accedo,18
filius,18
praemium,18
ordo,18
praetor,18
fortis,18
magnitudo,18
audio,18
decretum,18
numerus,18
pergo,18
roma,18
proximus,18
nitor,17
audacia,17
otium,17
nobilis,17
inopia,17
annus,17
ingens,17
malo,17
supplicium,17
mons,17
tam,17
impero,17
poena,17
occido,17
autem,17
ignauia,17
intellego,17
amplius,17
postulo,17
telum,17
neue,17
discedo,17
conscribo,17
sino,16
humanus,16
bene,16
sequor,16
patria,16
equus,16
ullus,16
longe,16
traho,16
certo,16
tutus,16
sic,16
gens,16
tribunus,16
libido,16
deditio,16
utor,15
comperio,15
fero,15
retineo,15
scribo,15
ferox,15
cupido,15
uictor,15
praeter,15
ignarus,15
repente,15
tantummodo,15
interea,15
nuntio,15
respondeo,15
tuus,15
casus,15
mora,15
grauis,15
aqua,15
pecus,14
breuis,14
terra,14
uerum,14
anima,14
uero,14
quidem,14
dictum,14
falsus,14
dux,14
armatus,14
euenio,14
certus,14
uetus,14
catilina,14
quidam,14
addo,14
legio,14
impono,14
loquor,14
peruenio,14
pariter,14
summa,13
efficio,13
egeo,13
exerceo,13
profecto,13
iuxta,13
praeclarus,13
aequus,13
caedes,13
cupio,13
paulatim,13
conuenio,13
percello,13
absum,13
porto,13
castra,13
cedo,13
neco,13
infestus,13
doceo,13
exploro,13
prohibeo,13
spero,13
improuisus,13
plerumque,13
potestas,13
familia,13
ira,13
propter,13
datum,13
conficio,13
moneo,13
