,count
sum,3888
non,2395
qui,2038
et,1920
in,1724
hic,1570
ille,1313
dico,1103
pater,1078
ego,1049
possum,981
si,907
ut,888
cum,841
tu,758
facio,681
quod,639
quam,628
quis,619
is,615
sed,599
ad,592
ab,565
inquam,545
filius,531
habeo,527
suus,484
sui,465
omnis,447
meus,419
uolo,414
an,412
ne,378
occido,368
ex,363
uideo,363
de,346
res,343
nihil,325
alter,316
nec,315
iste,304
pars,294
aut,294
ipse,288
multus,285
enim,279
puto,261
tuus,260
do,258
unus,258
nisi,237
alius,235
etiam,234
frater,233
manus,231
tantus,229
iam,229
aio,221
sic,220
debeo,220
pro,219
lex,218
publicus,216
tyrannus,216
magnus,215
ago,213
edo,206
tam,206
uir,205
quidem,205
inter,203
rogo,202
abdico,201
color,200
uxor,196
sententia,193
aliquis,186
cicero,185
causa,179
tamen,176
domus,176
quidam,175
latro,174
uenio,174
uiuo,168
filia,168
scio,166
accuso,166
quia,165
uos,163
homo,163
timeo,159
num,157
quaero,156
per,153
liceo,151
nullus,150
animus,148
morior,142
pereo,142
bonus,141
nemo,139
mors,137
deinde,136
liber,135
nego,134
locus,134
ita,130
nos,129
reus,126
tamquam,125
cestius,125
controuersia,124
idem,124
duo,123
mater,123
mos,122
quaestio,122
primus,120
credo,119
noster,118
miser,118
sine,117
diues,116
fortuna,115
peto,114
audio,112
nouerca,111
parricidium,110
adulter,110
fero,109
adulescens,109
fortis,108
seruus,108
autem,106
uis,105
adicio,105
nunc,103
deus,103
fuscus,103
magis,102
etiamsi,102
tempus,101
perdo,101
dum,101
dies,101
uterque,101
diuido,101
senex,99
iudex,99
quisque,98
ingenium,98
nolo,98
usus,97
totus,97
ante,97
soleo,96
ius,96
uinco,94
ergo,93
itaque,93
beneficium,93
bene,92
relinquo,92
puella,92
uerbum,90
genus,88
nuptiae,88
romanus,87
malus,87
declamo,87
quantus,87
pirata,87
antonius,87
iubeo,86
quisquis,86
accipio,85
iudicium,85
seruo,85
pompeius,85
apud,84
parum,84
uitium,84
inuenio,83
alo,83
obicio,83
numquam,82
post,82
factum,82
quasi,81
hostis,81
maritus,81
patior,80
dimitto,80
arellius,79
tollo,79
damnatus,77
duco,76
propter,76
uita,76
o,75
opto,75
meretrix,75
rapio,75
iniuria,74
nouus,74
pono,74
natura,74
placeo,73
populus,73
solus,73
ubi,73
recipio,73
exoro,73
quisquam,72
crimen,72
uenenum,72
nomen,71
aliqui,71
semper,71
torqueo,71
silus,71
sacerdos,71
raptor,71
coepio,70
redimo,70
oculus,69
at,69
tunc,69
corpus,69
cogo,69
defendo,69
fugio,68
satis,67
bellum,67
uoco,67
quare,67
puer,66
taceo,66
quomodo,66
albucius,66
exemplum,65
miror,65
reddo,65
fleo,65
laedo,65
nam,64
cado,64
raptus,64
nescio,63
poena,63
describo,63
alienus,62
cedo,62
ulter,61
fio,61
eo,60
sequor,60
mitto,60
respondeo,60
facile,59
opus,59
amo,58
uindico,58
loquor,58
contra,58
adulterium,58
sensus,57
uerus,57
quid,57
desino,57
grauis,57
transeo,57
pius,57
supplicium,57
imperator,57
refero,56
narro,56
parricida,56
praesto,55
necesse,55
mare,55
certe,55
uirtus,54
intellego,54
damno,54
noceo,53
praemium,53
circa,52
adhuc,52
dominus,52
uirgo,52
ignosco,52
queror,51
talis,51
scribo,51
nox,51
infelix,51
irascor,51
uester,50
sub,50
ac,50
actio,50
dignus,50
felix,50
memini,50
tyrannicidium,50
nescius,49
expono,49
uter,49
praetor,49
teneo,48
uox,48
periculum,48
innocens,48
accusator,48
redeo,47
quoque,47
eloquentia,47
modus,47
appareo,47
tot,47
ostendo,47
cogito,47
laudo,47
incido,46
iuuenis,46
inimicus,46
argentarius,46
similis,46
amicus,46
crudelis,46
numquid,46
pugno,46
alligo,46
qualis,45
gratia,45
absoluo,45
indico,44
peruenio,44
quoius,44
honestus,44
dementia,44
ob,44
ceterus,44
exspecto,44
pecco,44
arma,44
desidero,43
uel,43
prior,43
oratio,43
malo,43
extra,43
praecido,43
usque,42
aetas,42
saepe,42
turpis,42
tres,42
humanus,42
caput,42
argumentum,42
blandus,42
probo,42
tormentum,42
modo,41
desum,41
adopto,41
tutus,41
odi,41
aufero,41
imito,40
umquam,40
promitto,40
intersum,40
nauigo,40
dictum,39
fortasse,39
atque,39
pertineo,39
aduersus,39
gloria,39
mereo,39
mulier,39
forum,39
tyrannicida,39
quamuis,38
annus,38
memoria,38
efficio,38
contentus,38
consilium,38
misericordia,38
diuisio,38
graecus,38
secor,38
licet,38
terra,38
scelus,38
quemadmodum,38
reuertor,38
pauper,38
interrogo,37
certus,37
immo,37
eligo,37
ideo,37
quotiens,37
