,count
et,2953
qui,1055
hic,1046
in,1007
nec,773
tu,769
non,673
ille,643
iam,623
ego,506
ipse,450
sum,441
sed,423
quis,368
per,314
magnus,310
manus,305
arma,297
do,291
nunc,290
sic,289
omnis,284
si,280
cum,275
ab,275
ad,273
eo,271
pectus,266
atque,265
aut,262
uideo,235
tuus,234
primus,230
deus,230
fero,229
pater,213
tunc,203
tantus,201
bellus,201
sanguis,195
sub,185
suus,182
ut,181
longus,181
saeuus,177
uultus,175
terra,174
mater,168
umbra,166
ignis,165
animus,165
os,164
sto,161
domus,161
superus,160
meus,160
tamen,160
nox,159
multus,158
ubi,158
altus,157
uir,156
solus,156
dies,155
uenio,150
medius,149
ira,145
sui,145
rex,144
de,144
dux,144
unus,143
miser,140
noster,140
nouus,140
frater,134
alius,133
dico,133
dum,132
nullus,132
at,130
annus,130
ex,128
ingens,128
teneo,126
honor,126
fatum,126
campus,124
uulnus,122
caelum,122
equus,122
natus,122
ferrum,119
iubeo,117
parens,116
sacer,116
telum,115
labor,115
ora,114
ac,114
cura,114
o,112
ago,112
subeo,110
unda,106
cado,105
agmen,105
ante,104
funus,103
premo,103
gens,103
num,101
puer,101
iuuenis,100
ensis,100
comes,100
dulcis,99
enim,99
talis,99
mens,98
cunctus,98
quisque,98
astrum,97
limen,97
nihil,96
ne,96
tristis,96
iaceo,95
gaudeo,95
aurum,94
totus,94
uix,94
seu,94
lacrima,93
amor,93
dextra,92
urbs,91
oculus,90
uolo,90
hinc,90
quam,89
misceo,89
lux,89
corpus,88
mors,88
uox,88
habeo,88
amnis,88
lumen,88
redeo,87
super,86
coma,86
etiam,85
latus,85
mos,85
fides,84
duco,84
tergum,84
tempus,84
maestus,83
grauis,83
bonus,83
moueo,83
tellus,82
quantus,82
litus,82
turbo,81
durus,81
soror,81
uinco,81
mons,81
trepidus,80
haud,80
precor,80
geminus,80
sequor,79
ceu,79
frango,79
rapio,78
socius,78
fugio,78
crinis,78
modo,78
silua,78
hasta,77
regnum,77
patrius,77
adhuc,76
qualis,76
laetus,75
procul,75
quaero,75
uirtus,74
aequor,74
