,count
sum,267
et,257
ego,203
tu,199
qui,126
ille,120
nec,119
hic,119
non,115
in,96
meus,71
tuus,70
sed,68
deus,67
cum,66
quis,64
at,57
si,57
ut,56
ipse,52
do,52
puella,51
nunc,50
fero,49
possum,49
amor,49
uenio,47
iam,43
magnus,43
per,43
ante,42
noster,41
seu,38
dico,37
pes,37
ad,36
num,36
manus,33
ab,32
tener,31
terra,31
sui,30
multus,30
uerbum,30
uolo,30
iuuenis,29
doceo,29
coma,29
ne,28
aqua,27
suus,27
ex,26
cura,26
domus,25
nox,25
aut,25
tum,25
puer,25
cano,25
nam,24
tamen,24
primus,24
malus,24
nullus,24
nos,24
dies,24
alius,23
teneo,23
semper,23
quam,23
tristis,23
carmen,23
quicumque,22
tunc,22
solus,22
uia,22
durus,22
sacer,22
uideo,22
miser,22
atque,22
tempus,21
de,21
dum,21
caput,21
unda,21
longus,20
uir,20
uel,20
adsum,19
precor,19
quisque,19
sic,19
uos,18
modo,18
sinus,18
facio,18
liceo,18
procul,18
quisquis,18
eo,18
ars,18
etiam,18
heu,18
uotum,18
ager,17
annus,17
foris,17
saeuus,17
uiuo,17
urbs,17
caelum,17
uro,17
bene,17
factum,17
munus,16
edo,16
fleo,16
fatum,16
omnis,16
uestis,16
turba,16
mens,16
habeo,15
felix,15
paruus,15
compono,15
iuuo,15
mare,15
quisquam,15
leuis,15
uinco,15
corpus,15
credo,15
os,15
candidus,15
uenus,15
saepe,15
bonus,14
refero,14
neue,14
uentus,14
domina,14
totus,14
orbis,14
herba,14
celer,14
senex,14
carus,14
gero,14
capillus,14
sub,13
o,13
sto,13
mollis,13
tellus,13
prosum,13
opus,13
niueus,13
dulcis,13
ullus,12
uinculum,12
laedo,12
dux,12
merus,12
dolor,12
sono,12
faueo,12
duco,12
cantus,12
ago,12
equus,12
usque,12
niger,12
laus,12
pro,12
castus,12
qualis,12
inter,12
quod,12
siue,12
aurum,11
sol,11
labor,11
plenus,11
rus,11
cado,11
tardus,11
placidus,11
diues,11
formosus,11
signum,11
cupidus,11
ops,11
furtim,11
fallo,11
fortis,11
timeo,11
nego,11
arma,11
sine,11
sanctus,11
mitto,11
bellus,11
amans,11
uua,11
ubi,11
quamuis,11
alter,11
quin,11
uita,10
uetus,10
nouus,10
bos,10
pecus,10
peto,10
purus,10
uincio,10
tecum,10
lacrima,10
canus,10
iubeo,10
canis,10
nihil,10
capio,10
ludo,10
lentus,10
causa,10
placeo,10
post,10
hinc,10
tantus,10
colo,9
somnus,9
lapis,9
agricola,9
custos,9
auis,9
rusticus,9
pudet,9
mater,9
pater,9
seges,9
satis,9
sequor,9
uoco,9
maneo,9
parce,9
lumen,9
noceo,9
nomen,9
ossum,9
ferus,9
laetus,9
collum,9
fingo,9
taurus,9
mors,9
iuro,9
ualeo,9
aptus,9
loquor,9
taceo,9
uerus,9
fera,9
regnum,9
focus,8
serus,8
spes,8
messis,8
umbra,8
praeda,8
membrum,8
torus,8
deficio,8
aetas,8
unus,8
uox,8
limen,8
tempto,8
sonus,8
is,8
sentio,8
coniunx,8
castrum,8
lingua,8
soror,8
aer,8
dea,8
celebro,8
uagus,8
ratis,8
ualidus,8
iaceo,8
crinis,8
curuus,8
uterque,8
comes,8
claudo,8
latus,8
ueho,8
amnis,8
gloria,8
sancio,8
seruo,8
poculum,8
relinquo,8
frustra,8
fallax,8
opto,8
flamma,8
festus,8
qua,8
pars,8
ignis,7
facilis,7
lacus,7
templum,7
pauper,7
lac,7
diuus,7
mensa,7
antiquus,7
sedeo,7
misceo,7
ferrum,7
gena,7
miles,7
securus,7
fessus,7
bacchus,7
ianua,7
nota,7
rapidus,7
uerto,7
libet,7
ter,7
idem,7
pasco,7
uiolo,7
numen,7
poena,7
certus,7
audeo,7
pius,7
tus,7
aruum,7
mille,7
super,7
campus,7
tenuis,7
fugio,7
proles,7
porto,7
pectus,7
erro,7
aeternus,7
paro,7
mitis,7
rogo,7
currus,7
uanus,7
gaudium,7
bibo,7
liquor,7
ara,7
oculus,7
moneo,7
gaudeo,7
fides,7
densus,7
audax,7
lux,7
dignus,7
assiduus,6
uitis,6
frux,6
ueneror,6
pono,6
flauus,6
quondam,6
uinum,6
aestiuus,6
soleo,6
lectus,6
hibernus,6
fundo,6
pereo,6
potius,6
quaeso,6
iungo,6
timor,6
quaero,6
fulgeo,6
nata,6
magicus,6
sidus,6
soluo,6
absum,6
mutuus,6
ferreus,6
adeo,6
mereo,6
ignotus,6
lego,6
maestus,6
sors,6
quotiens,6
tectum,6
iugum,6
ouis,6
culta,6
huc,6
rota,6
pello,6
homo,6
purpureus,6
altus,6
senecta,6
intonsus,6
uendo,6
amo,6
torqueo,6
uerber,6
asper,6
lex,6
donum,6
ac,6
liquidus,6
an,6
disco,6
moueo,6
clam,6
telum,6
laurus,6
honor,6
lympha,6
parens,6
muto,6
iro,6
cupio,6
superbus,6
pretium,6
priscus,6
reddo,6
laeuus,6
adnuo,6
phoebus,6
pontus,6
charta,6
uersus,6
aduersum,6
uicinus,5
terreo,5
pomum,5
aceruus,5
quoque,5
uester,5
lustro,5
exiguus,5
circum,5
ortus,5
lupus,5
requiesco,5
gelidus,5
quantus,5
auris,5
laudo,5
ardeo,5
osculum,5
cor,5
siccus,5
sino,5
tenebrae,5
decet,5
frango,5
difficilis,5
pateo,5
memini,5
figo,5
dens,5
abdo,5
ueto,5
modus,5
femina,5
occulo,5
iter,5
stultus,5
lacertus,5
humus,5
fletus,5
sedes,5
artus,5
utinam,5
memor,5
cunctus,5
numquam,5
discedo,5
rex,5
praebeo,5
periurium,5
sedulus,5
anus,5
pareo,5
sagitta,5
color,5
premo,5
male,5
fabula,5
morbus,5
demens,5
daps,5
facies,5
queror,5
euenio,5
gemma,5
tango,5
uictor,5
iste,5
triumphus,5
nitidus,5
alo,5
aratrum,5
frons,5
desino,5
dispono,5
palleo,5
inficio,5
madeo,5
tego,5
noto,5
fauus,5
natus,5
celeber,5
seruitium,5
canto,5
indomitus,5
redeo,5
genus,5
impius,5
sollicitus,5
fama,5
hostis,4
iners,4
maturus,4
grandis,4
pendeo,4
falx,4
agna,4
pubes,4
dedo,4
grex,4
spargo,4
sperno,4
agrestis,4
auus,4
audio,4
cubo,4
contingo,4
furor,4
hora,4
positus,4
solutus,4
amarus,4
blanditia,4
postis,4
tuba,4
uerso,4
aperto,4
perago,4
raptus,4
frigus,4
parco,4
celo,4
fax,4
aspicio,4
sepulcrum,4
rogus,4
caterua,4
dictum,4
mons,4
incultus,4
pingo,4
rideo,4
caueo,4
detineo,4
seruio,4
acerbus,4
ater,4
effusus,4
omen,4
dirus,4
persoluo,4
caeruleus,4
rego,4
acies,4
ira,4
caedes,4
passim,4
acer,4
pudor,4
grauis,4
subito,4
fretus,4
summum,4
crudelis,4
areo,4
saeculum,4
urgeo,4
locus,4
dolus,4
turpis,4
namque,4
furtiuus,4
eripio,4
prex,4
tero,4
uernus,4
spica,4
arbor,4
talis,4
lena,4
uolito,4
uiolentus,4
fidus,4
blandus,4
tacita,4
quidem,4
sucus,4
pecco,4
fluo,4
propter,4
puto,4
uellus,4
animus,4
bracchium,4
litus,4
uastus,4
uiridis,4
iucundus,4
chorus,4
palla,4
tingo,4
perfidus,4
caelestis,4
tergum,4
uestigium,4
conuiuium,4
queo,4
res,4
gratus,4
placo,4
casa,4
opero,4
fertilis,4
rubeo,4
palam,4
malo,4
irritus,4
propior,4
mos,4
addo,4
iuppiter,4
uates,4
mars,4
somnium,4
langueo,4
geminus,4
ergo,4
aruus,4
falsus,4
natalis,4
certamen,4
silua,4
fuluus,3
pulso,3
pinguis,3
mustus,3
desero,3
hostia,3
io,3
contentus,3
praetereo,3
interdum,3
pigeo,3
pastor,3
leuo,3
immitis,3
specto,3
interea,3
rixa,3
uulnus,3
dis,3
fames,3
compesco,3
infelix,3
custodia,3
dominus,3
imber,3
imperium,3
querela,3
plurimus,3
timidus,3
resero,3
nutus,3
loquax,3
obscurus,3
surgo,3
uagor,3
anxius,3
occurro,3
tutus,3
digitus,3
strepitus,3
uerax,3
findo,3
infernus,3
depello,3
nix,3
cerno,3
conspicio,3
licet,3
supplex,3
medius,3
cinis,3
reditus,3
mora,3
inuitus,3
scio,3
repello,3
tabella,3
debeo,3
patrius,3
nondum,3
externus,3
finis,3
mel,3
fatalis,3
notus,3
consumo,3
odoratus,3
proelium,3
rapax,3
insignis,3
flumen,3
iugerum,3
stamen,3
pensum,3
remitto,3
niteo,3
iustus,3
habena,3
forte,3
collis,3
lucidus,3
uicis,3
cito,3
arcus,3
puppis,3
uallis,3
umerus,3
rete,3
dextra,3
nudus,3
affero,3
poeta,3
supero,3
error,3
magister,3
callidus,3
citus,3
torquis,3
horridus,3
foedus,3
utor,3
caleo,3
linter,3
uelox,3
detraho,3
nefandus,3
piscis,3
iniustus,3
agmen,3
efficio,3
deduco,3
amicus,3
potis,3
prospicio,3
recurro,3
nescius,3
tendo,3
foueo,3
tam,3
abeo,3
laxus,3
traho,3
uelut,3
pario,3
suppono,3
