,count
et,1016
qui,450
hic,383
in,376
iam,335
nec,324
tu,280
ille,259
ego,250
non,238
ipse,211
atque,166
do,162
per,159
ad,158
cum,157
uir,144
omnis,142
nunc,139
sum,138
ab,136
uideo,133
primus,132
ut,127
manus,121
magnus,113
fero,109
sui,108
sic,106
suus,106
medius,104
saeuus,104
tum,102
tuus,101
aut,101
sed,101
talis,100
pater,99
aequor,98
arma,97
noster,94
deus,93
quis,92
ac,89
rex,88
nox,86
hinc,85
litus,84
ratis,81
si,81
tantus,80
fatum,80
unda,78
labor,78
aio,77
ago,76
eo,76
uirgo,75
terra,74
altus,72
peto,71
socius,71
tunc,71
at,71
pectus,69
ubi,69
meus,68
ora,67
dux,67
ingens,67
os,67
sto,66
uox,66
urbs,64
ira,64
alius,64
patrius,62
miser,62
superus,62
uolo,60
solus,60
longus,59
simul,59
contra,59
unus,59
moueo,58
domus,57
cura,57
puppis,57
iuppiter,57
quisque,57
metus,56
umbra,55
uenio,55
sub,55
tempus,54
bellus,54
parens,54
procul,54
totus,54
ullus,53
pontus,53
teneo,53
dico,53
super,52
nullus,52
quam,51
cunctus,51
mons,51
sacer,51
sequor,50
haud,50
uia,50
ignis,50
dextra,50
uellus,49
ante,48
inde,48
dies,48
natus,47
gens,47
mare,47
iubeo,47
mens,47
ruo,47
nouus,47
uoco,46
possum,45
de,45
traho,45
precor,45
etiam,45
agmen,45
locus,45
fretus,44
tandem,44
animus,44
amor,44
inter,43
lumen,43
adsum,43
redeo,43
o,42
grauis,42
dictum,42
pariter,42
hasta,42
tamen,42
proles,41
ex,41
dum,41
aurum,40
laetus,40
cerno,40
equus,40
mater,39
uos,39
rapio,39
pugna,39
pars,38
uultus,38
sanguis,38
mox,38
heu,38
coniunx,38
tergum,38
quantus,38
ecce,38
turbo,38
maestus,38
iterum,38
frater,37
caput,37
reddo,37
credo,37
honor,37
fugio,37
regnum,37
iugum,36
monstrum,36
carus,36
tollo,36
extremus,36
nomen,36
durus,36
spargo,35
tendo,35
comes,35
iungo,35
premo,35
spes,35
torus,35
fluctus,35
uentus,35
qualis,35
iuuenis,34
cornu,34
caelum,34
taurus,34
uis,33
magis,33
campus,33
subitus,33
silua,33
subeo,33
ensis,33
cado,33
maneo,33
urgeo,33
lux,33
amnis,32
quicumque,32
refero,32
ardeo,32
prior,32
quin,32
ne,32
inferus,31
is,31
soror,31
tot,31
quaero,30
protinus,30
surgo,30
cedo,30
mora,30
rumpo,29
fama,29
aether,29
remus,29
linquo,29
flamma,29
haereo,29
for,29
furo,28
certus,28
fessus,28
dea,28
oculus,28
clamor,28
adhuc,28
saxum,28
ceu,28
genitor,27
signum,27
mitto,27
pudor,27
artus,27
accipio,27
par,27
quoque,27
thalamus,27
nos,27
relinquo,27
nubes,27
uel,27
tellus,27
scopulus,27
fuga,27
impleo,26
ergo,26
raptus,26
casus,26
trepidus,26
telum,26
gemitus,26
tremo,26
num,25
polus,25
seruo,25
nam,25
an,25
nemus,25
latus,25
antrum,25
crinis,25
patior,25
dolor,25
fleo,25
interea,25
orbis,25
iste,25
iter,25
rursus,25
hospes,25
ara,24
audio,24
leuis,24
tectum,24
aqua,24
uisus,24
lacrima,24
fundo,24
sol,24
huc,24
dirus,24
idem,24
iuuo,23
diuus,23
serus,23
questus,23
numen,23
res,23
sidus,23
aura,23
enim,23
dulcis,23
geminus,23
respicio,23
donum,23
carina,22
paueo,22
praeceps,22
figo,22
summum,22
uulnus,22
mors,22
semper,22
modo,22
tyrannus,21
propior,21
uarius,21
silentium,21
sono,21
uisum,21
longe,21
somnus,21
tristis,21
fides,21
hostis,21
uelum,21
infelix,21
imago,21
aeger,21
sors,21
uelut,21
ars,21
cursus,20
pelagus,20
seu,20
memor,20
decus,20
sileo,20
miseror,20
tenebrae,20
paro,20
moles,20
multus,20
uestis,20
circum,20
sentio,20
uanus,20
graius,20
ops,20
habena,20
genus,20
fragor,20
ignotus,20
corpus,20
proelium,20
acies,20
annus,19
pecus,19
frango,19
poena,19
currus,19
pius,19
ulter,19
torqueo,19
malus,19
bonus,19
gero,19
ductor,19
fallo,19
mereo,19
galea,19
adeo,19
uictor,19
limen,19
notus,19
astrum,19
nata,19
nefas,19
impello,19
sinus,19
fax,18
daps,18
uenenum,18
inquam,18
ferrum,18
luctus,18
placidus,18
uotum,18
soluo,18
famulus,18
acer,18
munus,18
sine,18
rupes,18
uinculum,18
arduus,18
ager,18
autem,18
furor,18
furia,18
infestus,18
en,18
dignus,17
populus,17
uetus,17
namque,17
uirtus,17
discrimen,17
occupo,17
attono,17
tam,17
dolus,17
opus,17
ater,17
imber,17
moenia,17
puer,17
gaudeo,17
fas,17
addo,17
laeuus,17
amplexus,17
passus,17
segnis,17
modus,17
cur,17
coma,17
uix,17
duco,17
pauidus,17
carmen,17
donec,17
aufero,17
arx,17
trux,17
misceo,17
fremo,17
funus,17
ast,17
audeo,17
foedus,17
uerus,17
supplex,17
ualerius,16
habeo,16
factum,16
anguis,16
nihil,16
imperium,16
taceo,16
caeruleus,16
formido,16
tenuis,16
post,16
uitta,16
iuno,16
minyas,16
plenus,16
quando,16
uero,16
miror,16
ordo,16
cor,16
diua,16
obuius,16
celsus,16
pharetra,16
satis,16
uolucer,16
pauor,16
pro,16
abeo,16
flumen,16
letum,15
uastus,15
timeo,15
mensa,15
quondam,15
cantus,15
immanis,15
uester,15
iuuenta,15
umerus,15
harena,15
asper,15
densus,15
paruus,15
ictus,15
deficio,15
finis,15
moror,15
similis,15
agnosco,15
flecto,15
inanis,15
ala,15
qua,15
cunctor,15
mos,15
sedes,15
numquam,15
potius,15
uates,14
frons,14
magister,14
quies,14
pergo,14
olim,14
ambo,14
templum,14
robur,14
superbus,14
turba,14
laus,14
arcus,14
nondum,14
niger,14
uacuus,14
quamquam,14
stupeo,14
anima,14
hiems,14
horror,14
aer,14
duro,14
quod,14
dubius,14
uertex,14
argus,14
infero,14
nequiquam,14
offero,14
fortis,14
prex,14
mille,14
pes,14
aequus,14
tacita,14
stringo,14
accedo,14
nota,14
iaceo,14
subito,14
incipio,14
error,14
opto,14
moneo,13
prius,13
placeo,13
draco,13
tutus,13
diuersus,13
posco,13
datum,13
effero,13
doceo,13
sedeo,13
promissum,13
fulmen,13
desero,13
unde,13
iamdudum,13
uinco,13
homo,13
bacchus,13
ceterus,13
timor,13
maereo,13
senex,13
alcides,13
arbor,13
uoluo,13
barbarus,13
aureus,13
breuis,13
profundus,13
murus,13
fletus,13
meritum,13
scelus,13
uterque,13
ueho,12
nubila,12
uerro,12
felix,12
pulcher,12
acta,12
gemo,12
aspicio,12
necdum,12
periculum,12
capesso,12
regina,12
turbidus,12
nimbus,12
collum,12
celer,12
umquam,12
pulso,12
coeptum,12
blandus,12
quisnam,12
mars,12
mecum,12
memini,12
erigo,12
rapidus,12
fulgeo,12
scythicus,12
metuo,12
auris,12
caestus,12
aduersus,12
clarus,12
aruus,12
aeuum,12
horreo,12
aliter,12
tueo,12
horridus,12
descendo,12
fera,12
secor,12
lucus,12
leo,12
cruor,12
pello,12
implico,12
uagus,12
paulus,12
pestis,12
ultra,12
gaudium,12
cupio,12
conscius,11
caneo,11
pando,11
insto,11
sopor,11
concurro,11
edo,11
cogo,11
ignarus,11
quercus,11
spero,11
uiridis,11
senecta,11
palma,11
tempto,11
soleo,11
utinam,11
undique,11
defero,11
bracchium,11
stabulum,11
uerto,11
pinguis,11
lex,11
paternus,11
mollis,11
ceruix,11
osculum,11
curuus,11
aestus,11
prosilio,11
transtrum,11
lego,11
prospicio,11
uerbum,11
oro,11
ouo,11
profugus,11
gener,11
effusus,11
iuxta,11
murmur,11
puto,11
fatigo,11
emico,11
capio,11
axis,11
coeo,11
ostium,11
gena,11
augeo,11
saepe,11
mico,11
sperno,11
ultro,11
transeo,11
acerbus,11
iniquus,11
gelidus,11
potens,11
sanguineus,11
immemor,11
pulsus,11
aduersum,11
nympha,11
defigo,11
postquam,10
ordior,10
adnuo,10
bellum,10
lingua,10
uibro,10
externus,10
consurgo,10
ripa,10
specto,10
aruum,10
lustrum,10
aduolo,10
trabs,10
corripio,10
frondeo,10
poculum,10
insignis,10
condo,10
aduenio,10
ualidus,10
fremitus,10
reor,10
cognosco,10
horrendus,10
quot,10
caedes,10
ferio,10
comminus,10
promitto,10
planctus,10
tuba,10
foueo,10
contingo,10
cuspis,10
dimitto,10
anxius,10
frenum,10
struo,10
gurges,10
sidereus,10
repeto,10
porta,10
tango,10
nex,10
secus,10
frustra,10
humus,10
cieo,10
sino,10
occurro,10
flatus,10
cubile,10
sterno,10
lateo,10
sceptrum,10
miro,10
caecus,10
uirgineus,10
uerum,10
clipeus,10
fluuius,10
caesum,10
lustro,10
deinde,10
ita,10
erro,10
ibi,10
cano,9
eripio,9
claudo,9
uinum,9
pendeo,9
odium,9
queo,9
quoius,9
facilis,9
insequor,9
inuitus,9
auxilium,9
reuoco,9
aequoreus,9
saeuio,9
citus,9
sat,9
pronus,9
desum,9
rector,9
scio,9
perago,9
uigil,9
tecum,9
obruo,9
mino,9
cumque,9
coruscus,9
improbus,9
pallas,9
regius,9
piceus,9
conuerto,9
cyaneus,9
causa,9
sacerdos,9
fons,9
crudelis,9
quippe,9
nurus,9
dis,9
fidus,9
excipio,9
sonitus,9
mortalis,9
recedo,9
induo,9
uadum,9
pax,9
amplius,9
portus,9
heros,9
parum,9
leuo,9
gradus,9
tumulus,9
supero,9
fors,9
satus,9
domina,9
remitto,9
remeo,9
consilium,9
nempe,9
quisquam,9
fraus,9
perses,9
concieo,8
phoebus,8
aperto,8
mina,8
foris,8
monitus,8
hiatus,8
effugio,8
ferus,8
pateo,8
incertus,8
tumidus,8
reposco,8
grex,8
cingo,8
exeo,8
gesto,8
iamiam,8
debeo,8
palla,8
nudus,8
gressus,8
fatus,8
expedio,8
omen,8
inuenio,8
dexter,8
impero,8
nepos,8
loquor,8
fusus,8
reduco,8
fortuna,8
concutio,8
sustineo,8
immitto,8
securus,8
nosco,8
trado,8
alumnus,8
igneus,8
bis,8
ostendo,8
insurgo,8
dono,8
auus,8
tener,8
nescius,8
coniugium,8
motus,8
undo,8
claustrum,8
impono,8
boreas,8
alter,8
nequeo,8
nuntius,8
supersum,8
magnanimus,8
repono,8
patria,8
rota,8
utrimque,8
effundo,8
propinquo,8
membrum,8
aeternus,8
chorus,8
pabulum,8
minae,8
prehendo,8
rego,8
repente,8
frigidus,8
requiro,8
demens,8
recens,8
sisto,8
roseus,8
pubes,8
lues,8
liceo,8
uenus,8
terror,8
amicus,8
certo,8
praeda,8
immotus,8
eous,8
appareo,8
genu,8
pereo,8
exspecto,8
praesens,8
puluis,7
cultus,7
uerso,7
terrificus,7
defendo,7
fingo,7
pondus,7
ardor,7
hortor,7
molior,7
forsan,7
carpo,7
decurro,7
anhelus,7
statuo,7
glaucus,7
ter,7
sponte,7
neptunus,7
pollux,7
equidem,7
ludus,7
minister,7
curro,7
coepio,7
mulceo,7
compono,7
quotiens,7
attollo,7
recipio,7
percutio,7
diues,7
porto,7
tegmen,7
resto,7
peruigil,7
queror,7
quasso,7
procus,7
procer,7
experior,7
ingemo,7
iuuentus,7
manes,7
hospitium,7
crimen,7
inops,7
falsus,7
grandaeuus,7
spolium,7
horresco,7
rapto,7
arcanus,7
flaccus,7
seco,7
actus,7
reuertor,7
creber,7
hora,7
forma,7
taeda,7
pruina,7
inuado,7
loco,7
inscius,7
diligo,7
desertum,7
adsuetus,7
debitum,7
abrumpo,7
iuba,7
impius,7
intentus,7
ratus,7
globus,7
securis,7
continuo,7
procumbo,7
iubar,7
ossum,7
ramus,7
barbaricus,7
sudor,7
gratus,7
increpo,7
nego,7
potestas,7
arctos,7
muto,7
fateor,7
resideo,7
mauors,7
amans,7
consido,6
castus,6
serenus,6
progenies,6
exitium,6
tueor,6
hospitus,6
diuum,6
digno,6
flauus,6
nutus,6
auratus,6
demitto,6
reueho,6
saeculum,6
tela,6
quidem,6
amens,6
nouo,6
pinus,6
laeto,6
lacertus,6
eadem,6
canis,6
aperio,6
intro,6
zephyrus,6
bos,6
libo,6
reperio,6
profero,6
roto,6
iugalis,6
mundus,6
herculeus,6
lituus,6
discedo,6
nouerca,6
impatiens,6
uiuo,6
saturnius,6
facio,6
arceo,6
turpis,6
incito,6
eques,6
intendo,6
decipio,6
saltem,6
castor,6
iustus,6
perdo,6
uaco,6
saltus,6
regio,6
pridem,6
eurus,6
propinquus,6
aeolius,6
intono,6
chalybs,6
solium,6
fiducia,6
mergo,6
excutio,6
luo,6
qualiter,6
nix,6
extemplo,6
tartareus,6
praecipito,6
palleo,6
nefandus,6
conspicio,6
sufficio,6
cupido,6
ornus,6
memoro,6
facies,6
incumbo,6
tumeo,6
alternus,6
epula,6
tardus,6
pingo,6
solor,6
plaustrum,6
infandus,6
strages,6
perpetior,6
festus,6
fumo,6
truncus,6
incendium,6
sonus,6
opacus,6
moene,6
ius,6
refert,6
ortus,6
accenseo,6
promo,6
chlamys,6
castrum,6
succurro,6
auius,6
illido,6
uallis,6
proicio,6
cinis,6
pagus,6
crista,6
adueho,6
pone,6
incido,6
phalanx,6
spumo,6
singultus,6
perimo,6
propius,6
exuuia,6
uita,6
ruina,6
uado,6
semen,6
culpa,6
monstro,6
intorqueo,6
excelsus,6
procedo,6
orans,6
summa,6
fruor,6
doleo,6
uixdum,6
illinc,6
gradiuus,6
custos,6
certe,6
aequalis,6
pellis,6
caterua,6
irritus,6
achiuus,6
odi,6
magicus,6
euado,6
instituo,5
rigeo,5
domo,5
firmo,5
omnipotens,5
tonitrus,5
egomet,5
lapsus,5
insons,5
fido,5
deiectus,5
fraternus,5
usus,5
uiso,5
laurus,5
harundo,5
uelo,5
io,5
madeo,5
argi,5
adloquium,5
tirynthius,5
metallum,5
haurio,5
uenator,5
nauta,5
contego,5
dirimo,5
positus,5
tonsa,5
prora,5
martius,5
diuido,5
sin,5
compesco,5
pono,5
strido,5
candidus,5
cassis,5
inclutus,5
sagitta,5
genetrix,5
committo,5
clausum,5
lasso,5
sonipes,5
capto,5
uro,5
dominus,5
astus,5
uoluntas,5
uber,5
condio,5
labo,5
phrygius,5
lacus,5
liber,5
apollo,5
minor,5
trepido,5
occumbo,5
patera,5
penitus,5
pasco,5
orior,5
cauus,5
inimicus,5
uestigium,5
classis,5
penas,5
quo,5
rudis,5
sacro,5
efferus,5
fallax,5
chaos,5
planta,5
lampas,5
sinister,5
aequo,5
totiens,5
cruentus,5
inicio,5
commoueo,5
quiesco,5
cassus,5
ueto,5
diffundo,5
praemium,5
suscito,5
armatus,5
rabidus,5
infectus,5
aliquis,5
hydrus,5
congemino,5
exhorresco,5
prohibeo,5
ligo,5
noto,5
maternus,5
aetas,5
ostrum,5
monitum,5
ango,5
aduerto,5
texo,5
uncus,5
anfractus,5
succedo,5
ile,5
exigo,5
rogus,5
candeo,5
salus,5
fulmineus,5
pascuus,5
toruus,5
alo,5
mitis,5
gemma,5
nocturnus,5
anceps,5
morior,5
medium,5
uiuus,5
contentus,5
supra,5
disicio,5
cingulum,5
turma,5
admoneo,5
prosum,5
solutus,5
prodo,5
aeque,5
prehenso,5
occido,5
scilicet,5
decerno,5
necto,5
excido,5
nuto,5
certamen,5
territus,5
auerto,5
pacta,5
gigno,5
dens,5
usquam,5
adimo,5
rogo,5
praedico,5
prodeo,5
abduco,5
cognatus,5
albanus,5
comito,5
forte,5
parumper,5
rutilus,5
pareo,5
obicio,5
fatidicus,4
indignor,4
ueneror,4
turris,4
delubrum,4
uomer,4
exstinguo,4
iuuencus,4
assiduus,4
hebeo,4
conticesco,4
adytum,4
niueus,4
flos,4
studium,4
coetus,4
consto,4
insanus,4
secum,4
inuisus,4
armiger,4
pastor,4
aegaeus,4
suspirium,4
auidus,4
poples,4
thetis,4
salum,4
olympus,4
alnus,4
extum,4
uiscus,4
sulcus,4
pietas,4
educo,4
ceres,4
clamo,4
deduco,4
septem,4
luna,4
erepo,4
sermo,4
ingredior,4
stratum,4
almus,4
langueo,4
indignus,4
ingratus,4
cratera,4
quamuis,4
ales,4
iaculus,4
redux,4
quantum,4
albus,4
caelo,4
neptunius,4
destino,4
frigus,4
pugno,4
scutum,4
abscido,4
tigris,4
otium,4
cresco,4
reficio,4
secundus,4
plaga,4
gelu,4
stirps,4
pandus,4
decretum,4
accelero,4
sententia,4
dehinc,4
hibernus,4
purpureus,4
permitto,4
infernus,4
demissus,4
habito,4
aduena,4
cohors,4
placo,4
thrax,4
induco,4
merito,4
resoluo,4
exsto,4
rependo,4
uicissim,4
amplector,4
messis,4
adorior,4
corusco,4
canus,4
lacero,4
minax,4
praedo,4
stygius,4
secerno,4
uolito,4
differo,4
circumspicio,4
gestamen,4
obitus,4
anhelo,4
exterreo,4
retro,4
insulto,4
diripio,4
sepulchrum,4
piaculum,4
sumo,4
assisto,4
tabum,4
aula,4
rarus,4
absum,4
usque,4
meta,4
fugo,4
grauidus,4
certatim,4
defleo,4
aetherius,4
aegis,4
catena,4
armentum,4
incendo,4
quoniam,4
egeo,4
paelex,4
expello,4
postis,4
reuiso,4
culmen,4
armo,4
spiro,4
ilicet,4
prosequor,4
ulcisco,4
uerber,4
ingero,4
obsideo,4
labes,4
insula,4
auctor,4
remotus,4
accendo,4
profor,4
decedo,4
trunco,4
noceo,4
iacto,4
maritus,4
fames,4
praecipue,4
indulgeo,4
reses,4
inuideo,4
exorior,4
refugio,4
asto,4
flamen,4
infidus,4
colonus,4
ardesco,4
gramen,4
laboro,4
uolumen,4
insilio,4
tonans,4
gloria,4
responsum,4
dorsum,4
confinis,4
procurro,4
affero,4
furtum,4
lectus,4
pudeo,4
sibilo,4
exsilio,4
uenatus,4
uocifero,4
impune,4
late,4
immensus,4
seminex,4
transcurro,4
adigo,4
abies,4
obeo,4
actium,4
balteus,4
afflo,4
rabies,4
infringo,4
celero,4
sero,4
conclamo,4
fatalis,4
compleo,4
exsanguis,4
aceruus,4
agger,4
circa,4
testor,4
reditus,4
absumo,4
murex,4
festinus,4
iacio,4
pario,4
ideo,4
nitidus,4
hortatus,4
mentior,4
imploro,4
potis,4
quisquis,4
uulgus,4
abscedo,4
fetus,4
malum,4
numerus,4
persto,4
coniungo,4
nusquam,4
etenim,4
spira,4
insuper,4
uictus,4
grates,4
propter,4
communis,4
eruo,4
roro,4
populeus,4
audax,4
alienus,4
aggredior,4
mando,4
legio,4
deicio,4
nexus,4
rus,4
peruius,3
flammifer,3
uireo,3
sanctus,3
faueo,3
luceo,3
itero,3
macto,3
nuntia,3
alligo,3
tumet,3
multifidus,3
aerius,3
arista,3
infensus,3
aratrum,3
flammo,3
claua,3
tridens,3
detorqueo,3
bipennis,3
lentus,3
sequax,3
abripio,3
conor,3
unguis,3
raptor,3
degener,3
optime,3
nimius,3
impedio,3
letifer,3
complector,3
uenia,3
concilium,3
urna,3
aliger,3
terribilis,3
quieto,3
penna,3
diu,3
sollicito,3
corymbus,3
aurora,3
merus,3
suggero,3
tutela,3
auello,3
ululatus,3
obsto,3
raucus,3
ualeo,3
collabor,3
tertius,3
nitor,3
confero,3
patens,3
malo,3
socer,3
puniceus,3
lyaeus,3
cesso,3
deprehendo,3
reliquiae,3
moratus,3
areo,3
palladium,3
obliquus,3
propello,3
parca,3
inuidus,3
insido,3
auersus,3
potior,3
ultor,3
