,count
qui,1633
sum,1560
et,1560
is,1376
in,1344
suus,776
cum,728
ab,659
ut,621
sui,618
non,607
ad,573
hic,498
ille,483
quam,448
sed,373
magnus,365
enim,335
ac,320
num,308
ipse,306
etiam,303
ex,303
quod,286
nec,282
res,261
ne,261
idem,260
animus,250
possum,241
omnis,238
romanus,222
si,211
quidem,211
quis,197
tam,197
urbs,192
habeo,183
populus,182
atque,182
aut,181
quia,179
pater,177
de,176
uir,174
senatus,170
publicus,170
facio,164
filius,161
dico,154
uideo,154
consul,154
noster,153
tantus,153
pars,151
nam,146
autem,145
rex,144
imperium,143
uolo,142
do,142
unus,139
multus,136
inter,136
quoius,135
uita,135
edo,134
ita,130
manus,125
hostis,125
tempus,122
ago,121
uirtus,119
alter,118
factum,115
pro,112
corpus,112
iam,112
quoque,111
homo,110
peto,108
ciuitas,108
tamen,108
bonus,107
per,107
uis,107
exemplum,106
iubeo,104
deus,102
honor,102
nomen,101
mors,101
totus,101
inquam,101
fero,100
refero,99
locus,99
genus,99
ineo,99
patria,98
consilium,98
quisque,97
ego,96
ciuis,96
causa,96
caput,96
itaque,94
tu,93
scipio,93
mos,90
bellum,90
gero,89
debeo,88
apud,87
clarus,87
nullus,87
opus,87
domus,87
uictoria,86
fortuna,86
fides,85
exercitus,85
alius,84
lex,84
quidam,83
parum,81
capio,81
aduersus,81
modus,81
duo,79
reddo,79
dux,79
deinde,78
uenio,78
gloria,77
ulter,77
uero,76
miles,76
spiritus,76
laus,75
primus,75
cogo,74
arma,74
usus,74
credo,73
ante,73
gens,72
an,72
uox,72
oculus,70
summa,70
sine,70
circa,67
adicio,67
nihil,67
trado,66
certus,66
tuus,66
sanguis,66
tribunus,66
mitto,65
imperator,64
propter,64
grauis,64
uterque,64
respondeo,64
numerus,63
salus,63
gratia,63
existimo,63
iudicium,63
annus,63
quoniam,62
amicus,62
igitur,61
prius,61
occido,60
ius,60
superus,59
dies,59
beneficium,57
namque,57
patior,57
dum,57
ceterus,56
studium,56
pompeius,56
consulatus,55
praesto,55
humanus,55
pecunia,55
magis,55
memoria,54
relinquo,54
fortis,54
cn,54
tum,53
ratio,53
nisi,53
legatus,53
seruus,53
par,52
liber,52
ullus,52
quantus,52
iste,52
aliquis,51
accipio,51
ubi,51
iuuenis,51
alienus,51
acies,51
ergo,51
crimen,51
nunc,51
meus,50
pectus,50
propono,50
protinus,50
tunc,50
reus,50
uerus,49
hannibal,49
equus,49
paruus,49
animaduerto,48
fabius,48
poena,48
quasi,48
littera,47
amplus,47
triumphus,47
summum,46
duco,46
uictor,46
supplicium,46
sustineo,45
castrum,45
aetas,45
dictum,44
post,44
speciosus,44
uerbum,44
terra,43
bene,43
princeps,43
at,43
officium,43
punicus,43
filia,43
caesar,43
uniuersus,43
quaero,43
finis,43
ualerius,42
solum,42
religio,42
marius,42
potestas,42
gladius,42
ingenium,42
ordo,42
libertas,42
cognosco,41
felix,41
opprimo,41
proelium,41
frater,41
mens,40
sub,40
obtineo,40
interrogo,40
fatum,40
postquam,40
africanus,40
sententia,40
modo,40
domesticus,39
inde,39
mater,39
recipio,39
uultus,39
solus,39
amicitia,39
dignus,38
sic,38
condicio,38
eques,38
exigo,38
aeque,38
sequor,38
metus,38
auctoritas,37
soleo,37
paene,37
iniuria,37
excipio,37
curia,37
pugna,37
uxor,37
militaris,37
os,37
interimo,37
impetus,37
pietas,37
mereo,37
amor,37
uel,36
caelestis,36
iustus,36
audio,36
talis,36
consto,36
casus,36
uinco,36
utor,36
tamquam,36
adulescens,36
praebeo,35
conspectus,35
iaceo,35
spes,35
loquor,35
regnum,35
alexander,35
femina,35
natura,35
iudex,35
auctor,34
sacer,34
status,34
parens,34
ira,34
ops,34
hispania,34
plurimus,34
athenae,34
proximus,34
periculum,34
dextra,34
retineo,34
pariter,34
dignitas,34
cultus,33
cedo,33
usque,33
nolo,33
clades,33
dolor,33
acer,33
auxilium,33
adeo,33
gratus,33
diu,33
excellens,32
templum,32
tutus,32
prouincia,32
praetor,32
cornelius,32
aliqui,32
abicio,32
paulus,32
exitus,32
audeo,32
aliquanto,32
subicio,32
aurum,32
imago,32
posterus,32
habitus,32
atheniensis,32
iudico,32
labor,31
numen,31
consimilis,31
immortalis,31
extinguo,31
maiestas,31
classis,31
gradus,31
admodum,31
exsisto,31
puer,31
continuo,31
potius,31
malo,31
iussus,30
natus,30
regius,30
praecipuus,30
admiratio,30
inimicus,30
interficio,30
uiuo,30
seueritas,30
cupiditas,30
meritum,30
cunctus,29
traho,29
eximius,29
opera,29
perinde,29
ciuilis,29
graecia,29
nimius,29
spectaculum,29
conuerto,29
praesidium,29
prosterno,29
error,29
iungo,29
ferrum,29
miser,29
ualeo,29
diuinus,28
perago,28
semper,28
nego,28
tot,28
postea,28
sermo,28
nos,28
defero,28
munus,28
dono,28
quisnam,28
uinculum,28
libero,28
saeculum,28
ceterum,28
uerecundia,28
quin,28
sentio,28
cura,27
disciplina,27
numquam,27
fio,27
aedes,27
reperio,27
ara,27
ob,27
familia,27
prosequor,27
malus,27
auris,27
cognomen,27
puto,27
plebs,27
constans,27
cupio,27
uulnus,27
senectus,27
ars,27
moderatio,27
uindico,26
uotum,26
abeo,26
nox,26
uix,26
decus,26
dubito,26
descendo,26
peruenio,26
ager,26
uerum,26
uelut,26
transfero,26
ibi,26
roma,26
procedo,26
tristis,26
sulla,26
brutus,26
intra,26
nouus,26
quaestio,26
sacrificium,25
africa,25
passus,25
pono,25
quisquam,25
tertius,25
censor,25
ministerium,25
efficio,25
decretum,25
iuppiter,25
paucus,25
perses,25
italia,25
