,count
qui,3161
sum,2452
in,2329
et,2239
ut,1628
ab,1578
is,1511
hic,1156
dico,1015
non,972
quod,913
ad,809
cum,768
ex,617
alius,535
habeo,516
facio,480
de,473
si,444
aut,415
ac,409
enim,391
sic,378
possum,376
nec,355
num,336
quam,324
multus,298
sed,291
res,289
uerbum,288
idem,284
edo,273
unus,261
etiam,260
pars,259
genus,259
omnis,255
dictum,255
locus,253
item,240
primus,238
quis,224
uideo,223
ubi,217
alter,213
duo,208
fio,199
appello,195
dies,194
magnus,191
ager,190
similis,187
terra,184
ille,183
itaque,183
tempus,179
quidam,179
oportet,174
soleo,158
sui,158
analogia,158
nam,151
uoco,151
nomen,150
inquam,149
scribo,148
ita,146
homo,145
debeo,144
ne,143
propter,143
uocabulum,143
bonus,142
nunc,140
natura,138
ibi,134
atque,132
declino,132
causa,130
ego,127
quisque,124
casus,124
tertius,122
uolo,120
aqua,120
tum,119
contra,119
parum,119
pecus,119
modus,118
hinc,114
sequor,110
inter,109
uterque,109
suus,108
uilla,108
noster,102
ideo,102
potius,102
apud,100
liber,99
puto,97
tres,96
singulus,96
lego,96
similitudo,96
fundus,95
do,95
fructus,93
quare,88
nos,88
consuetudo,88
tu,87
unde,86
ratio,85
sine,84
ipse,83
uenio,81
nisi,81
opus,81
aio,80
magis,78
annus,78
reliquus,78
antiquus,78
ante,76
per,76
maxime,75
factum,75
usus,74
pro,73
fere,72
pasco,71
sub,70
tamen,68
uox,68
cultura,67
secundus,67
multitudo,67
bos,67
mille,67
an,66
numerus,66
grex,65
quattuor,64
dissimilis,64
fero,63
uel,62
pes,62
dictus,62
arbor,61
populus,61
recingo,61
cibus,60
quoniam,59
significo,59
declinatio,59
secundum,58
ouis,58
latus,58
facile,58
quartus,57
sol,57
equus,57
singularis,57
ago,56
pario,56
post,55
nascor,55
sero,54
caput,54
animaduerto,53
relinquo,53
solus,53
impono,53
inde,53
nomino,53
deus,52
capio,52
quaero,51
mater,51
corpus,51
semen,51
quoius,50
ostendo,50
circum,50
aliqui,50
pono,50
littera,50
potis,49
uetus,48
appareo,48
albus,48
addo,48
iam,48
origo,48
utor,46
signum,46
colo,45
lex,45
nouus,45
doceo,45
paruus,45
ceterus,45
incipio,45
loquor,45
caelum,44
oratio,44
