,count
sum,2194
et,2065
in,1632
qui,1401
is,1258
ad,858
autem,691
ex,677
ut,644
cum,630
non,630
habeo,577
ab,525
hic,491
pars,428
ita,420
ratio,325
sed,318
possum,293
locus,293
si,279
num,267
facio,266
de,255
nec,254
per,241
etiam,230
quod,219
aut,214
item,206
res,205
enim,202
caput,194
aqua,193
omnis,191
colloco,190
columna,185
opus,181
sui,179
supra,176
unus,172
alius,171
altitudo,168
uideo,162
genus,159
magnus,154
dico,153
inferus,149
inter,147
crassitudo,147
quam,145
idem,143
pes,139
constituo,135
primus,131
medius,125
quemadmodum,124
terra,123
itaque,123
uero,122
efficio,121
latitudo,121
foramen,120
fio,116
duo,114
sine,111
regio,109
perficio,108
multus,107
spatium,106
edo,105
sol,105
parum,102
inuenio,101
corpus,100
propter,99
paries,99
suus,98
ipse,97
sic,96
natura,92
umor,92
longitudo,91
singulus,90
aedes,89
tunc,87
latus,87
aedificium,86
graecus,84
reliquus,81
symmetria,81
alter,81
lineus,80
tres,80
ergo,79
circa,79
explico,78
scriptum,77
ceterus,77
ibi,77
sub,77
signum,77
deinde,76
summum,76
summa,76
ne,75
aer,75
extremus,75
diuido,74
tertius,73
tympanum,73
centrum,72
ideo,71
factum,71
namque,70
materia,70
fons,68
usus,67
ignis,67
dimidius,67
contra,64
appello,64
expono,63
animaduerto,62
sinister,61
frons,61
maxime,60
recipio,60
murus,59
debeo,58
superus,58
quantus,58
uirtus,57
oportet,57
ciuitas,56
machina,56
caelum,55
dies,55
altus,55
sin,55
siue,54
homo,54
tempus,53
quisque,53
structura,53
magnitudo,53
corona,52
capitulum,52
quartus,51
nascor,50
ac,50
nisi,50
architectus,49
dextra,49
uolumen,48
numerus,48
comparo,48
tantus,47
nunc,47
species,47
relinquo,47
uitium,47
color,47
manus,46
cursus,46
mundus,46
liber,46
copia,46
cogo,46
uerus,45
ars,45
uox,45
totus,45
lumen,44
epistylium,44
ubi,44
angulus,44
specto,43
certus,43
tectum,43
peruenio,43
nonnullus,43
pondus,43
praesto,42
patior,42
onus,42
uis,42
induco,42
rota,42
graece,41
septentrio,41
regula,41
proprietas,41
interuallum,41
modus,41
tango,41
amplus,40
puto,40
uterque,40
quattuor,40
figo,40
tignum,40
modulus,39
dispono,39
uentus,39
struo,39
sex,39
littera,38
duco,38
quis,38
porticus,38
cella,38
seu,38
secundum,38
longus,38
calx,38
quoius,38
potestas,37
spiritus,37
membrum,37
quadratum,37
doricus,37
mons,37
pro,36
tum,36
utilitas,36
octauus,36
scapus,36
ante,35
bonus,35
theatrum,35
harena,35
circum,35
progredior,35
axis,35
uolo,34
igitur,34
terrenus,34
do,34
proicio,34
paruus,34
uehemens,34
canalis,34
scribo,33
disciplina,33
digitus,33
corinthius,33
impetus,33
temperatus,33
adicio,33
procreo,33
tectorius,33
uersatio,33
probo,32
insuper,32
effectus,32
facilis,32
naturalis,32
perduco,32
fodio,32
sustineo,32
sumo,32
proportio,31
circinus,31
expedio,31
nullus,31
dispositio,31
ordo,31
flumen,31
constitutum,31
minor,31
praeter,31
trabs,31
contraho,31
communis,30
designo,30
principium,30
funis,30
mos,30
calor,30
extra,30
fastigium,30
permaneo,29
ego,29
oriens,29
stella,29
meridianus,29
pono,29
scaena,29
includo,28
occidens,28
contineo,28
uena,28
sacer,28
interior,28
utor,28
turris,28
solidus,28
solum,27
egregius,27
umbra,27
uectis,27
iudico,27
respondeo,27
nauis,27
moenia,27
iter,27
uetustas,27
saxum,27
circiter,27
describo,27
ferreus,27
quaero,26
postea,26
gradus,26
perpetuus,26
necessitas,26
antiquus,26
calidus,26
dirigo,26
disto,26
nomino,26
quinque,26
liquor,26
oculus,26
orbiculus,26
animus,25
ago,25
planities,25
sonitus,25
forma,25
denticulus,25
paro,25
crassus,25
perpendiculum,25
intercolumnium,25
abacus,25
ratiocinatio,24
area,24
instituo,24
aspectus,24
celeriter,24
arbor,24
planum,24
ambulatio,24
radius,24
uita,23
trado,23
temperatura,23
conuenio,23
proprius,23
deus,23
mistio,23
aries,23
soleo,23
sextus,23
tegula,23
lapis,23
contignatio,23
fistula,23
populus,22
orno,22
atque,22
descriptio,22
sucula,22
compono,22
teneo,22
modo,22
uocito,22
qualitas,22
exprimo,22
frigidus,22
mare,22
unde,22
distribuo,22
hora,22
nos,22
rex,22
traicio,22
finio,22
curuatura,22
post,22
duplex,22
subigo,21
publicus,21
auctoritas,21
transfero,21
uarius,21
firmus,21
aequalis,21
uarietas,21
inuentio,21
uapor,21
dissoluo,21
quintus,21
dexter,21
religo,21
qua,21
intra,21
dens,21
cresco,21
uerso,21
noster,21
quoniam,21
urbs,21
raritas,21
radix,21
tenuis,21
uas,21
pondo,21
hostis,20
architectura,20
sollertia,20
imago,20
oporteo,20
necessarius,20
distributio,20
erigo,20
tempero,20
caementum,20
marmor,20
cuneus,20
punctum,20
septentrionalis,20
circumago,20
uoco,20
insequor,20
pauimentum,20
uersor,20
gens,19
cogitatio,19
posterus,19
doctrina,19
grauis,19
infinitus,19
impedio,19
saluber,19
figura,19
curo,19
hibernus,19
machinatio,19
nam,19
considero,19
uitiosus,19
ager,19
propior,19
fructus,19
tabula,19
coniunctus,19
aequinoctialis,19
nomen,19
secundus,19
deduco,19
corium,19
moueo,19
medium,19
naris,19
cardo,19
ciuis,18
aedifico,18
propono,18
premo,18
trigonus,18
luna,18
domus,18
firmitas,18
flatus,18
